file	sha256	size_bytes	lines
.\docs\notes\unknownCYP_final_round_summary.md	eaa56f6c6f48942904a12322386e47e61289087f87ae7a33d6d25740f270e4fb	1805	20
.\logs\unknownCYP\unknownCYP_raw24_peptideAvailable14_17ORFs_Ph36_BmSf.clean_header.LGFR6.iqtree	5ceff4d4c55af99b5ca398c1694158257bfe900c69bcb114ea62ce1fa056bfe0	39975	520
.\logs\unknownCYP\unknownCYP_raw24_peptideAvailable14_17ORFs_Ph36_BmSf.clean_header.LGFR6.log	702fb97c23c8465d208d84a77078491ccc60a66ac6e4812f5f0b64cae5d8f6d9	15277	228
.\results_manifest\91CYP\CYP_final_geneids.txt	2609cbc1f09ccace94012fe50769b39c8e58e117276103030e76458aac5422d3	752	36
.\results_manifest\91CYP\CYP_final_summary.tsv	b2c1456a5ee480fbdf0c2c04458a989043d139d79c612316179b5b1acb50f289	17625	72
.\results_manifest\91CYP\TPM_gene_CYP_91.tsv	9d8289cf31f3222654f2af44b48112af0a7ffb558a054fb5bde8f75974e26ca9	7112	92
.\results_manifest\91CYP\TPM_gene_CYP_91_withMean.tsv	1c6ea9cf87837994f9f949e3f38dd65dfdac0ffcec25b4542286298b9f0f4082	8649	92
.\results_manifest\RTqPCR\CYP_RTqPCR_candidate_master_from_36CYP.tsv	6d4f2cd3fcbbfab30822b593df4e025bd9c3280d9d612ee811738394f60b1ba5	1861	4
.\results_manifest\RTqPCR\CYP_RTqPCR_final_15CYP_sequence_length_index.tsv	46839272a031f6ffe1d0e02f4f51b29640eb660439ef1e6c21c0790ae75ece7a	613	16
.\results_manifest\RTqPCR\CYP_RTqPCR_true_target_mapping_from_Figure1.tsv	309d300c2bb034b29e1a668b1c83692c7f16c8cd1b9cbeda6a97b1327298cb23	1292	16
.\results_manifest\RTqPCR\README_FINAL_15CYP_RTqPCR_targets.md	6f337873c6ee3575adbab5ba87aeb901c1f1e168d31f65f17bdde6379da48b8a	507	10
.\results_manifest\unknownCYP\01_all_unknownCYP_review_table.tsv	7b725413d56a523ffdad5d750560db1af0fd5160a811d82ce16de5186ee1e40e	9453	25
.\results_manifest\unknownCYP\unknownCYP_24_peptide_availability_status.tsv	a93ac551936afdd7a6df4e47438c7d071f4113e88db7594d70f91c34037cf5fb	619	25
.\results_manifest\unknownCYP\unknownCYP_raw24_peptideAvailable14_17ORFs_Ph36_BmSf.clean_header.LGFR6.treefile	46dd633b0b56e7f723da9d1e49221a16a53965100d91ec04c143200afcd343ca	6270	1
.\results_manifest\unknownCYP\unknownCYP_raw24_phylogeny_inclusion_summary.tsv	80e76e4c84952336a1f6fe287654106a2598f8c4336ecec43ce6652b20739fd6	1322	25
