file	sha256	size_bytes	lines
docs\audit\CYP_high_quality_36_ID_audit_note.txt	6229bef4ee4ff1eba528f5033c853d32c376a1e4792d784a4d3afa419c0ba896	691	13
results_manifest\36HQ\CYP_high_quality_36_master_summary.tsv	e77f02e0c55fcab86586a1733e0cf7b16a59287df4e4f302b3b56d85044b9c0a	17938	37
results_manifest\36HQ\CYP_high_quality_expression_module_summary.tsv	35b9ceec1f62843342d05583b4e711a90b176712654fab67b038be8946de5472	77	5
results_manifest\36HQ\CYP_high_quality_expression_modules.tsv	1612731cebe69cee30ee3caa4b243736af6fd43e2b50929bd4aca6c62e702a5e	9861	37
results_manifest\36HQ\CYP_high_quality_expression_modules_annotated.tsv	e77f02e0c55fcab86586a1733e0cf7b16a59287df4e4f302b3b56d85044b9c0a	17938	37
results_manifest\36HQ\PCA_high_quality_CYP_logTPM_zscore_coordinates.tsv	e7e378eb70d67101b873f7ae2b7172a04f2692e97942292006c7821012ec31b0	768	7
results_manifest\36HQ\PCA_high_quality_CYP_logTPM_zscore_variance.tsv	d001389dfb62eb0e92e115eadf662bdd95d879188e77cdce61b20a392a052a62	81	7
results_manifest\36HQ\TPM_high_quality_CYP_for_PCA.tsv	ac9290035771482772df88906e90ed1f370322a6df65c8ac6db79d035c6187f9	2800	37
scripts\R\classify_high_quality_CYP_modules_baseR.R	3f42f31e72a8e5ab06f1b156d686b017ecf21a210569af63e9c9227b8b8ac2a8	3281	101
scripts\R\PCA_high_quality_CYP_logTPM_zscore.R	4de0e2575ce08dbe841869905d70385fae3b1518cc0901b51f59dc705fa2071a	2081	63
scripts\R\PCA_high_quality_CYP_logTPM_zscore_baseR.R	a47aa8cdc6d742997bf665a56539d61f66f3b5614f3d7622f8b1dd153e197141	3886	139
scripts\R\plot_FigureA_PCA_highQuality_CYP_baseR.R	778d6880e7bc1dcb53f516b2e9081422746db6ae6248e38aafaf9105e5f46840	2567	107
