gene_id	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3
TRINITY_DN159_c0_g1	167.572298	255.010477	299.060609	159.416574	197.902889	210.603809
TRINITY_DN41557_c0_g1	0.081607	0.12279	0.162987	0.084247	0.186931	0.058436
TRINITY_DN1316_c0_g1	4.100819	7.310463	4.274339	4.791651	5.04026	7.218572
TRINITY_DN3691_c0_g1	3.230471	4.057792	2.694524	1.99537	4.244266	8.847229
TRINITY_DN25915_c0_g1	7.036579	12.806281	1.111001	8.012021	10.751657	14.32313
TRINITY_DN946_c0_g1	5.658973	68.538265	41.266838	11.768656	24.626149	34.336299
TRINITY_DN44701_c0_g1	0.562322	6.857964	4.380748	2.493413	1.175385	0.854673
TRINITY_DN352_c0_g1	4.471083	15.684266	7.562634	9.841298	13.636425	14.162418
TRINITY_DN14631_c0_g1	0.355301	26.795746	7.284161	0.263738	1.049816	0
TRINITY_DN9010_c0_g1	4.845675	5.372187	0.011505	0.040361	0.069529	0.014341
TRINITY_DN12904_c0_g1	0.123761	0.115234	1.233115	0.28587	0.146835	0.794703
TRINITY_DN147_c0_g1	2.813354	11.032088	8.024135	27.08889	13.969863	9.447356
TRINITY_DN3637_c1_g1	1.265013	2.928485	1.505391	1.918554	1.794885	1.544378
TRINITY_DN48582_c0_g1	0.102748	0.197731	0.052927	0.190391	0.47795	0.220281
TRINITY_DN180_c0_g1	23.706598	63.339687	20.475837	33.572368	21.337214	8.427238
TRINITY_DN180_c0_g2	105.15559	247.454996	195.723537	149.79631	139.627324	159.071634
TRINITY_DN276_c0_g1	38.059144	41.541474	36.356689	62.069626	49.562723	67.555357
TRINITY_DN276_c0_g2	4.5435	9.711546	5.27405	10.606995	8.337054	4.982215
TRINITY_DN3752_c0_g1	2.64771	6.895315	4.706322	28.853851	26.895918	9.893031
TRINITY_DN18331_c0_g2	0.091867	0.054306	0.121401	0.100403	0.367407	0.012736
TRINITY_DN10997_c0_g1	0.321028	0.600385	0.089734	0.611036	1.214539	0.206893
TRINITY_DN1840_c0_g2	22.099791	44.318729	77.201097	17.839026	31.015323	17.094121
TRINITY_DN257_c3_g1	7.901406	6.674656	5.166559	8.411682	7.713006	5.682535
TRINITY_DN3078_c0_g2	2.331363	3.956881	2.312991	3.899549	5.806056	4.421852
TRINITY_DN26550_c0_g1	0	0.113715	0	0.041761	0	0.370119
TRINITY_DN10198_c0_g1	0.291902	1.235196	0.490532	2.08273	2.657005	1.376676
TRINITY_DN59296_c0_g1	0.035501	0.109226	0.113182	0.119819	0.011156	0.08412
TRINITY_DN127_c0_g1	38.015095	140.255241	56.930226	11.391027	23.143563	6.935414
TRINITY_DN127_c0_g2	3.031418	8.867058	6.073829	14.092697	25.58804	5.208213
TRINITY_DN127_c0_g4	119.785765	279.685713	113.872445	203.719562	236.197813	247.624614
TRINITY_DN127_c0_g5	2.025318	9.362722	1.932076	3.159568	3.00811	1.152988
TRINITY_DN5241_c0_g1	0.982738	112.077438	166.61871	8.533322	15.5111	35.229978
TRINITY_DN3972_c1_g1	0.482851	0.741754	0.676749	3.671628	0.216259	0
TRINITY_DN241_c0_g2	1.453865	15.698304	24.090688	115.916747	82.53436	29.710874
TRINITY_DN169_c0_g1	18.897518	112.043422	139.79299	66.316847	49.057778	58.338207
TRINITY_DN1632_c1_g1	17.044481	33.527145	30.672427	36.244282	28.429051	48.118258
