	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_mean	Mul_mean
TRINITY_DN1457_c0_g2	1.228676	2.373415	1.943545	4.137648	3.359337	2.272405	1.84855	3.25646
TRINITY_DN30540_c0_g1	0.000000	0.113824	0.000000	0.256600	0.175783	0.164678	0.0379413	0.19902
TRINITY_DN52336_c0_g1	0.223301	0.086716	0.014022	0.019143	0.017716	0.000000	0.108013	0.0122863
TRINITY_DN13006_c0_g1	0.119459	0.185763	0.000000	0.392362	1.058654	0.101763	0.101741	0.517593
TRINITY_DN1069_c0_g1	2.415318	22.369808	27.245786	23.187125	18.098340	8.769926	17.3436	16.6851
TRINITY_DN15068_c0_g1	0.548442	1.521365	0.460026	0.764262	2.011140	1.118072	0.843278	1.29782
TRINITY_DN1100_c17_g1	0.544233	0.106311	0.128397	0.666814	0.216373	0.407042	0.259647	0.430076
TRINITY_DN159_c0_g1	167.572298	255.010477	299.060609	159.416574	197.902889	210.603809	240.548	189.308
TRINITY_DN1031_c0_g1	105.327005	248.400677	101.677565	180.113046	205.692074	221.625019	151.802	202.477
TRINITY_DN41557_c0_g1	0.081607	0.122790	0.162987	0.084247	0.186931	0.058436	0.122461	0.109871
TRINITY_DN11335_c0_g1	11.763714	6.160198	21.556712	24.833921	19.573993	47.446932	13.1602	30.6183
TRINITY_DN420_c0_g1	203.770972	430.413393	319.498252	317.395650	221.891976	159.003232	317.894	232.764
TRINITY_DN52683_c0_g1	0.056923	0.052380	0.042866	0.152917	0.070785	0.033082	0.050723	0.0855947
TRINITY_DN414_c0_g1	8.594167	12.542924	13.010351	8.935254	8.691893	6.994888	11.3825	8.20735
TRINITY_DN414_c0_g2	4.484281	12.565576	9.533604	6.633404	21.664042	5.727106	8.86115	11.3415
TRINITY_DN6927_c0_g1	1.052179	3.622254	2.105476	1.286867	2.007434	1.269591	2.25997	1.5213
