symbol	block
CYP6B2	CYP3-enriched candidates
CYP332A1	CYP3-enriched candidates
CYP9A21	CYP3-enriched candidates
CYP9A20	CYP3-enriched candidates
CYP6AU1	CYP3-enriched candidates
CYP6AB4	CYP3-enriched candidates
CYP6B29	CYP3-enriched candidates
CYP6B1	CYP3-enriched candidates
CYP6K1	CYP3-enriched candidates
CYP303A1	CYP3-enriched candidates
CYP12A2	Other high-confidence CYPs
CYP4M5	Other high-confidence CYPs
CYP306A1	Other high-confidence CYPs
CYP49A1	Other high-confidence CYPs
CYP9E2	Other high-confidence CYPs
CYP4G-like	Conserved / housekeeping-like CYPs
