symbol	gene_id	Ph_Dan_mean	Ph_Mul_mean	Bm_Dan_mean	Bm_Mul_mean
CYP6B2	TRINITY_DN127_c0_g4 | gene-LOC101745954	171.114641	229.180663	13.001233	16.736857
CYP332A1	TRINITY_DN1840_c0_g2 | gene-Cyp332a1	47.8732056666667	21.9828233333333	36.27055	7.804292
CYP9A21	TRINITY_DN521_c1_g1 | gene-Cyp9a21	32.5218	49.6693	31.250217000000003	2.039404
CYP9A20	TRINITY_DN13796_c0_g1 | gene-Cyp9a20	16.6363	24.1392	26.224168	2.52869
CYP6AU1	TRINITY_DN12904_c0_g1 | gene-Cyp6au1	0.490703333333333	0.409136	16.277357	86.56827
CYP6AB4	TRINITY_DN1767_c0_g1 | gene-Cyp6ab4	2.63621	3.7596	11.911112	24.820535
CYP6B29	TRINITY_DN180_c0_g2 | gene-Cyp6b29	182.778041	149.498422666667	2.686294	1.752557
CYP6B1	TRINITY_DN5241_c0_g1 | gene-LOC101736314	93.2262953333333	19.7581333333333	0.14564	0.411157
CYP6K1	TRINITY_DN946_c0_g1 | gene-LOC101744746	38.4880253333333	23.5770346666667	0	0.037862
CYP303A1	TRINITY_DN159_c0_g1 | gene-LOC101743283	240.547794666667	189.307757333333	0.064427	1.971151
CYP12A2	TRINITY_DN276_c0_g1 | gene-LOC101744617	38.6524356666667	59.7292353333333	74.855886	1.994266
CYP4M5	TRINITY_DN1632_c1_g1 | gene-Cyp4m5	27.081351	37.597197	1.219295	273.570757
CYP306A1	TRINITY_DN3078_c0_g2 | gene-Cyp306a1	2.86707833333333	4.70915233333333	14.622302	28.997049
CYP49A1	TRINITY_DN18331_c0_g2 | gene-LOC101736880	0.0891913333333333	0.160182	0.792519	12.596006
CYP9E2	TRINITY_DN1316_c0_g1 | gene-CYP354A1	5.22854033333333	5.68349433333333	10.629207	27.239376
CYP314A1	NA	NA	NA	NA	NA
CYP315A1	gene-Cyp315a1	NA	NA	0.04857	0.814447
CYP307A1	gene-Cyp307a1	NA	NA	0.034863	1.179853
CYP302A1	gene-Cyp302a1	NA	NA	0.599749	3.143792
CYP4G-like	TRINITY_DN44701_c0_g1 | gene-Cyp4g25	3.933678	1.50782366666667	2.25909	2.212936
