length_bin_bp	transcript_count
0-500	94223
500-1000	35490
1000-1500	15104
1500-2000	9799
2000-2500	6802
2500-3000	4737
3000-3500	3527
3500-4000	2541
4000-4500	1907
4500-5000	1482
5000-5500	1037
5500-6000	795
6000-6500	645
6500-7000	459
7000-7500	310
7500-8000	235
8000-8500	155
8500-9000	130
9000-9500	94
9500-10000	76
10000-10500	75
10500-11000	67
11000-11500	41
11500-12000	37
12000-12500	32
12500-13000	18
13000-13500	15
13500-14000	2
14000-14500	26
14500-15000	12
15000-15500	5
15500-16000	2
16000-16500	9
16500-17000	5
17000-17500	3
17500-18000	3
18500-19000	1
22000-22500	1
22500-23000	1
23500-24000	1
