Marker	Group	PhoeneiRepresentative	PhoeneiMeanTPM	BmoriRepresentative	BmoriMeanTPM	Bmori_to_Phoenei_Ratio	Log2_Bmori_over_Phoenei	ComparisonUse
ATP synthase	Energy	TRINITY_DN6596_c0_g1_i2	313.40932116666664	NM_001046933.2	1086.5528753333333	3.466881174078163	1.7936383896108448	context_only_not_species_effect
Actin	Housekeeping	TRINITY_DN3270_c0_g1_i4	990.8820274999999	NM_001126252.1	1062.3562016666667	1.0721318705789795	0.10048236599128559	context_only_not_species_effect
Alpha-amylase	Digestion	TRINITY_DN246_c0_g1_i1	1493.0752974999998	XM_021352759.3	111.54283349999999	0.07470677044002197	-3.742617193913842	context_only_not_species_effect
Alpha/Beta tubulin	Housekeeping	TRINITY_DN34_c1_g1_i4	673.0403603333333	XM_062676385.1	479.68743850000004	0.71271719613134	-0.48859836138038876	context_only_not_species_effect
Aminopeptidase N	Digestion	TRINITY_DN4639_c0_g1_i8	107.704321	XM_012697255.3	332.0163195	3.082664803206921	1.6241780250137547	context_only_not_species_effect
Broad-complex	Development	TRINITY_DN3993_c0_g1_i1	7.730256833333333	XM_004931843.5	1.6890975	0.21850470643051725	-2.1942637402377274	context_only_not_species_effect
Carboxypeptidase	Digestion	TRINITY_DN3079_c0_g1_i13	1476.3021865	XM_004926495.5	217.2863205	0.14718282102876232	-2.764318802996062	context_only_not_species_effect
Cecropin	Immunity			NM_001043459.2	47.9917135			context_only_not_species_effect
Chymotrypsin	Digestion	TRINITY_DN233_c0_g1_i3	5529.2222295	XM_004928924.5	1283.4910029999999	0.2321286701323387	-2.1070033744310663	context_only_not_species_effect
Defensin	Immunity			NM_001043905.2	18.567582333333334			context_only_not_species_effect
Digestive lipase	Digestion	TRINITY_DN167_c1_g1_i20	6149.029525333334	NM_001046694.1	14244.058427999998	2.316472602597861	1.2119296194184799	context_only_not_species_effect
Ecdysone receptor	Development			XM_062670319.1	0.4420053333333333			context_only_not_species_effect
Elongation factor 1-alpha	Housekeeping	TRINITY_DN3455_c0_g1_i1	854.8769578333334	XM_062668463.1	1182.3051458333332	1.3830120638996508	0.4678137410526086	context_only_not_species_effect
GAPDH	Housekeeping	TRINITY_DN4438_c0_g2_i1	205.19089816666667	XM_012690444.3	526.1136325	2.5640203205926966	1.3584076957718414	context_only_not_species_effect
Juvenile hormone esterase	Development	TRINITY_DN307_c1_g1_i2	208.46051916666667	XM_004933393.5	65.6256205	0.3148107889318434	-1.66744311035789	context_only_not_species_effect
Juvenile hormone-binding protein	Development	TRINITY_DN4676_c0_g1_i1	5.5197255	XM_062675236.1	0.07187133333333333	0.013020816584689461	-6.26303626156763	context_only_not_species_effect
Lysozyme	Immunity	TRINITY_DN1659_c0_g1_i10	90.32309383333335	NM_001043983.1	6.182566666666666	0.06844945632702648	-3.868817107128916	context_only_not_species_effect
PGRP	Immunity	TRINITY_DN1492_c1_g1_i4	1503.802173	NM_001257020.2	2530.2223176666666	1.682549981038408	0.7506493614924986	context_only_not_species_effect
Prophenoloxidase	Immunity			NM_001043367.1	3.4956275			context_only_not_species_effect
Ribosomal protein eL32 (RP49-like)	Housekeeping	TRINITY_DN59317_c0_g1_i1	659.4483113333333	NM_001098282.2	2488.984852	3.774344113441645	1.9162259619219149	context_only_not_species_effect
Trypsin	Digestion	TRINITY_DN2_c0_g1_i6	13305.297113499999	NM_001099803.1	18719.552137833332	1.4069247742570024	0.49254519232162997	context_only_not_species_effect
