Group	Marker	CandidateCount	MedianMeanTPM	P25MeanTPM	P75MeanTPM	MaxMeanTPM	RepresentativeTranscript	RepresentativeMeanTPM	RepresentativeAnnotation
Housekeeping	Ribosomal protein eL32 (RP49-like)	2	1251.91769025	633.384109375	1870.451271125	2488.984852	NM_001098282.2	2488.984852	ribosomal protein L32
Housekeeping	Actin	118	0.20806908333333335	0.0	1.896875	1062.3562016666667	NM_001126252.1	1062.3562016666667	actin A1
Housekeeping	Alpha/Beta tubulin	33	0.011763166666666667	0.0	0.7436308333333334	479.68743850000004	XM_062676385.1	479.68743850000004	alpha-tubulin
Housekeeping	Elongation factor 1-alpha	9	0.9991446666666667	0.040679	1182.2607086666667	1182.3051458333332	XM_062668463.1	1182.3051458333332	elongation factor 1 alpha
Housekeeping	GAPDH	9	0.0	0.0	0.0	526.1136325	XM_012690444.3	526.1136325	glyceraldehyde-3-phosphate dehydrogenase
Energy	ATP synthase	38	0.18457016666666665	0.006158833333333334	81.94588166666666	1086.5528753333333	NM_001046933.2	1086.5528753333333	H+ transporting ATP synthase subunit g
Digestion	Trypsin	66	0.04319366666666667	0.0	6.6091645833333335	18719.552137833332	NM_001099803.1	18719.552137833332	trypsin-like protease
Digestion	Chymotrypsin	20	0.7231750833333332	0.03173854166666666	148.85603945833333	1283.4910029999999	XM_004928924.5	1283.4910029999999	chymotrypsin-like elastase family member 1
Digestion	Aminopeptidase N	21	0.11751883333333334	0.0	0.39178050000000003	332.0163195	XM_012697255.3	332.0163195	aminopeptidase N
Digestion	Carboxypeptidase	73	0.0527445	0.005383	1.9393471666666666	217.2863205	XM_004926495.5	217.2863205	retinoid-inducible serine carboxypeptidase
Digestion	Alpha-amylase	10	0.4455859166666667	0.0038459166666666663	8.148066291666666	111.54283349999999	XM_021352759.3	111.54283349999999	alpha-amylase 2
Digestion	Digestive lipase	31	0.08478333333333334	0.009317416666666667	2.4450595833333333	14244.058427999998	NM_001046694.1	14244.058427999998	triacylglycerol lipase
Immunity	Lysozyme	9	0.092378	0.0	0.4314723333333334	6.182566666666666	NM_001043983.1	6.182566666666666	lysozyme
Immunity	Cecropin	14	0.33396425	0.05458466666666666	3.4873628749999996	47.9917135	NM_001043459.2	47.9917135	cecropin-D-like peptide
Immunity	Defensin	2	9.346549	4.736032333333334	13.957065666666669	18.567582333333334	NM_001043905.2	18.567582333333334	defensin-like protein
Immunity	PGRP	24	1.2723208333333333	0.0	26.202387875	2530.2223176666666	NM_001257020.2	2530.2223176666666	peptidoglycan recognition protein
Immunity	Prophenoloxidase	6	0.18452274999999999	0.053511583333333335	1.2916929166666666	3.4956275	NM_001043367.1	3.4956275	prophenoloxidase activating enzyme
Development	Juvenile hormone-binding protein	5	0.0	0.0	0.024138166666666665	0.07187133333333333	XM_062675236.1	0.07187133333333333	juvenile hormone-binding protein
Development	Juvenile hormone esterase	36	0.2589693333333334	0.026468541666666665	3.8022063333333334	65.6256205	XM_004933393.5	65.6256205	juvenile hormone esterase
Development	Ecdysone receptor	7	0.03422583333333334	0.0	0.060358166666666664	0.4420053333333333	XM_062670319.1	0.4420053333333333	ecdysone receptor
Development	Broad-complex	15	0.19383916666666667	0.0	0.7532415833333332	1.6890975	XM_004931843.5	1.6890975	broad-complex core protein isoforms 1/2/3/4/5
Development	Ecdysis-triggering hormone receptor	0							
