SelectionType	Group	Marker	TranscriptID	GeneID	GeneSymbol	SRR14535556	SRR14535555	SRR14535554	SRR14535566	SRR14535565	SRR14535564	MeanTPM	MaxTPM	CV	Annotation
Random_expression_quintile_1	Random background	Fixed-seed random	XM_012693013.4	gene-LOC101736451	LOC101736451	0.014461	0.005906	0.025614	0.012859	0.011582	0.032632	0.01717566666666667	0.032632	0.5789501433312759	adenylate kinase isoenzyme 5
Random_expression_quintile_1	Random background	Fixed-seed random	NM_001173345.1	gene-nAChRa4	nAChRa4	0.0	0.0	0.026861	0.0	0.0	0.0	0.0044768333333333335	0.026861	2.449489742783178	nicotinic acetylcholine receptor subunit alpha 4
Random_expression_quintile_1	Random background	Fixed-seed random	XM_012691819.4	gene-LOC101743402	LOC101743402	0.0	0.0	0.0	0.0	0.0	0.029962	0.004993666666666666	0.029962	2.449489742783178	liprin-beta-2
Random_expression_quintile_1	Random background	Fixed-seed random	XM_062674571.1	gene-LOC692448	LOC692448	0.048893	0.0	0.063943	0.0	0.0	0.0	0.018806	0.063943	1.5697274441269276	furin-like convetase
Random_expression_quintile_2	Random background	Fixed-seed random	XM_062671536.1	gene-LOC101743024	LOC101743024	0.0	0.0	0.464148	0.0	0.0	0.399185	0.14388883333333333	0.464148	1.5557581632987783	uncharacterized LOC101743024
Random_expression_quintile_2	Random background	Fixed-seed random	NM_001099837.1	gene-MSL2	MSL2	0.113052	0.115513	0.162855	0.17587	0.090651	0.127783	0.130954	0.17587	0.24693418306564854	MSL2 protein
Random_expression_quintile_2	Random background	Fixed-seed random	XM_021348417.3	gene-LOC110385304	LOC110385304	0.100136	0.0	0.066804	0.166726	0.0	0.0	0.055611	0.166726	1.238859168746269	uncharacterized LOC110385304
Random_expression_quintile_2	Random background	Fixed-seed random	XM_012697552.4	gene-LOC101742529	LOC101742529	0.070357	0.056136	0.0	0.0	0.20555	0.0	0.05534050000000001	0.20555	1.4450703050499893	low-density lipoprotein receptor-related protein 2
Random_expression_quintile_3	Random background	Fixed-seed random	XM_004930492.5	gene-LOC101737313	LOC101737313	0.247257	0.036389	0.177196	0.139201	0.184028	0.420324	0.20073249999999998	0.420324	0.6380259187479176	serine/threonine-protein kinase Doa
Random_expression_quintile_3	Random background	Fixed-seed random	XM_062669389.1	gene-LOC101744044	LOC101744044	0.562816	0.0	0.0	1.201647	0.0	0.0	0.29407716666666667	1.201647	1.694667909367205	sarcalumenin
Random_expression_quintile_3	Random background	Fixed-seed random	XM_012693485.4	gene-LOC101738134	LOC101738134	0.11616	0.0	1.072789	0.0	0.0	0.763262	0.3253685	1.072789	1.4492493702919909	uncharacterized LOC101738134
Random_expression_quintile_3	Random background	Fixed-seed random	XM_004930131.5	gene-LOC101746304	LOC101746304	0.884609	0.055792	0.241989	0.755438	0.903325	0.103094	0.4907078333333334	0.903325	0.8134917690993866	uncharacterized LOC101746304
Random_expression_quintile_4	Random background	Fixed-seed random	XM_038011196.2	gene-LOC101745249	LOC101745249	1.343839	3.044918	1.474039	4.222672	3.917419	2.221258	2.7040241666666667	4.222672	0.45265798859232137	potential E3 ubiquitin-protein ligase ariadne-2
Random_expression_quintile_4	Random background	Fixed-seed random	XM_012694959.4	gene-LOC101742952	LOC101742952	1.181417	0.660847	1.714977	0.933401	0.632787	1.638213	1.1269403333333334	1.714977	0.41791521273234855	uncharacterized LOC101742952
Random_expression_quintile_4	Random background	Fixed-seed random	XM_062675196.1	gene-LOC101743519	LOC101743519	0.717193	0.714628	1.188225	0.645721	0.794684	1.253789	0.8857066666666666	1.253789	0.2989488910937082	uncharacterized LOC101743519
Random_expression_quintile_4	Random background	Fixed-seed random	XM_038017373.2	gene-LOC101739167	LOC101739167	1.533418	1.42878	2.191656	1.209461	1.164819	2.236855	1.6274981666666666	2.236855	0.29168198014622904	nuclear RNA export factor 1
Random_expression_quintile_5	Random background	Fixed-seed random	XM_012696659.4	gene-LOC101745983	LOC101745983	9.990301	8.135948	12.966979	12.304955	10.952193	12.522057	11.1454055	12.966979	0.16537442386666604	uncharacterized LOC101745983
Random_expression_quintile_5	Random background	Fixed-seed random	XM_038016550.2	gene-LOC101735656	LOC101735656	14.682522	20.818912	32.228415	10.697567	17.654144	12.54194	18.103916666666667	32.228415	0.4311082825136679	adenosine deaminase 2
Random_expression_quintile_5	Random background	Fixed-seed random	NM_001046811.2	gene-RpL7Ae	RpL7Ae	15.160896	23.487589	20.461449	24.9156	16.061676	24.375328	20.743756333333334	24.9156	0.2059879649364242	ribosomal protein L7Ae
Random_expression_quintile_5	Random background	Fixed-seed random	XM_062675583.1	gene-LOC101736355	LOC101736355	0.0	29.440286	0.0	27.196995	23.826703	13.907472	15.728575999999999	29.440286	0.8450006988833353	putative serine protease K12H4.7
