Group	Marker	CandidateCount	MedianMeanTPM	P25MeanTPM	P75MeanTPM	MaxMeanTPM	RepresentativeTranscript	RepresentativeMeanTPM	RepresentativeAnnotation
Housekeeping	Ribosomal protein eL32 (RP49-like)	1	659.4483113333333	659.4483113333333	659.4483113333333	659.4483113333333	TRINITY_DN59317_c0_g1_i1	659.4483113333333	sp|Q962T1|RL32_SPOFR Large ribosomal subunit protein eL32 OS=Spodoptera frugiperda OX=7108 GN=RpL32 PE=2 SV=1
Housekeeping	Actin	120	0.4504599166666666	0.20618974999999998	1.4612759166666667	990.8820274999999	TRINITY_DN3270_c0_g1_i4	990.8820274999999	sp|Q25010|ACT3A_HELAM Actin, cytoplasmic A3a OS=Helicoverpa armigera OX=29058 GN=actA3a PE=2 SV=1
Housekeeping	Alpha/Beta tubulin	28	0.43257375	0.18568354166666667	2.9752896250000003	673.0403603333333	TRINITY_DN34_c1_g1_i4	673.0403603333333	sp|P52273|TBA_BOMMO Tubulin alpha chain OS=Bombyx mori OX=7091 PE=2 SV=1
Housekeeping	Elongation factor 1-alpha	4	6.88203025	1.6075271666666666	222.46462883333336	854.8769578333334	TRINITY_DN3455_c0_g1_i1	854.8769578333334	sp|P29520|EF1A_BOMMO Elongation factor 1-alpha OS=Bombyx mori OX=7091 PE=2 SV=1
Housekeeping	GAPDH	2	102.63457908333334	51.35641954166667	153.912738625	205.19089816666667	TRINITY_DN4438_c0_g2_i1	205.19089816666667	sp|P07487|G3P2_DROME Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Drosophila melanogaster OX=7227 GN=Gapdh2 PE=1 SV=2
Energy	ATP synthase	18	14.275095083333333	1.331178625	52.66159829166667	313.40932116666664	TRINITY_DN6596_c0_g1_i2	313.40932116666664	sp|Q9W141|ATPK_DROME Putative ATP synthase subunit f, mitochondrial OS=Drosophila melanogaster OX=7227 GN=ATPsynF PE=3 SV=1
Digestion	Trypsin	88	13.543973	1.40698275	74.20401691666666	13305.297113499999	TRINITY_DN2_c0_g1_i6	13305.297113499999	sp|P35042|TRYP_CHOFU Trypsin CFT-1 OS=Choristoneura fumiferana OX=7141 PE=1 SV=1
Digestion	Chymotrypsin	74	9.674055916666667	0.4581175416666667	64.00704604166667	5529.2222295	TRINITY_DN233_c0_g1_i3	5529.2222295	sp|Q91X79|CELA1_MOUSE Chymotrypsin-like elastase family member 1 OS=Mus musculus OX=10090 GN=Cela1 PE=1 SV=1
Digestion	Aminopeptidase N	21	0.22844333333333333	0.14294533333333334	0.74179	107.704321	TRINITY_DN4639_c0_g1_i8	107.704321	sp|P91885|AMPN_MANSE Aminopeptidase N OS=Manduca sexta OX=7130 GN=APN2 PE=1 SV=2
Digestion	Carboxypeptidase	84	0.8853100833333334	0.17983733333333332	19.254377666666667	1476.3021865	TRINITY_DN3079_c0_g1_i13	1476.3021865	sp|Q3T905|CBPB_HELZE Carboxypeptidase B OS=Helicoverpa zea OX=7113 GN=CPB PE=1 SV=1
Digestion	Alpha-amylase	8	2.2670079999999997	1.53344125	62.42334916666667	1493.0752974999998	TRINITY_DN246_c0_g1_i1	1493.0752974999998	sp|Q23835|AMY1_DROAN Alpha-amylase 1 OS=Drosophila ananassae OX=7217 GN=Amy35 PE=3 SV=3
Digestion	Digestive lipase	69	1.077361	0.20114433333333334	7.046492333333333	6149.029525333334	TRINITY_DN167_c1_g1_i20	6149.029525333334	sp|P54317|LIPR2_HUMAN Pancreatic lipase-related protein 2 OS=Homo sapiens OX=9606 GN=PNLIPRP2 PE=1 SV=2
Immunity	Lysozyme	13	1.3957251666666668	0.3677431666666667	1.8703876666666666	90.32309383333335	TRINITY_DN1659_c0_g1_i10	90.32309383333335	sp|P50718|LYS_TRINI Lysozyme OS=Trichoplusia ni OX=7111 PE=2 SV=1
Immunity	Cecropin	0							
Immunity	Defensin	0							
Immunity	PGRP	23	3.334386	1.58377725	27.168127166666665	1503.802173	TRINITY_DN1492_c1_g1_i4	1503.802173	sp|Q8INK6|PGPLB_DROME Peptidoglycan-recognition protein LB OS=Drosophila melanogaster OX=7227 GN=PGRP-LB PE=1 SV=1
Immunity	Prophenoloxidase	0							
Development	Juvenile hormone-binding protein	1	5.5197255	5.5197255	5.5197255	5.5197255	TRINITY_DN4676_c0_g1_i1	5.5197255	sp|P15500|JHBP_MANSE Juvenile hormone-binding protein (Fragment) OS=Manduca sexta OX=7130 GN=JHBP PE=1 SV=2
Development	Juvenile hormone esterase	76	3.3857684999999997	0.9090165833333335	12.602160958333332	208.46051916666667	TRINITY_DN307_c1_g1_i2	208.46051916666667	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2
Development	Ecdysone receptor	0							
Development	Broad-complex	2	4.857634583333333	3.421323458333333	6.293945708333333	7.730256833333333	TRINITY_DN3993_c0_g1_i1	7.730256833333333	sp|Q01295|BRC1_DROME Broad-complex core protein isoforms 1/2/3/4/5 OS=Drosophila melanogaster OX=7227 GN=br PE=1 SV=2
Development	Ecdysis-triggering hormone receptor	0							
