Family	GeneID	HistoricalFinal	TranscriptCount	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_mean	Dan_sd	Mul_mean	Mul_sd	Dan_mean	Mul_mean	Delta_Mul_minus_Dan	Best_padj
CarE	TRINITY_DN10214_c0_g1	yes	2	0.202525	0.401503	0.481993	0.387801	0.512033	0.15555	0.31309780000000004	0.117461	0.3109846	0.147744	0.31309780000000004	0.3109846	-0.0021132000000000373	0.999999010765626
CarE	TRINITY_DN1194_c0_g1	yes	6	8.243196	11.593958	5.352087	8.909136	10.842778	22.938625	7.8121042	5.474867	12.788510800000001	7.021834999999999	7.8121042	12.788510800000001	4.976406600000001	0.035084715722654
CarE	TRINITY_DN13111_c1_g1	yes	5	0.483457	0.703705	0.438018	0.6163409999999999	0.5152220000000001	0.49023100000000003	0.49520282600000004	0.3091068	0.52624174	0.4688167	0.49520282600000004	0.52624174	0.031038913999999973	0.23365636946044
CarE	TRINITY_DN1740_c0_g3	yes	2	3.412963	5.313427	1.844601	7.907323	8.185565	10.349802	3.1025902	1.4183	7.3468132	1.47715	3.1025902	7.3468132	4.244223	0.520869738847594
CarE	TRINITY_DN22_c1_g1	yes	7	94.046204	109.988953	39.345527	63.689823000000004	49.329521	67.72452	71.7812945	34.3989165	50.2445552	10.230939	71.7812945	50.2445552	-21.5367393	0.55139103322048
CarE	TRINITY_DN22_c2_g1	yes	1	5.728978	8.329708	7.30494	7.244254	6.256051	7.466169	5.9108992	1.06966	5.696260799999999	0.52601	5.9108992	5.696260799999999	-0.214638400000001	0.999999010765626
CarE	TRINITY_DN2312_c0_g1	yes	10	122.281248	273.593183	45.191125	35.55659	33.592735	34.845456	139.7093436	110.45933	29.618521699999995	9.4329005	139.7093436	29.618521699999995	-110.09082190000001	0.00158095965890287
CarE	TRINITY_DN235_c0_g1	yes	9	20.578737	27.055259000000003	13.283896	21.453209	27.683482	29.514065000000002	17.812277180000002	7.8375496	22.7935448	9.100082	17.812277180000002	22.7935448	4.981267619999997	0.418803407403831
CarE	TRINITY_DN25123_c0_g1	yes	1	0.14831	0.310312	0.223771	0.151037	0.146694	0.105728	0.19520911999999999	0.0661886	0.11167148	0.0204124	0.19520911999999999	0.11167148	-0.08353763999999998	0.699840144961767
CarE	TRINITY_DN256_c0_g1	yes	8	68.639888	76.05456699999999	71.633096	68.429578	63.202992	88.187764	64.2307054	32.716771	62.576572	19.789108	64.2307054	62.576572	-1.6541334000000063	0.589785080321804
CarE	TRINITY_DN3016_c0_g1	yes	4	24.182643	23.102034	4.213123	56.771411	47.238597999999996	56.849317	15.573428519999998	9.2034136	53.2075852	51.5588	15.573428519999998	53.2075852	37.63415668	0.00846467006094978
CarE	TRINITY_DN5029_c0_g1	yes	2	0.114009	3.564317	0.159466	5.405727000000001	2.689457	1.137344	1.3473848	1.619868	2.9239058	2.309492	1.3473848	2.9239058	1.576521	0.987273471440539
CarE	TRINITY_DN5285_c0_g1	yes	1	41.630706	52.31971	35.33123	56.484621	51.264856	77.552592	35.8775612	7.01226	51.6865738	11.3634	35.8775612	51.6865738	15.809012599999996	0.999999010765626
CarE	TRINITY_DN552_c0_g1	yes	8	71.68526800000001	69.841554	103.22563299999999	59.20842	73.54925300000001	66.278902	68.74319684	17.3793412	54.679799100000004	8.0169272	68.74319684	54.679799100000004	-14.063397739999992	0.471962211878195
CarE	TRINITY_DN58976_c0_g1	yes	1	0.028288	0.821056	0.986019	0.279525	0.114472	0.113989	0.5730416	0.418057	0.15104716	0.0779208	0.5730416	0.15104716	-0.42199444	0.527776062262306
CarE	TRINITY_DN604_c0_g1	yes	10	583.451471	549.737877	1522.0172830000001	571.098655	1493.007143	795.135999	847.77526502	698.6012471	857.0172473999999	472.763964	847.77526502	857.0172473999999	9.241982379999854	0.947152866091778
CarE	TRINITY_DN665_c0_g1	yes	17	33.449305	31.893776	31.835379	43.741825	56.578534	124.993016	27.86417512	9.7496026	68.70610167999999	43.1127197	27.86417512	68.70610167999999	40.84192655999999	0.194508412755047
CarE	TRINITY_DN69_c0_g1	yes	14	224.300983	271.85749300000003	389.68120999999996	144.332576	178.875345	202.276665	259.70235330599996	117.3921482	150.5581052	52.14455	259.70235330599996	150.5581052	-109.14424810599996	0.272564221578895
CarE	TRINITY_DN920_c0_g1	yes	9	180.352236	423.857169	334.737678	511.927886	453.930606	739.705277	282.9008706	162.57495	530.4148098	377.98877	282.9008706	530.4148098	247.51393919999992	0.937987759554221
CarE	TRINITY_DN9322_c0_g2	yes	2	2.729488	4.091293	2.315495	4.268961999999999	3.431733	4.287108	2.5880625999999998	0.758607	3.4381161999999996	1.206842	2.5880625999999998	3.4381161999999996	0.8500535999999999	0.999999010765626
