Family	GeneID	HistoricalFinal	TranscriptCount	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_mean	Dan_sd	Mul_mean	Mul_sd	Dan_mean	Mul_mean	Delta_Mul_minus_Dan	Best_padj
GST	TRINITY_DN114_c0_g1	no	8	114.21247100000001	112.606572	92.462179	122.290464	89.976414	98.779982	91.18381666	30.2107103	88.2858918	26.700333999999998	91.18381666	88.2858918	-2.8979248600000034	0.279596204925924
GST	TRINITY_DN11666_c0_g1	no	2	59.648394	89.562112	48.077693	84.47549199999999	67.26394499999999	101.707523	56.10678420000001	17.482982	70.4296784	14.219093	56.10678420000001	70.4296784	14.322894199999993	0.999999010765626
GST	TRINITY_DN12434_c0_g2	no	2	5.977098	2.064915	10.395011	28.474612	16.79658	4.125835	5.8458008	4.6463	15.4357622	11.316154	5.8458008	15.4357622	9.5899614	0.999999010765626
GST	TRINITY_DN1310_c0_g1	yes	10	134.150128	919.627843	82.06249199999999	452.23861	393.466949	75.406751	379.75887384	384.3402662	298.16707497000004	262.68594215	379.75887384	298.16707497000004	-81.59179886999993	0.00531618031657553
GST	TRINITY_DN1343_c0_g1	no	14	2.666962	4.029513	2.771708	3.9239059999999997	3.190048	2.836938	2.87803732	1.7659433	3.16221446	2.5432163	2.87803732	3.16221446	0.28417714000000016	8.71075562497241e-05
GST	TRINITY_DN13779_c0_g1	yes	6	57.275219	85.028175	25.285469	76.546104	95.628602	69.264709	49.59060718	24.5011726	71.02730236400001	33.21724952	49.59060718	71.02730236400001	21.43669518400001	0.999999010765626
GST	TRINITY_DN1407_c0_g1	no	1	4.171001	236.423008	42.383383	302.843043	170.720751	34.364763	95.7970384	101.682	157.3697114	109.61	95.7970384	157.3697114	61.572672999999995	0.999999010765626
GST	TRINITY_DN1430_c2_g2	no	1	75.483824	96.2216	65.533336	121.314948	110.519987	110.809122	65.82043200000001	12.7838	92.3762174	5.02203	65.82043200000001	92.3762174	26.55578539999999	0.999999010765626
GST	TRINITY_DN163_c3_g1	yes	1	1.267673	3.911892	0.263767	3.886035	3.155135	3.318809	1.7592963999999998	1.53871	2.8252981999999998	0.313182	1.7592963999999998	2.8252981999999998	1.0660018	0.999999010765626
GST	TRINITY_DN1682_c0_g2	no	2	34.596573	52.163227000000006	4.623584	32.359995	39.067121	20.001053	28.3075288	19.69313	26.024825799999995	8.219899999999999	28.3075288	26.024825799999995	-2.282703000000005	0.973267361652975
GST	TRINITY_DN18158_c2_g1	yes	1	0.0	0.834769	0.279039	0.092438	0.697079	0.0	0.3664108	0.346977	0.27236380000000004	0.30913	0.3664108	0.27236380000000004	-0.09404699999999994	0.999999010765626
GST	TRINITY_DN18158_c2_g2	yes	1	0.0	0.0	0.01378	0.483617	3.760447	0.048699	0.0049738560000000005	0.00649595	1.4760906	1.65677	0.0049738560000000005	1.4760906	1.471116744	0.0213814690379812
GST	TRINITY_DN1824_c0_g1	yes	1	6.71759	7.577001	5.120009	3.943155	3.10422	5.958991	5.380834	1.01804	3.7079672	1.19801	5.380834	3.7079672	-1.6728668	0.653927563330792
GST	TRINITY_DN196_c0_g1	yes	1	20.937583	75.340624	13.497852	29.757789	30.634876	35.825061	34.7870518	27.5672	26.193557199999997	2.67746	34.7870518	26.193557199999997	-8.593494600000003	0.999999010765626
GST	TRINITY_DN196_c1_g2	yes	2	33.620211999999995	54.670605	31.227857999999998	36.779561	30.862761	27.502089	33.9792072	10.537844	26.3728382	5.0050099999999995	33.9792072	26.3728382	-7.606368999999997	0.635887243353259
GST	TRINITY_DN196_c6_g1	yes	4	214.314858	314.133576	39.488433	153.974637	225.145662	221.947356	174.51667809999998	115.3342155	167.48648699999998	36.00916	174.51667809999998	167.48648699999998	-7.030191099999996	0.999999010765626
GST	TRINITY_DN1970_c0_g1	no	11	5.094472	11.616484999999999	5.222049	23.655359999999998	8.541786	9.035599	6.464061320000001	3.0762936	13.133271740000001	10.6893597	6.464061320000001	13.133271740000001	6.669210420000001	3.69601050356004e-05
GST	TRINITY_DN2000_c0_g1	no	7	2.690121	3.440723	2.542366	3.552317	3.710394	4.959569	2.848356	2.6775	4.0044334	3.725795	2.848356	4.0044334	1.1560774	2.82738998239772e-06
GST	TRINITY_DN2379_c0_g3	no	4	7.154753	7.283024999999999	5.475772	10.123603000000001	10.791783	8.334092	5.507987340000001	0.9885360000000001	8.03287194	1.1650577	5.507987340000001	8.03287194	2.524884599999999	0.978564835772076
GST	TRINITY_DN2529_c0_g1	no	9	3.54014	4.39028	2.882027	3.546255	3.675426	4.953489	3.15394726	1.3531407	3.70495926	2.2912363	3.15394726	3.70495926	0.5510120000000001	0.0195639742080472
