Family	GeneID	HistoricalFinal	TranscriptCount	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_mean	Dan_sd	Mul_mean	Mul_sd	Dan_mean	Mul_mean	Delta_Mul_minus_Dan	Best_padj
SULT	TRINITY_DN1282_c1_g2	yes	5	0.53343	1.302409	0.681225	9.62363	4.063916	2.642842	0.7638224599999999	0.46302699999999997	5.0216276	3.3342850000000004	0.7638224599999999	5.0216276	4.25780514	0.000565151314297892
SULT	TRINITY_DN13428_c0_g1	yes	6	0.240016	0.5344099999999999	0.12103	0.314299	1.307853	0.061437	0.287271254	0.24241494	0.57298028	0.6201161	0.287271254	0.57298028	0.28570902600000003	0.936443740549123
SULT	TRINITY_DN13428_c0_g2	yes	2	0.079301	0.250719	0.246333	0.411366	0.440033	0.106472	0.19364534	0.199756	0.2856202	0.15094	0.19364534	0.2856202	0.09197485999999999	0.52255951790223
SULT	TRINITY_DN18563_c0_g1	yes	3	0.172274	0.644387	1.677719	0.0	0.062638	0.0	0.8060048	0.7041837000000001	0.02260902	0.0295278	0.8060048	0.02260902	-0.78339578	0.0880568816237983
SULT	TRINITY_DN1884_c0_g1	yes	13	60.328386	104.456856	41.575593	48.481214	85.29727199999999	108.355405	66.6467667	58.0861035	81.4085734	84.197603	66.6467667	81.4085734	14.761806699999994	0.00741900122887147
SULT	TRINITY_DN260_c1_g1	yes	8	460.727667	723.701139	381.201308	374.594053	345.946152	455.796607	448.28376538000003	153.9121739	327.8480732	70.791537	448.28376538000003	327.8480732	-120.43569218000005	2.38922223377513e-07
SULT	TRINITY_DN275_c0_g1	no	12	5.164658	9.938026	6.101466	9.709106	8.179689	9.885457	6.24017958	2.9287029	7.9377181000000006	2.6562457999999998	6.24017958	7.9377181000000006	1.6975385200000002	0.261098516650537
SULT	TRINITY_DN27959_c0_g1	no	2	0.071259	0.16493	0.9604349999999999	0.111798	0.089698	0.084282	0.40467638	0.4278829	0.07858782	0.0119018	0.40467638	0.07858782	-0.32608855999999997	0.895319426882355
SULT	TRINITY_DN5927_c0_g1	yes	13	116.516503	220.669767	168.25462000000002	118.991785	104.788347	66.246954	144.25169668	47.3376788	82.034120538	23.46783769	144.25169668	82.034120538	-62.21757614200001	0.000380082727223878
SULT	TRINITY_DN5949_c0_g1	no	5	6.003498	10.646097	4.050796	8.988485	5.64395	1.034779	6.1871354400000005	3.3351559	4.9608336	3.914543	6.1871354400000005	4.9608336	-1.2263018400000005	0.605300291010221
SULT	TRINITY_DN659_c1_g1	no	6	133.412877	239.75860799999998	222.323406	148.24445699999998	121.585513	98.512	169.299746	52.505368999999995	105.7343216	37.548928000000004	169.299746	105.7343216	-63.5654244	0.454701681349215
