Family	GeneID	HistoricalFinal
UGT	TRINITY_DN11717_c0_g2	yes
UGT	TRINITY_DN12106_c1_g5	no
UGT	TRINITY_DN1342_c0_g2	no
UGT	TRINITY_DN13580_c0_g1	no
UGT	TRINITY_DN16531_c0_g1	no
UGT	TRINITY_DN1687_c0_g1	no
UGT	TRINITY_DN1689_c0_g1	yes
UGT	TRINITY_DN1689_c0_g2	yes
UGT	TRINITY_DN1689_c1_g1	yes
UGT	TRINITY_DN17113_c0_g1	yes
UGT	TRINITY_DN18424_c0_g1	yes
UGT	TRINITY_DN20280_c0_g1	no
UGT	TRINITY_DN20280_c1_g1	no
UGT	TRINITY_DN21024_c0_g1	no
UGT	TRINITY_DN2328_c0_g1	yes
UGT	TRINITY_DN2332_c0_g1	yes
UGT	TRINITY_DN243_c0_g1	yes
UGT	TRINITY_DN28473_c0_g1	no
UGT	TRINITY_DN3225_c0_g1	no
UGT	TRINITY_DN3269_c0_g1	yes
UGT	TRINITY_DN37939_c0_g1	no
UGT	TRINITY_DN38523_c0_g1	no
UGT	TRINITY_DN39303_c0_g1	no
UGT	TRINITY_DN41259_c0_g1	no
UGT	TRINITY_DN5199_c0_g1	yes
UGT	TRINITY_DN5252_c0_g3	no
UGT	TRINITY_DN566_c0_g2	no
UGT	TRINITY_DN60107_c0_g1	no
UGT	TRINITY_DN654_c0_g1	yes
UGT	TRINITY_DN6816_c0_g1	yes
UGT	TRINITY_DN7259_c0_g1	no
UGT	TRINITY_DN729_c0_g1	no
UGT	TRINITY_DN7973_c0_g1	no
UGT	TRINITY_DN8039_c0_g1	no
UGT	TRINITY_DN87_c1_g3	no
UGT	TRINITY_DN9587_c0_g1	no
