Family	GeneID	Condition	Replicate	Sample	TPM
CarE	TRINITY_DN10214_c0_g1	Dan	1	Dan_mg1	0.202525
CarE	TRINITY_DN10214_c0_g1	Dan	2	Dan_mg2	0.401503
CarE	TRINITY_DN10214_c0_g1	Dan	3	Dan_mg3	0.481993
CarE	TRINITY_DN10214_c0_g1	Mul	1	Mul_mg1	0.387801
CarE	TRINITY_DN10214_c0_g1	Mul	2	Mul_mg2	0.512033
CarE	TRINITY_DN10214_c0_g1	Mul	3	Mul_mg3	0.15555
CarE	TRINITY_DN1194_c0_g1	Dan	1	Dan_mg1	8.243196
CarE	TRINITY_DN1194_c0_g1	Dan	2	Dan_mg2	11.593958
CarE	TRINITY_DN1194_c0_g1	Dan	3	Dan_mg3	5.352087
CarE	TRINITY_DN1194_c0_g1	Mul	1	Mul_mg1	8.909136
CarE	TRINITY_DN1194_c0_g1	Mul	2	Mul_mg2	10.842778
CarE	TRINITY_DN1194_c0_g1	Mul	3	Mul_mg3	22.938625
CarE	TRINITY_DN13111_c1_g1	Dan	1	Dan_mg1	0.483457
CarE	TRINITY_DN13111_c1_g1	Dan	2	Dan_mg2	0.703705
CarE	TRINITY_DN13111_c1_g1	Dan	3	Dan_mg3	0.438018
CarE	TRINITY_DN13111_c1_g1	Mul	1	Mul_mg1	0.6163409999999999
CarE	TRINITY_DN13111_c1_g1	Mul	2	Mul_mg2	0.5152220000000001
CarE	TRINITY_DN13111_c1_g1	Mul	3	Mul_mg3	0.49023100000000003
CarE	TRINITY_DN1740_c0_g3	Dan	1	Dan_mg1	3.412963
CarE	TRINITY_DN1740_c0_g3	Dan	2	Dan_mg2	5.313427
CarE	TRINITY_DN1740_c0_g3	Dan	3	Dan_mg3	1.844601
CarE	TRINITY_DN1740_c0_g3	Mul	1	Mul_mg1	7.907323
CarE	TRINITY_DN1740_c0_g3	Mul	2	Mul_mg2	8.185565
CarE	TRINITY_DN1740_c0_g3	Mul	3	Mul_mg3	10.349802
CarE	TRINITY_DN22_c1_g1	Dan	1	Dan_mg1	94.046204
CarE	TRINITY_DN22_c1_g1	Dan	2	Dan_mg2	109.988953
CarE	TRINITY_DN22_c1_g1	Dan	3	Dan_mg3	39.345527
CarE	TRINITY_DN22_c1_g1	Mul	1	Mul_mg1	63.689823000000004
CarE	TRINITY_DN22_c1_g1	Mul	2	Mul_mg2	49.329521
CarE	TRINITY_DN22_c1_g1	Mul	3	Mul_mg3	67.72452
CarE	TRINITY_DN22_c2_g1	Dan	1	Dan_mg1	5.728978
CarE	TRINITY_DN22_c2_g1	Dan	2	Dan_mg2	8.329708
CarE	TRINITY_DN22_c2_g1	Dan	3	Dan_mg3	7.30494
CarE	TRINITY_DN22_c2_g1	Mul	1	Mul_mg1	7.244254
CarE	TRINITY_DN22_c2_g1	Mul	2	Mul_mg2	6.256051
CarE	TRINITY_DN22_c2_g1	Mul	3	Mul_mg3	7.466169
CarE	TRINITY_DN2312_c0_g1	Dan	1	Dan_mg1	122.281248
CarE	TRINITY_DN2312_c0_g1	Dan	2	Dan_mg2	273.593183
CarE	TRINITY_DN2312_c0_g1	Dan	3	Dan_mg3	45.191125
CarE	TRINITY_DN2312_c0_g1	Mul	1	Mul_mg1	35.55659
CarE	TRINITY_DN2312_c0_g1	Mul	2	Mul_mg2	33.592735
CarE	TRINITY_DN2312_c0_g1	Mul	3	Mul_mg3	34.845456
CarE	TRINITY_DN235_c0_g1	Dan	1	Dan_mg1	20.578737
CarE	TRINITY_DN235_c0_g1	Dan	2	Dan_mg2	27.055259000000003
CarE	TRINITY_DN235_c0_g1	Dan	3	Dan_mg3	13.283896
CarE	TRINITY_DN235_c0_g1	Mul	1	Mul_mg1	21.453209
CarE	TRINITY_DN235_c0_g1	Mul	2	Mul_mg2	27.683482
CarE	TRINITY_DN235_c0_g1	Mul	3	Mul_mg3	29.514065000000002
CarE	TRINITY_DN25123_c0_g1	Dan	1	Dan_mg1	0.14831
CarE	TRINITY_DN25123_c0_g1	Dan	2	Dan_mg2	0.310312
CarE	TRINITY_DN25123_c0_g1	Dan	3	Dan_mg3	0.223771
CarE	TRINITY_DN25123_c0_g1	Mul	1	Mul_mg1	0.151037
CarE	TRINITY_DN25123_c0_g1	Mul	2	Mul_mg2	0.146694
CarE	TRINITY_DN25123_c0_g1	Mul	3	Mul_mg3	0.105728
CarE	TRINITY_DN256_c0_g1	Dan	1	Dan_mg1	68.639888
CarE	TRINITY_DN256_c0_g1	Dan	2	Dan_mg2	76.05456699999999
CarE	TRINITY_DN256_c0_g1	Dan	3	Dan_mg3	71.633096
CarE	TRINITY_DN256_c0_g1	Mul	1	Mul_mg1	68.429578
CarE	TRINITY_DN256_c0_g1	Mul	2	Mul_mg2	63.202992
CarE	TRINITY_DN256_c0_g1	Mul	3	Mul_mg3	88.187764
CarE	TRINITY_DN3016_c0_g1	Dan	1	Dan_mg1	24.182643
CarE	TRINITY_DN3016_c0_g1	Dan	2	Dan_mg2	23.102034
CarE	TRINITY_DN3016_c0_g1	Dan	3	Dan_mg3	4.213123
CarE	TRINITY_DN3016_c0_g1	Mul	1	Mul_mg1	56.771411
CarE	TRINITY_DN3016_c0_g1	Mul	2	Mul_mg2	47.238597999999996
CarE	TRINITY_DN3016_c0_g1	Mul	3	Mul_mg3	56.849317
CarE	TRINITY_DN5029_c0_g1	Dan	1	Dan_mg1	0.114009
CarE	TRINITY_DN5029_c0_g1	Dan	2	Dan_mg2	3.564317
CarE	TRINITY_DN5029_c0_g1	Dan	3	Dan_mg3	0.159466
CarE	TRINITY_DN5029_c0_g1	Mul	1	Mul_mg1	5.405727000000001
CarE	TRINITY_DN5029_c0_g1	Mul	2	Mul_mg2	2.689457
CarE	TRINITY_DN5029_c0_g1	Mul	3	Mul_mg3	1.137344
CarE	TRINITY_DN5285_c0_g1	Dan	1	Dan_mg1	41.630706
CarE	TRINITY_DN5285_c0_g1	Dan	2	Dan_mg2	52.31971
CarE	TRINITY_DN5285_c0_g1	Dan	3	Dan_mg3	35.33123
CarE	TRINITY_DN5285_c0_g1	Mul	1	Mul_mg1	56.484621
CarE	TRINITY_DN5285_c0_g1	Mul	2	Mul_mg2	51.264856
CarE	TRINITY_DN5285_c0_g1	Mul	3	Mul_mg3	77.552592
CarE	TRINITY_DN552_c0_g1	Dan	1	Dan_mg1	71.68526800000001
CarE	TRINITY_DN552_c0_g1	Dan	2	Dan_mg2	69.841554
CarE	TRINITY_DN552_c0_g1	Dan	3	Dan_mg3	103.22563299999999
CarE	TRINITY_DN552_c0_g1	Mul	1	Mul_mg1	59.20842
CarE	TRINITY_DN552_c0_g1	Mul	2	Mul_mg2	73.54925300000001
CarE	TRINITY_DN552_c0_g1	Mul	3	Mul_mg3	66.278902
CarE	TRINITY_DN58976_c0_g1	Dan	1	Dan_mg1	0.028288
CarE	TRINITY_DN58976_c0_g1	Dan	2	Dan_mg2	0.821056
CarE	TRINITY_DN58976_c0_g1	Dan	3	Dan_mg3	0.986019
CarE	TRINITY_DN58976_c0_g1	Mul	1	Mul_mg1	0.279525
CarE	TRINITY_DN58976_c0_g1	Mul	2	Mul_mg2	0.114472
