Gene_ID	In_extended_peptide
TRINITY_DN1031_c0_g1	No
TRINITY_DN1069_c0_g1	Yes
TRINITY_DN11873_c0_g1	No
TRINITY_DN13006_c0_g1	No
TRINITY_DN17545_c0_g1	Yes
TRINITY_DN2768_c0_g1	Yes
TRINITY_DN2810_c0_g1	Yes
TRINITY_DN30482_c0_g1	Yes
TRINITY_DN30540_c0_g1	No
TRINITY_DN32616_c0_g1	No
TRINITY_DN3806_c0_g2	No
TRINITY_DN414_c0_g1	Yes
TRINITY_DN414_c0_g2	Yes
TRINITY_DN420_c0_g1	No
TRINITY_DN4939_c0_g1	No
TRINITY_DN521_c0_g3	No
TRINITY_DN52336_c0_g1	Yes
TRINITY_DN5504_c1_g2	Yes
TRINITY_DN56789_c0_g1	No
TRINITY_DN598_c0_g1	Yes
TRINITY_DN6330_c0_g1	Yes
TRINITY_DN6341_c0_g1	No
TRINITY_DN6341_c1_g1	No
TRINITY_DN6927_c0_g1	Yes
