Ph_GeneID	Bm_accession	Identity	AlignLen	Evalue	Bitscore	Bm_description
TRINITY_DN26550_c0_g2	XP_062532235.1	60.3	58	408	6.36e-17	XP_062532235.1
TRINITY_DN25915_c0_g1	NP_001266427.1	53.3	60	61	1.60e-16	NP_001266427.1
TRINITY_DN180_c0_g1	NP_001106226.1	60.8	51	61	6.79e-15	NP_001106226.1
TRINITY_DN598_c0_g1	NP_001104007.1	69.5	59	59	1.34e-23	NP_001104007.1
TRINITY_DN3078_c0_g2	NP_001106222.1	78.3	60	60	5.41e-32	NP_001106222.1
TRINITY_DN159_c0_g1	XP_004932789.1	51.7	60	390	1.42e-15	XP_004932789.1
TRINITY_DN17545_c0_g1	NP_001266437.1	51.7	58	203	2.37e-14	NP_001266437.1
TRINITY_DN10129_c0_g1	NP_001103833.1	58.3	60	114	1.34e-20	NP_001103833.1
TRINITY_DN6341_c1_g1	NP_001077079.1	66.7	60	184	1.01e-23	NP_001077079.1
TRINITY_DN762_c0_g1	NP_001077079.1	48.3	58	62	1.95e-15	NP_001077079.1
