Ph_gene_id	CDS_length_bp	peptide_length_aa	CDS_div3	length_check
TRINITY_DN127_c0_g4	954	318	318	OK
TRINITY_DN12904_c0_g1	1425	475	475	OK
TRINITY_DN1316_c0_g1	1548	516	516	OK
TRINITY_DN13796_c0_g1	486	162	162	OK
TRINITY_DN159_c0_g1	1218	406	406	OK
TRINITY_DN1632_c1_g1	1506	502	502	OK
TRINITY_DN1767_c0_g1	429	143	143	OK
TRINITY_DN180_c0_g2	1536	512	512	OK
TRINITY_DN18331_c0_g2	909	303	303	OK
TRINITY_DN1840_c0_g2	1608	536	536	OK
TRINITY_DN276_c0_g1	1371	457	457	OK
TRINITY_DN3078_c0_g2	1620	540	540	OK
TRINITY_DN521_c1_g1	1152	384	384	OK
TRINITY_DN5241_c0_g1	1494	498	498	OK
TRINITY_DN946_c0_g1	1503	501	501	OK
