Name_x	SRR14535554	SRR14535555	SRR14535556	SRR14535564	SRR14535565	SRR14535566	Mean_TPM	Max_TPM	seqid	start	end	strand	ID	Name_y	transcript_id	gene	product	gbkey	raw_attr	match_id	match_source	cyp_symbol_guess
XM_038016615.2	52.336371	129.832364	66.476187	60.701333	143.051926	57.648825	85.00783433333334	143.051926	NC_085123.1	16141164	16153678	+	rna-XM_038016615.2	XM_038016615.2	XM_038016615.2	Cyp9a22	cytochrome P450 CYP9A22, transcript variant X1	mRNA	ID=rna-XM_038016615.2;Parent=gene-Cyp9a22;Dbxref=GeneID:100124424,GenBank:XM_038016615.2;Name=XM_038016615.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp9a22;model_evidence=Supporting evidence includes similarity to: 5 mRNAs%2C 1 EST%2C 364 Proteins%2C 969 long SRA reads;product=cytochrome P450 CYP9A22%2C transcript variant X1;transcript_id=XM_038016615.2	XM_038016615.2	Name	CYP9A22
XM_062676255.1	41.883347	97.923969	10.886004	44.076127	14.044585	58.716282	44.588385666666674	97.923969	NC_085132.1	11309176	11323508	-	rna-XM_062676255.1	XM_062676255.1	XM_062676255.1	LOC101742342	cytochrome P450 4V2	mRNA	ID=rna-XM_062676255.1;Parent=gene-LOC101742342;Dbxref=GeneID:101742342,GenBank:XM_062676255.1;Name=XM_062676255.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101742342;model_evidence=Supporting evidence includes similarity to: 7 Proteins%2C 179 long SRA reads;product=cytochrome P450 4V2;transcript_id=XM_062676255.1	XM_062676255.1	Name	CYP4V2
NM_001109934.1	25.180718	31.053778	24.233906	34.253864	52.993461	18.436353	31.025346666666664	52.993461	NC_085123.1	16017879	16032151	-	rna-NM_001109934.1	NM_001109934.1	NM_001109934.1	Cyp9a19	cytochrome P450	mRNA	ID=rna-NM_001109934.1;Parent=gene-Cyp9a19;Dbxref=GeneID:100126178,GenBank:NM_001109934.1;Name=NM_001109934.1;Note=The RefSeq transcript has 3 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp9a19;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001109934.1;product=cytochrome P450;transcript_id=NM_001109934.1	NM_001109934.1	Name	CYP9A19
XM_004927911.5	22.358205	25.874217	27.362429	29.258947	25.840739	22.006765	25.45021700000001	29.258947	NC_085119.1	4524920	4542443	-	rna-XM_004927911.5	XM_004927911.5	XM_004927911.5	LOC101744617	cytochrome P450 CYP12A2, transcript variant X1	mRNA	ID=rna-XM_004927911.5;Parent=gene-LOC101744617;Dbxref=GeneID:101744617,GenBank:XM_004927911.5;Name=XM_004927911.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101744617;model_evidence=Supporting evidence includes similarity to: 4 mRNAs%2C 1 EST%2C 44 Proteins%2C 3948 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X1;transcript_id=XM_004927911.5	XM_004927911.5	Name	CYP12A2
NM_001102464.2	20.101042	28.415252	18.319273	20.862796	21.907778	12.477493	20.347272333333333	28.415252	NC_085123.1	16141213	16153678	+	rna-NM_001102464.2	NM_001102464.2	NM_001102464.2	Cyp9a22	cytochrome P450 CYP9A22	mRNA	ID=rna-NM_001102464.2;Parent=gene-Cyp9a22;Dbxref=GeneID:100124424,GenBank:NM_001102464.2;Name=NM_001102464.2;Note=The RefSeq transcript has 2 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp9a22;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001102464.2;product=cytochrome P450 CYP9A22;transcript_id=NM_001102464.2	NM_001102464.2	Name	CYP9A22
NM_001114868.1	24.371073	17.226615	21.0801	15.814404	18.937477	12.30717	18.289473166666667	24.371073	NC_085121.1	6654152	6666752	+	rna-NM_001114868.1	NM_001114868.1	NM_001114868.1	Cyp332a1	cytochrome P450 CYP332A1	mRNA	ID=rna-NM_001114868.1;Parent=gene-Cyp332a1;Dbxref=GeneID:100141432,GenBank:NM_001114868.1;Name=NM_001114868.1;Note=The RefSeq transcript has 2 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp332a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001114868.1;product=cytochrome P450 CYP332A1;transcript_id=NM_001114868.1	NM_001114868.1	Name	CYP332A1
XM_062671730.1	5.06247	13.826153	10.301213	8.993991	19.55704	10.322487	11.343892333333336	19.55704	NC_085119.1	4524920	4542202	-	rna-XM_062671730.1	XM_062671730.1	XM_062671730.1	LOC101744617	cytochrome P450 CYP12A2, transcript variant X2	mRNA	ID=rna-XM_062671730.1;Parent=gene-LOC101744617;Dbxref=GeneID:101744617,GenBank:XM_062671730.1;Name=XM_062671730.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101744617;model_evidence=Supporting evidence includes similarity to: 1 mRNA%2C 1 EST%2C 23 Proteins%2C 1984 long SRA reads;product=cytochrome P450 CYP12A2%2C transcript variant X2;transcript_id=XM_062671730.1	XM_062671730.1	Name	CYP12A2
NM_001079666.1	7.999583	8.368858	10.447218	11.128687	11.388581	6.599606	9.322088833333334	11.388581	NC_085111.1	11910795	11925723	-	rna-NM_001079666.1	NM_001079666.1	NM_001079666.1	Cyp4m9	cytochrome P450 CYP4M9	mRNA	ID=rna-NM_001079666.1;Parent=gene-Cyp4m9;Dbxref=GeneID:780857,GenBank:NM_001079666.1;Name=NM_001079666.1;Note=The RefSeq transcript has 4 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp4m9;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001079666.1;product=cytochrome P450 CYP4M9;transcript_id=NM_001079666.1	NM_001079666.1	Name	CYP4M9
NM_001110537.1	10.20451	4.319253	9.906762	7.717755	4.434576	2.07564	6.443082666666666	10.20451	NC_085117.1	17992125	17996776	-	rna-NM_001110537.1	NM_001110537.1	NM_001110537.1	Cyp6ab5	cytochrome P450	mRNA	ID=rna-NM_001110537.1;Parent=gene-Cyp6ab5;Dbxref=GeneID:100126559,GenBank:NM_001110537.1;Name=NM_001110537.1;Note=The RefSeq transcript has 14 substitutions compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp6ab5;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001110537.1;product=cytochrome P450;transcript_id=NM_001110537.1	NM_001110537.1	Name	CYP6AB5
XM_062671298.1	5.519382	4.902319	4.938925	5.887971	4.418991	6.007537	5.2791875	6.007537	NC_085118.1	8847953	8860210	-	rna-XM_062671298.1	XM_062671298.1	XM_062671298.1	Cyp6ae9	cytochrome P450 CYP6AE9, transcript variant X1	mRNA	ID=rna-XM_062671298.1;Parent=gene-Cyp6ae9;Dbxref=GeneID:100126548,GenBank:XM_062671298.1;Name=XM_062671298.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp6ae9;model_evidence=Supporting evidence includes similarity to: 3 mRNAs%2C 84 Proteins%2C 299 long SRA reads;product=cytochrome P450 CYP6AE9%2C transcript variant X1;transcript_id=XM_062671298.1	XM_062671298.1	Name	CYP6AE9
