Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions	SecondPassRecommendation	SecondPassReason	TopHitAnnotations
UGT	TRINITY_DN1342_c0_g2	review	no_family_defining_domain_in_current_core_table	no	IPR001584;IPR005027;PF00665;PF03360	Glycosyl transferase, family 43;Glycosyltransferase family 43;Integrase core domain;Integrase, catalytic core	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN13580_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005027;PF03360	Glycosyl transferase, family 43;Glycosyltransferase family 43	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN16531_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR002654;PF01755;PF13704	Glycosyl transferase family 2;Glycosyl transferase, family 25;Glycosyltransferase family 25 (LPS biosynthesis protein)	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN1687_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR007052;IPR007699;PF04969;PF05002	CS domain;SGS domain	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN21024_c0_g1	review	no_family_defining_domain_in_current_core_table	no	PF13896	Glycosyl-transferase for dystroglycan	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN28473_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005013;PF03345	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48kDa subunit;Oligosaccharyltransferase 48 kDa subunit beta	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN3225_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003674;PF02516	Oligosaccharyl transferase STT3 subunit;Oligosaccharyl transferase, STT3 subunit	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN41259_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005828;PF00083	Major facilitator,  sugar transporter-like;Sugar (and other) transporter	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN566_c0_g2	review	no_family_defining_domain_in_current_core_table	no	IPR005828;PF00083	Major facilitator,  sugar transporter-like;Sugar (and other) transporter	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN7259_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR007676;PF04597	Ribophorin I	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN729_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003038;IPR012479;PF02109;PF07818	DAD family;DAD/Ost2;HCNGP-like protein;SAP30-binding protein	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN7973_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR021149;PF04756	OST3 / OST6 family, transporter family;Oligosaccharyl transferase complex, subunit OST3/OST6	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
UGT	TRINITY_DN8039_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003378;PF02434	Fringe-like	exclude_from_canonical_UGT	alternative domain architecture; PF00201/IPR002213 absent	none_in_archived_top_hits
