GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Pfam_IDs	InterPro_IDs	InterPro_Descriptions	GO_Terms
TRINITY_DN127_c0_g1	6687.71659031621	2.77354797878966	0.537126555148363	5.16367688807261	2.42145537660183e-07	5.73473733718984e-05	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN3752_c0_g1	1715.28300218927	-1.77925938679531	0.450004805920203	-3.95386752183002	7.68979976078605e-05	0.00658107044982181	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN9010_c0_g1	160.002139752127	6.63249577242858	1.76750336907487	3.75246570302159	0.000175103793726631	0.0119451240155254	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN414_c0_g1	1628.05836761702	0.855100313212079	0.246140551554014	3.47403265253687	0.000512698638350465	0.0271154212439959	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN619_c2_g1	6853.77551315042	0.875681471819261	0.275544850307123	3.17799977333354	0.00148294866781216	0.0579874507114587	PF00487,PF00173	IPR005804,IPR001199	Fatty acid desaturase domain; Cytochrome b5-like heme/steroid binding domain	GO:0006629|-
TRINITY_DN1840_c0_g2	4377.63888883993	1.55059592201693	0.5166443623313	3.00128296188125	0.00268844613751941	0.0862317953615254	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN420_c0_g1	23304.4056317029	0.846614763721769	0.29905889305352	2.83092990506809	0.00464128912552237	0.124481754494779	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN488_c0_g1	5115.13772481393	0.634287329652212	0.225458991423298	2.81331574158131	0.00490334786152663	0.128222546578921	PF00173	IPR001199	Cytochrome b5-like heme/steroid binding domain	-
TRINITY_DN241_c0_g2	2364.48002833482	-2.06352921358891	0.762089482783221	-2.70772561517673	0.00677460063485387	0.157570446579901	PF00067	IPR001128	Cytochrome P450	GO:0004497|GO:0005506|GO:0016705|GO:0020037
TRINITY_DN6999_c0_g1	412.533136464224	0.889964776790077	0.329441193429952	2.70143744783181	0.00690404657818932	0.159300721782045	PF01082,PF03712,PF05585,PF03564,PF18701,PF05380,PF17921	IPR000323,IPR024548,IPR008737,IPR005312,IPR040676,IPR008042,IPR041588	Copper type II, ascorbate-dependent monooxygenase, N-terminal; Copper type II ascorbate-dependent monooxygenase, C-terminal; Peptidase aspartic, putative; Protein of unknown function DUF1759; Domain of unknown function DUF5641; Retrotransposon, Pao; Integrase zinc-binding domain	GO:0004497|GO:0005507|GO:0016715|-
