family	component	component_size	representative_id
CarE	CarE_C001	20	TRINITY_DN10214_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN1194_c0_g1_i10.p1
CarE	CarE_C001	20	TRINITY_DN13111_c1_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN1740_c0_g3_i1.p1
CarE	CarE_C001	20	TRINITY_DN22_c1_g1_i12.p1
CarE	CarE_C001	20	TRINITY_DN22_c2_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN2312_c0_g1_i11.p1
CarE	CarE_C001	20	TRINITY_DN235_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN25123_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN256_c0_g1_i8.p1
CarE	CarE_C001	20	TRINITY_DN3016_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN5029_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN5285_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN552_c0_g1_i15.p1
CarE	CarE_C001	20	TRINITY_DN58976_c0_g1_i1.p1
CarE	CarE_C001	20	TRINITY_DN604_c0_g1_i10.p1
CarE	CarE_C001	20	TRINITY_DN665_c0_g1_i12.p1
CarE	CarE_C001	20	TRINITY_DN69_c0_g1_i5.p1
CarE	CarE_C001	20	TRINITY_DN920_c0_g1_i14.p1
CarE	CarE_C001	20	TRINITY_DN9322_c0_g2_i1.p1
