gene_id	module	stability	Dan_mean	Mul_mean	MaxMean	log2FC_Dan_vs_Mul	CV_Dan	CV_Mul	expressed_samples_TPM1	Bmori_title	Spodo_title	peptide_length	Bmori_pident	Spodo_pident	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Dan_sd	Mul_sd	mean_TPM	MinMean	Dan_expressed_TPM1	Mul_expressed_TPM1	representative_txid	representative_pepid	Bmori_top1_id	Bmori_bitscore	Spodo_top1_id	Spodo_bitscore
TRINITY_DN159_c0_g1	core_shared	stable	240.547794666667	189.307757333333	240.547794666667	0.345427783636896	0.278110207332878	0.140723324173579	6	probable cytochrome P450 303a1 [Bombyx mori]	XP_050562229.1 probable cytochrome P450 304a1 [Spodoptera frugiperda]	406	31.429	80.597	167.572298	255.010477	299.060609	159.416574	197.902889	210.603809	66.9266080689464	26.6540892362093	214.927776	189.307757333333	3	3	TRINITY_DN159_c0_g1_i11	TRINITY_DN159_c0_g1_i11.p1	ref|XP_021208040.1|	183	XP_050562229.1	708
TRINITY_DN127_c0_g4	core_shared	stable	171.114641	229.180663	229.180663	-0.421308610950105	0.549437717813698	0.0993461044367998	6	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	318	57.051	69.872	119.785765	279.685713	113.872445	203.719562	236.197813	247.624614	94.0717816073316	22.7781406917367	200.147652	171.114641	3	3	TRINITY_DN127_c0_g4_i1	TRINITY_DN127_c0_g4_i1.p1	ref|XP_012552063.3|	397	XP_050552986.1	477
TRINITY_DN180_c0_g2	core_shared	stable	182.778041	149.498422666667	182.778041	0.289786890674254	0.393855715286896	0.0650112277630123	6	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]	512	57.199	76.587	105.15559	247.454996	195.723537	149.79631	139.627324	159.071634	72.0275616483213	9.72557712897005	166.138231833333	149.498422666667	3	3	TRINITY_DN180_c0_g2_i1	TRINITY_DN180_c0_g2_i1.p1	ref|NP_001106226.1|	610	XP_035447007.2	835
TRINITY_DN169_c0_g1	core_shared	stable	90.2446433333333	57.9042773333333	90.2446433333333	0.639279773185766	0.700950006588274	0.148915105176802	6	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]	455	56.667	81.573	18.897518	112.043422	139.79299	66.316847	49.057778	58.338207	63.3270783397153	8.63771305979773	74.0744603333333	57.9042773333333	3	3	TRINITY_DN169_c0_g1_i3	TRINITY_DN169_c0_g1_i3.p1	ref|NP_001106226.1|	551	XP_035447007.2	781
TRINITY_DN276_c0_g1	core_shared	stable	38.6524356666667	59.7292353333333	59.7292353333333	-0.626563634833135	0.0681975079852003	0.154135525185991	6	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_050561169.1 cytochrome P450 CYP12A2 [Spodoptera frugiperda]	457	58.785	78.308	38.059144	41.541474	36.356689	62.069626	49.562723	67.555357	2.64281954082346	9.22181060957957	49.1908355	38.6524356666667	3	3	TRINITY_DN276_c0_g1_i3	TRINITY_DN276_c0_g1_i3.p1	ref|XP_004927968.1|	576	XP_050561169.1	753
TRINITY_DN946_c0_g1	core_shared	moderate	38.4880253333333	23.5770346666667	38.4880253333333	0.704664810830421	0.81713469064386	0.47811479043651	6	cytochrome P450 6k1 isoform X2 [Bombyx mori]	XP_035447568.2 cytochrome P450 6k1 [Spodoptera frugiperda]	501	47.609	77	5.658973	68.538265	41.266838	11.768656	24.626149	34.336299	31.5316141433108	11.3203404678113	31.03253	23.5770346666667	3	3	TRINITY_DN946_c0_g1_i9	TRINITY_DN946_c0_g1_i9.p1	ref|XP_062530768.1|	502	XP_035447568.2	823
TRINITY_DN1632_c1_g1	core_shared	stable	27.081351	37.597197	37.597197	-0.471840090497639	0.324067754865609	0.262992524679883	6	cytochrome P450 monooxygenase Cyp4M5 [Bombyx mori]	XP_035442125.2 cytochrome P450 4C1 [Spodoptera frugiperda]	502	64.741	81.637	17.044481	33.527145	30.672427	36.244282	28.429051	48.118258	8.80859939278407	9.91408101238491	32.339274	27.081351	3	3	TRINITY_DN1632_c1_g1_i1	TRINITY_DN1632_c1_g1_i1.p1	ref|NP_001103833.1|	682	XP_035442125.2	866
TRINITY_DN180_c0_g1	core_shared	stable	35.8407073333333	21.1122733333333	35.8407073333333	0.760719558443178	0.66413658018656	0.592773527844339	6	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]	504	56.495	76.587	23.706598	63.339687	20.475837	33.572368	21.337214	8.427238	23.869538457846	12.5740740973984	28.4764903333333	21.1122733333333	3	3	TRINITY_DN180_c0_g1_i1	TRINITY_DN180_c0_g1_i1.p1	ref|NP_001106226.1|	590	XP_035447007.2	829
TRINITY_DN352_c0_g1	core_shared	stable	9.23932766666667	12.5467136666667	12.5467136666667	-0.437371939720549	0.620127648306308	0.186425754231161	6	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_035439389.2 cytochrome P450 12b1, mitochondrial [Spodoptera frugiperda]	517	62.173	74.706	4.471083	15.684266	7.562634	9.841298	13.636425	14.162418	5.79157530269203	2.35767313385387	10.8930206666667	9.23932766666667	3	3	TRINITY_DN352_c0_g1_i13	TRINITY_DN352_c0_g1_i13.p1	ref|XP_004932126.1|	680	XP_035439389.2	831
TRINITY_DN25915_c0_g1	core_shared	moderate	6.98462033333333	11.028936	11.028936	-0.651553222149769	0.825423643050198	0.284364831865583	6	cytochrome P450 6B7-like [Bombyx mori]	XP_035458986.2 cytochrome P450 6B6 [Spodoptera frugiperda]	518	64.128	85.714	7.036579	12.806281	1.111001	8.012021	10.751657	14.32313	5.8478131251675	3.16467801448283	9.00677816666667	6.98462033333333	3	3	TRINITY_DN25915_c0_g1_i1	TRINITY_DN25915_c0_g1_i1.p1	ref|NP_001266427.1|	674	XP_035458986.2	917
