TRINITY_DN114_c0_g1_i11.p1	TRINITY_DN114_c0_g1_i11.p1	100.000	284	284	284	0.0	590
TRINITY_DN11666_c0_g1_i2.p1	TRINITY_DN11666_c0_g1_i2.p1	100.000	334	334	334	0.0	680
TRINITY_DN11666_c0_g1_i2.p1	TRINITY_DN1682_c0_g2_i2.p1	44.000	50	334	247	5.93e-06	36.6
TRINITY_DN11666_c0_g1_i2.p1	TRINITY_DN163_c3_g1_i1.p1	32.877	73	334	218	8.25e-05	32.7
TRINITY_DN11666_c0_g1_i2.p1	TRINITY_DN13779_c0_g1_i1.p1	28.767	73	334	220	4.07e-04	30.8
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	100.000	217	217	217	1.59e-164	443
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN163_c3_g1_i1.p1	75.349	215	217	218	3.79e-124	341
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	44.076	211	217	247	2.16e-56	170
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	40.278	216	217	226	2.91e-56	169
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	37.879	198	217	227	6.00e-46	143
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	33.990	203	217	228	1.27e-42	134
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	35.047	214	217	220	1.35e-40	129
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	38.571	70	217	114	9.87e-13	53.1
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	100.000	228	228	228	2.38e-174	469
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	71.111	225	228	227	7.38e-127	349
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	48.198	222	228	247	1.15e-77	225
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	78.070	114	228	114	2.62e-67	194
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	34.842	221	228	218	2.11e-48	149
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	33.990	203	228	217	1.33e-42	134
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	30.660	212	228	226	2.47e-36	118
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	33.136	169	228	220	9.72e-29	98.6
TRINITY_DN1343_c0_g1_i14.p1	TRINITY_DN1343_c0_g1_i14.p1	100.000	826	826	826	0.0	1702
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	100.000	220	220	220	2.63e-166	448
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	35.047	214	220	217	1.37e-40	129
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	33.178	214	220	218	3.63e-40	128
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	35.000	220	220	247	1.46e-39	127
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	34.419	215	220	226	1.06e-38	124
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	36.813	182	220	227	3.89e-33	110
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	33.136	169	220	228	9.37e-29	98.6
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN11666_c0_g1_i2.p1	28.767	73	220	334	2.40e-04	30.8
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN1407_c0_g1_i1.p1	28.148	135	220	207	3.71e-04	30.0
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN1407_c0_g1_i1.p1	100.000	207	207	207	9.50e-157	422
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN196_c6_g1_i10.p1	31.500	200	207	201	6.92e-30	100
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN196_c1_g2_i1.p1	30.488	164	207	217	2.16e-24	86.7
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN196_c0_g1_i1.p1	29.907	107	207	119	5.69e-14	56.6
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN2000_c0_g1_i17.p1	25.275	91	207	389	1.22e-04	31.6
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	28.148	135	207	220	3.49e-04	30.0
TRINITY_DN1407_c0_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	24.460	139	207	247	0.001	28.9
TRINITY_DN1430_c2_g2_i1.p1	TRINITY_DN1430_c2_g2_i1.p1	100.000	150	150	150	2.32e-109	298
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	100.000	218	218	218	2.87e-166	447
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	75.349	215	218	217	3.80e-124	341
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	46.262	214	218	247	1.59e-64	191
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	41.204	216	218	226	2.51e-57	172
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	40.092	217	218	227	8.56e-55	166
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	34.842	221	218	228	2.02e-48	149
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	33.178	214	218	220	3.60e-40	128
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	34.091	88	218	114	9.39e-16	61.2
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN1970_c0_g1_i1.p1	30.864	81	218	241	3.56e-05	33.1
TRINITY_DN163_c3_g1_i1.p1	TRINITY_DN11666_c0_g1_i2.p1	32.877	73	218	334	6.00e-05	32.7
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN1682_c0_g2_i2.p1	100.000	247	247	247	0.0	508
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN18158_c2_g2_i1.p1	52.232	224	247	227	1.66e-86	247
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN1310_c0_g1_i1.p1	48.198	222	247	228	1.25e-77	225
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN163_c3_g1_i1.p1	46.262	214	247	218	1.80e-64	191
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN12434_c0_g2_i1.p1	44.076	211	247	217	2.46e-56	170
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN1824_c0_g1_i1.p1	37.037	216	247	226	3.71e-50	155
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN13779_c0_g1_i1.p1	35.000	220	247	220	1.63e-39	127
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN18158_c2_g1_i1.p1	37.168	113	247	114	8.89e-22	77.8
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN11666_c0_g1_i2.p1	44.000	50	247	334	5.79e-06	36.2
TRINITY_DN1682_c0_g2_i2.p1	TRINITY_DN196_c6_g1_i10.p1	23.718	156	247	201	6.41e-04	29.3
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	100.000	114	114	114	1.15e-85	235
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	78.070	114	114	228	1.31e-67	194
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	73.684	114	114	227	3.46e-59	172
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	37.168	113	114	247	4.10e-22	77.8
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	34.091	88	114	218	4.91e-16	61.2
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	38.571	70	114	217	5.18e-13	53.1
TRINITY_DN18158_c2_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	28.302	106	114	226	2.57e-10	45.8
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	100.000	227	227	227	1.68e-171	461
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	71.111	225	227	228	7.35e-127	349
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	52.232	224	227	247	1.52e-86	247
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	73.684	114	227	114	6.89e-59	172
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN163_c3_g1_i1.p1	40.092	217	227	218	8.91e-55	166
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	37.879	198	227	217	6.28e-46	143
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	35.849	212	227	226	5.92e-45	140
TRINITY_DN18158_c2_g2_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	36.813	182	227	220	4.01e-33	110
TRINITY_DN1824_c0_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	100.000	226	226	226	6.74e-174	468
