family	component	component_size	representative_id
SULT	SULT_C001	7	TRINITY_DN1282_c1_g2_i1.p1
SULT	SULT_C001	7	TRINITY_DN13428_c0_g1_i1.p1
SULT	SULT_C001	7	TRINITY_DN13428_c0_g2_i1.p1
SULT	SULT_C001	7	TRINITY_DN18563_c0_g1_i1.p1
SULT	SULT_C001	7	TRINITY_DN1884_c0_g1_i17.p1
SULT	SULT_C001	7	TRINITY_DN260_c1_g1_i12.p1
SULT	SULT_C001	7	TRINITY_DN5949_c0_g1_i3.p1
SULT	SULT_C002	1	TRINITY_DN275_c0_g1_i16.p1
SULT	SULT_C003	1	TRINITY_DN27959_c0_g1_i2.p1
SULT	SULT_C004	1	TRINITY_DN5927_c0_g1_i23.p1
SULT	SULT_C005	1	TRINITY_DN659_c1_g1_i4.p1
