qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	qlen	sstart	send	slen	evalue	bitscore	qcov	scov
TRINITY_DN4407_c0_g1_i1.p1	Bmori|NP_001104822.1	26.471	68	35	2	268	329	1160	145	203	535	0.47	25.8	5.86207	12.7103
TRINITY_DN585_c0_g1_i1.p1	Spodoptera|XP_035459067.2	30.952	42	25	1	81	122	251	386	423	546	0.12	25.0	16.7331	7.69231
TRINITY_DN304_c0_g1_i2.p1	Bmori|NP_001037027.1	24.286	70	48	2	29	96	318	356	422	570	0.40	23.9	22.0126	12.2807
TRINITY_DN14240_c0_g4_i2.p1	Spodoptera|XP_035450368.2	40.625	32	16	1	816	844	873	351	382	538	0.61	25.0	3.66552	5.94796
TRINITY_DN2164_c0_g1_i7.p1	Spodoptera|XP_050551513.1	28.261	46	33	0	342	387	794	81	126	589	0.50	25.0	5.79345	7.80985
TRINITY_DN17939_c1_g1_i2.p1	Spodoptera|XP_050549265.1	32.143	56	37	1	23	78	273	107	161	532	0.022	27.7	20.5128	10.5263
TRINITY_DN1251_c0_g1_i14.p1	Bmori|NP_001116814.1	23.077	104	59	2	169	251	255	397	500	545	0.007	29.3	40.7843	19.0826
TRINITY_DN2425_c1_g1_i1.p1	Spodoptera|XP_050551626.1	28.571	56	29	2	50	94	112	707	762	1092	0.63	21.2	50	5.12821
TRINITY_DN26404_c0_g1_i1.p1	Bmori|XP_004933450.1	31.148	61	40	1	74	134	157	161	219	580	0.020	26.6	38.8535	10.5172
TRINITY_DN26404_c0_g1_i1.p1	Bmori|NP_001116814.1	32.308	65	35	4	71	126	157	376	440	545	0.072	24.6	41.4013	11.9266
TRINITY_DN26404_c0_g1_i1.p1	Bmori|XP_004933503.2	34.783	46	23	1	74	119	157	159	197	581	0.61	21.9	29.2994	7.91738
TRINITY_DN26404_c0_g2_i1.p1	Spodoptera|XP_035452555.2	60.000	15	6	0	199	213	221	387	401	627	0.26	23.9	6.78733	2.39234
TRINITY_DN11038_c0_g1_i6.p1	Spodoptera|XP_035452555.2	20.930	129	83	4	328	439	447	57	183	627	0.96	23.1	28.8591	20.5742
TRINITY_DN5900_c0_g1_i1.p1	Bmori|XP_037869459.1	41.935	31	17	1	76	105	506	373	403	533	0.91	23.5	6.12648	5.81614
TRINITY_DN18473_c0_g1_i1.p1	Bmori|XP_004933450.1	20.000	50	40	0	151	200	210	183	232	580	0.027	26.9	23.8095	8.62069
TRINITY_DN18473_c0_g1_i1.p1	Spodoptera|XP_035435407.2	21.875	64	48	1	136	199	210	173	234	583	0.35	23.1	30.4762	10.9777
TRINITY_DN1367_c0_g1_i10.p1	Bmori|XP_004924611.1	21.569	51	37	1	290	337	456	331	381	555	0.14	25.8	11.1842	9.18919
TRINITY_DN1367_c0_g1_i10.p1	Spodoptera|XP_035435407.2	40.000	20	12	0	319	338	456	382	401	583	0.81	23.5	4.38596	3.43053
TRINITY_DN4547_c0_g1_i1.p1	Spodoptera|XP_035429431.2	25.352	71	51	2	39	108	124	475	544	553	0.21	22.7	57.2581	12.8391
TRINITY_DN4547_c0_g1_i1.p1	Bmori|XP_004932948.1	41.176	17	10	0	91	107	124	170	186	325	0.48	21.6	13.7097	5.23077
TRINITY_DN4547_c0_g1_i1.p1	Spodoptera|XP_035430420.2	30.435	23	16	0	39	61	124	473	495	554	0.59	21.6	18.5484	4.15162
TRINITY_DN20743_c0_g2_i3.p1	Spodoptera|XP_050551513.1	26.984	63	36	2	294	356	428	291	343	589	0.94	23.1	14.7196	10.6961
TRINITY_DN59205_c0_g1_i1.p1	Spodoptera|XP_035456135.2	36.364	44	24	2	303	344	368	60	101	750	0.014	28.9	11.9565	5.86667
TRINITY_DN59205_c0_g1_i1.p1	Spodoptera|XP_035456134.2	36.364	44	24	2	303	344	368	154	195	844	0.028	27.7	11.9565	5.21327
