SelectionType	Group	Marker	TranscriptID	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	DanMean	MulMean	MeanTPM	CV	SwissProtID	IdentityPct	QueryCoveragePct	Evalue	Bitscore	Annotation
Functional_panel_top_expressed	Housekeeping	Ribosomal protein eL32 (RP49-like)	TRINITY_DN59317_c0_g1_i1	416.201325	740.428164	429.983988	828.473098	795.882182	745.721111	528.871159	790.0254636666667	659.4483113333333	0.2820761917263009	sp|Q962T1|RL32_SPOFR	99.3	99.25925925925925	1.13e-89	259.0	sp|Q962T1|RL32_SPOFR Large ribosomal subunit protein eL32 OS=Spodoptera frugiperda OX=7108 GN=RpL32 PE=2 SV=1
Functional_panel_top_expressed	Housekeeping	Actin	TRINITY_DN3270_c0_g1_i4	739.075956	1254.657135	448.350822	1034.376924	1233.376227	1235.455101	814.027971	1167.736084	990.8820274999999	0.3340549505617429	sp|Q25010|ACT3A_HELAM	100.0	99.73474801061008	3.05e-280	761.0	sp|Q25010|ACT3A_HELAM Actin, cytoplasmic A3a OS=Helicoverpa armigera OX=29058 GN=actA3a PE=2 SV=1
Functional_panel_top_expressed	Housekeeping	Alpha/Beta tubulin	TRINITY_DN34_c1_g1_i4	646.630881	800.00782	238.247554	864.579853	812.019613	676.756441	561.6287516666667	784.4519690000001	673.0403603333333	0.34003573326032177	sp|P52273|TBA_BOMMO	99.3	99.77827050997783	0.0	912.0	sp|P52273|TBA_BOMMO Tubulin alpha chain OS=Bombyx mori OX=7091 PE=2 SV=1
Functional_panel_top_expressed	Housekeeping	Elongation factor 1-alpha	TRINITY_DN3455_c0_g1_i1	487.797652	894.151762	599.604903	1184.150947	1085.675549	877.880934	660.5181056666667	1049.2358100000001	854.8769578333334	0.31547603048747813	sp|P29520|EF1A_BOMMO	98.1	99.78448275862068	0.0	910.0	sp|P29520|EF1A_BOMMO Elongation factor 1-alpha OS=Bombyx mori OX=7091 PE=2 SV=1
Functional_panel_top_expressed	Housekeeping	GAPDH	TRINITY_DN4438_c0_g2_i1	166.465532	249.8997	98.938342	250.606022	242.519512	222.716281	171.76785800000002	238.61393833333332	205.19089816666667	0.29685427919619095	sp|P07487|G3P2_DROME	84.9	99.69969969969969	4.77e-207	572.0	sp|P07487|G3P2_DROME Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Drosophila melanogaster OX=7227 GN=Gapdh2 PE=1 SV=2
Functional_panel_top_expressed	Energy	ATP synthase	TRINITY_DN6596_c0_g1_i2	279.562941	368.55214	169.329134	293.794257	370.283834	398.933621	272.481405	354.33723733333335	313.40932116666664	0.2702868512332325	sp|Q9W141|ATPK_DROME	77.6	99.07407407407408	3.09e-63	190.0	sp|Q9W141|ATPK_DROME Putative ATP synthase subunit f, mitochondrial OS=Drosophila melanogaster OX=7227 GN=ATPsynF PE=3 SV=1
Functional_panel_top_expressed	Digestion	Trypsin	TRINITY_DN2_c0_g1_i6	11028.525254	18542.212691	14648.429174	10515.841086	10210.527926	14886.24655	14739.722373000002	11870.871853999999	13305.297113499999	0.24761360139584213	sp|P35042|TRYP_CHOFU	66.7	100.78125	2.28e-52	168.0	sp|P35042|TRYP_CHOFU Trypsin CFT-1 OS=Choristoneura fumiferana OX=7141 PE=1 SV=1
Functional_panel_top_expressed	Digestion	Chymotrypsin	TRINITY_DN233_c0_g1_i3	3862.189619	8962.464097	7750.042337	2746.25537	2784.089077	7070.292877	6858.232017666666	4200.212441333333	5529.2222295	0.4930060764428591	sp|Q91X79|CELA1_MOUSE	38.7	52.44755244755245	1.88e-08	54.7	sp|Q91X79|CELA1_MOUSE Chymotrypsin-like elastase family member 1 OS=Mus musculus OX=10090 GN=Cela1 PE=1 SV=1
Functional_panel_top_expressed	Digestion	Aminopeptidase N	TRINITY_DN4639_c0_g1_i8	61.78938	115.810615	101.702387	103.633947	152.166094	111.123503	93.10079400000001	122.30784799999999	107.704321	0.2695764498446231	sp|P91885|AMPN_MANSE	67.2	99.89528795811518	0.0	1305.0	sp|P91885|AMPN_MANSE Aminopeptidase N OS=Manduca sexta OX=7130 GN=APN2 PE=1 SV=2
Functional_panel_top_expressed	Digestion	Carboxypeptidase	TRINITY_DN3079_c0_g1_i13	1340.032311	1680.054502	560.319564	1649.565242	1971.760153	1656.081347	1193.4687923333333	1759.1355806666668	1476.3021865	0.3327977600426903	sp|Q3T905|CBPB_HELZE	39.7	99.76415094339623	1.48e-100	309.0	sp|Q3T905|CBPB_HELZE Carboxypeptidase B OS=Helicoverpa zea OX=7113 GN=CPB PE=1 SV=1
