qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN6816_c0_g1_i13.p1	31.853	518	541	519	1.01e-89	277	95.7486	99.8073
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN243_c0_g1_i5.p1	31.485	505	541	518	3.11e-86	268	93.3457	97.4903
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN18424_c0_g1_i1.p1	32.114	492	541	522	2.72e-84	263	90.9427	94.2529
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN17113_c0_g1_i16.p1	32.245	490	541	511	7.33e-83	259	90.573	95.8904
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN2332_c0_g1_i2.p1	29.623	530	541	545	6.38e-72	231	97.9667	97.2477
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN654_c0_g1_i2.p1	31.148	488	541	519	5.53e-65	212	90.2033	94.027
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN39303_c0_g1_i5.p1	26.990	515	541	529	9.23e-60	198	95.1941	97.3535
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN1689_c0_g1_i2.p1	28.743	501	541	519	2.02e-57	191	92.6063	96.5318
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN87_c1_g3_i5.p1	28.906	512	541	541	2.04e-57	192	94.6396	94.6396
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN1689_c0_g2_i1.p1	29.149	470	541	475	5.25e-53	179	86.8762	98.9474
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN3269_c0_g1_i2.p1	26.869	495	541	523	3.36e-51	175	91.4972	94.6463
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN2328_c0_g1_i1.p1	28.138	494	541	528	2.41e-49	170	91.3124	93.5606
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN1689_c1_g1_i4.p1	27.557	479	541	518	3.51e-49	169	88.5397	92.471
TRINITY_DN11717_c0_g2_i2.p1	TRINITY_DN5199_c0_g1_i1.p1	28.008	507	541	526	6.17e-44	154	93.7153	96.3878
TRINITY_DN12106_c1_g5_i1.p1	TRINITY_DN5252_c0_g3_i1.p1	67.521	117	132	166	5.13e-60	174	88.6364	70.4819
TRINITY_DN12106_c1_g5_i1.p1	TRINITY_DN20280_c0_g1_i1.p1	66.197	71	132	135	7.52e-33	104	53.7879	52.5926
TRINITY_DN12106_c1_g5_i1.p1	TRINITY_DN37939_c0_g1_i1.p1	34.074	135	132	167	1.65e-21	76.6	102.273	80.8383
