Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions
GST	TRINITY_DN114_c0_g1	review	no_family_defining_domain_in_current_core_table	no	none	none
GST	TRINITY_DN11666_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR004045;PF13410;PF13417	Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN12434_c0_g2	provisional_HQ_domain	family_defining_domain_detected	no	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1310_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1343_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR003029;IPR004210;IPR006578;IPR018974;IPR032639;IPR041692;PF00575;PF02944;PF09371;PF10545;PF12836;PF16921;PF17674	Alcohol dehydrogenase transcription factor Myb/SANT-like;BESS motif;HHH domain;HHH domain 9;Helix-hairpin-helix motif;MADF domain;S1 RNA binding domain;S1 domain;Tex protein YqgF-like domain;Tex protein, YqgF-like domain;Tex-like protein N-terminal domain;Tex-like protein, N-terminal
GST	TRINITY_DN13779_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1407_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1430_c2_g2	review	no_family_defining_domain_in_current_core_table	no	IPR013766;PF00085	Thioredoxin;Thioredoxin domain
GST	TRINITY_DN163_c3_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1682_c0_g2	provisional_HQ_domain	family_defining_domain_detected	no	IPR004045;IPR004046;PF00043;PF02798	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN18158_c2_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004046;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain
GST	TRINITY_DN18158_c2_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1824_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF00043;PF13417	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN196_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004046;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain
GST	TRINITY_DN196_c1_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN196_c6_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR004045;IPR004046;PF02798;PF14497	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN1970_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR004045;PF13410;PF13417	Glutathione S-transferase, C-terminal domain;Glutathione S-transferase, N-terminal;Glutathione S-transferase, N-terminal domain
GST	TRINITY_DN2000_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR002109;PF00462	Glutaredoxin
GST	TRINITY_DN2379_c0_g3	provisional_HQ_domain	family_defining_domain_detected	no	IPR004046;PF00043	Glutathione S-transferase, C-terminal;Glutathione S-transferase, C-terminal domain
GST	TRINITY_DN2529_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR019564;IPR033468;PF10568;PF17171	Glutathione S-transferase, C-terminal domain;Metaxin, glutathione S-transferase domain;Mitochondrial outer membrane transport complex Sam37/metaxin, N-terminal domain;Outer mitochondrial membrane transport complex protein
