qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	qlen	sstart	send	slen	evalue	bitscore	qcov	scov
TRINITY_DN4688_c0_g1_i16.p1	Bmori|XP_004922383.1	25.000	56	35	1	219	274	479	61	109	176	0.39	23.1	11.691	31.8182
TRINITY_DN15695_c1_g1_i1.p1	Bmori|XP_012546165.2	28.986	69	41	2	394	459	672	71	134	276	0.084	26.2	10.2679	25
TRINITY_DN1769_c1_g1_i4.p1	Spodoptera|XP_050560502.1	53.333	15	7	0	270	284	534	217	231	305	0.35	23.9	2.80899	4.91803
TRINITY_DN26404_c0_g1_i1.p1	Bmori|XP_012548985.2	38.710	31	18	1	105	135	157	312	341	387	0.78	20.8	19.7452	8.01034
TRINITY_DN11038_c0_g1_i6.p1	Spodoptera|XP_050562835.1	22.449	49	38	0	122	170	447	1588	1636	1896	0.98	22.3	10.962	2.58439
TRINITY_DN5900_c0_g1_i1.p1	Bmori|XP_012544300.1	33.333	69	34	3	23	88	506	59	118	204	0.031	26.9	13.6364	33.8235
TRINITY_DN7854_c2_g1_i1.p1	Bmori|XP_062526798.1	25.000	104	58	4	35	129	478	4	96	332	0.40	23.5	21.7573	31.3253
TRINITY_DN18473_c0_g1_i1.p1	Spodoptera|XP_035453953.1	29.032	31	22	0	111	141	210	67	97	240	0.29	22.3	14.7619	12.9167
TRINITY_DN41380_c0_g1_i1.p1	Spodoptera|XP_050560502.1	46.154	13	7	0	94	106	197	70	82	305	0.33	22.3	6.59898	4.2623
TRINITY_DN56723_c0_g1_i1.p1	Bmori|XP_012546165.2	30.455	220	134	6	5	210	254	3	217	276	8.64e-21	80.5	86.6142	79.7101
TRINITY_DN56723_c0_g1_i1.p1	Spodoptera|XP_050560502.1	28.319	113	75	3	1	110	254	61	170	305	0.013	26.9	44.4882	37.0492
TRINITY_DN56723_c0_g1_i1.p1	Bmori|XP_037874601.1	25.000	72	52	1	20	89	254	36	107	217	0.088	24.3	28.3465	33.1797
TRINITY_DN4547_c0_g1_i1.p1	Spodoptera|XP_035444198.2	58.824	17	7	0	29	45	124	9	25	204	0.081	23.1	13.7097	8.33333
TRINITY_DN4547_c0_g1_i1.p1	Bmori|XP_012544300.1	43.478	23	13	0	23	45	124	3	25	204	0.22	21.6	18.5484	11.2745
TRINITY_DN14357_c0_g1_i1.p1	Bmori|XP_004930432.1	39.286	28	12	1	73	100	141	524	546	658	0.89	20.4	19.8582	4.25532
TRINITY_DN14357_c0_g1_i1.p1	Bmori|XP_004930431.1	39.286	28	12	1	73	100	141	524	546	802	0.91	20.4	19.8582	3.49127
TRINITY_DN13444_c0_g1_i3.p1	Spodoptera|XP_035431091.1	28.333	60	38	1	394	453	458	12	66	388	0.003	30.0	13.1004	15.4639
TRINITY_DN13444_c0_g1_i3.p1	Spodoptera|XP_050557506.1	28.571	35	25	0	404	438	458	128	162	433	0.43	23.5	7.64192	8.08314
TRINITY_DN2023_c0_g1_i1.p1	Spodoptera|XP_035440580.2	24.706	85	61	1	142	226	507	134	215	221	0.97	22.3	16.7653	38.4615
TRINITY_DN5203_c0_g1_i1.p1	Bmori|XP_004930432.1	27.536	69	45	2	270	338	476	266	329	658	0.60	23.1	14.4958	10.4863
TRINITY_DN5203_c0_g1_i1.p1	Bmori|XP_004930431.1	27.536	69	45	2	270	338	476	266	329	802	0.64	23.1	14.4958	8.60349
