HQ36_order	gene_id	module	stability	Dan_mean	Mul_mean	MaxMean	log2FC_Dan_vs_Mul	peptide_length	Bmori_title	Bmori_pident	Bmori_bitscore	Spodo_title	Spodo_pident	Spodo_bitscore	representative_txid	representative_pepid
1	TRINITY_DN159_c0_g1	core_shared	stable	240.547794666667	189.307757333333	240.547794666667	0.345427783636896	406	probable cytochrome P450 303a1 [Bombyx mori]	31.429	ref|XP_021208040.1|	XP_050562229.1 probable cytochrome P450 304a1 [Spodoptera frugiperda]	80.597	XP_050562229.1	3	TRINITY_DN159_c0_g1_i11
2	TRINITY_DN127_c0_g4	core_shared	stable	171.114641	229.180663	229.180663	-0.421308610950105	318	LOW QUALITY PROTEIN: cytochrome P450 6B2 [Bombyx mori]	57.051	ref|XP_012552063.3|	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]	69.872	XP_050552986.1	3	TRINITY_DN127_c0_g4_i1
3	TRINITY_DN180_c0_g2	core_shared	stable	182.778041	149.498422666667	182.778041	0.289786890674254	512	cytochrome P450 Cyp6b29 [Bombyx mori]	57.199	ref|NP_001106226.1|	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]	76.587	XP_035447007.2	3	TRINITY_DN180_c0_g2_i1
4	TRINITY_DN169_c0_g1	core_shared	stable	90.2446433333333	57.9042773333333	90.2446433333333	0.639279773185766	455	cytochrome P450 Cyp6b29 [Bombyx mori]	56.667	ref|NP_001106226.1|	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]	81.573	XP_035447007.2	3	TRINITY_DN169_c0_g1_i3
5	TRINITY_DN276_c0_g1	core_shared	stable	38.6524356666667	59.7292353333333	59.7292353333333	-0.626563634833135	457	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	58.785	ref|XP_004927968.1|	XP_050561169.1 cytochrome P450 CYP12A2 [Spodoptera frugiperda]	78.308	XP_050561169.1	3	TRINITY_DN276_c0_g1_i3
6	TRINITY_DN946_c0_g1	core_shared	moderate	38.4880253333333	23.5770346666667	38.4880253333333	0.704664810830421	501	cytochrome P450 6k1 isoform X2 [Bombyx mori]	47.609	ref|XP_062530768.1|	XP_035447568.2 cytochrome P450 6k1 [Spodoptera frugiperda]	77	XP_035447568.2	3	TRINITY_DN946_c0_g1_i9
7	TRINITY_DN1632_c1_g1	core_shared	stable	27.081351	37.597197	37.597197	-0.471840090497639	502	cytochrome P450 monooxygenase Cyp4M5 [Bombyx mori]	64.741	ref|NP_001103833.1|	XP_035442125.2 cytochrome P450 4C1 [Spodoptera frugiperda]	81.637	XP_035442125.2	3	TRINITY_DN1632_c1_g1_i1
8	TRINITY_DN180_c0_g1	core_shared	stable	35.8407073333333	21.1122733333333	35.8407073333333	0.760719558443178	504	cytochrome P450 Cyp6b29 [Bombyx mori]	56.495	ref|NP_001106226.1|	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]	76.587	XP_035447007.2	3	TRINITY_DN180_c0_g1_i1
9	TRINITY_DN352_c0_g1	core_shared	stable	9.23932766666667	12.5467136666667	12.5467136666667	-0.437371939720549	517	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	62.173	ref|XP_004932126.1|	XP_035439389.2 cytochrome P450 12b1, mitochondrial [Spodoptera frugiperda]	74.706	XP_035439389.2	3	TRINITY_DN352_c0_g1_i13
10	TRINITY_DN25915_c0_g1	core_shared	moderate	6.98462033333333	11.028936	11.028936	-0.651553222149769	518	cytochrome P450 6B7-like [Bombyx mori]	64.128	ref|NP_001266427.1|	XP_035458986.2 cytochrome P450 6B6 [Spodoptera frugiperda]	85.714	XP_035458986.2	3	TRINITY_DN25915_c0_g1_i1
