Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions	SecondPassRecommendation	SecondPassReason	TopHitAnnotations	RepresentativePeptide	PeptideLength	WalkerA	ABCSignatureLSGGQ	HydrophobicSegmentProxy	ABCTriage	ABCTriageReason
ABC	TRINITY_DN10989_c0_g1	review	NBD_only_or_TMD_not_detected	no	IPR003439;PF00005	ABC transporter;ABC transporter-like, ATP-binding domain	hold_ABC_fragment_review	partial ABC architecture; requires isoform/homology inspection	none_in_archived_top_hits	TRINITY_DN10989_c0_g1_i5.p1	198	true	false	0	hold_for_targeted_homology_or_assembly_review	current isoforms do not unite sufficient sequence and architecture evidence
ABC	TRINITY_DN11606_c0_g1	review	NBD_only_or_TMD_not_detected	yes	IPR003439;PF00005;PF12698	ABC transporter;ABC transporter-like, ATP-binding domain;ABC-2 family transporter protein	retain_ABC_fragment_or_partial	historical homology plus partial ABC architecture; inspect isoforms before nomenclature	XP_037873529.1 retinal-specific phospholipid-transporting ATPase ABCA4 [Bombyx mori] | XP_050551035.1 phospholipid-transporting ATPase ABCA3 [Spodoptera frugiperda]	TRINITY_DN11606_c0_g1_i6.p1	1641	true	false	10	retain_historical_partial_ABC	historical support plus partial sequence-level ABC evidence
ABC	TRINITY_DN16854_c0_g1	review	NBD_only_or_TMD_not_detected	no	IPR003439;PF00005	ABC transporter;ABC transporter-like, ATP-binding domain	hold_ABC_fragment_review	partial ABC architecture; requires isoform/homology inspection	none_in_archived_top_hits	TRINITY_DN16854_c0_g1_i2.p2	121	false	true	0	hold_for_targeted_homology_or_assembly_review	current isoforms do not unite sufficient sequence and architecture evidence
ABC	TRINITY_DN16854_c0_g4	review	TMD_only_or_NBD_not_detected	no	IPR011527;PF00664	ABC transporter transmembrane region;ABC transporter type 1, transmembrane domain	hold_ABC_fragment_review	partial ABC architecture; requires isoform/homology inspection	none_in_archived_top_hits	TRINITY_DN16854_c0_g4_i1.p1	214	false	false	2	hold_for_targeted_homology_or_assembly_review	current isoforms do not unite sufficient sequence and architecture evidence
ABC	TRINITY_DN18075_c0_g1	review	NBD_only_or_TMD_not_detected	yes	IPR003439;PF00005	ABC transporter;ABC transporter-like, ATP-binding domain	retain_ABC_fragment_or_partial	historical homology plus partial ABC architecture; inspect isoforms before nomenclature	XP_004931997.1 ATP-binding cassette sub-family G member 5 [Bombyx mori] | XP_050557282.1 LOW QUALITY PROTEIN: ATP-binding cassette sub-family G member 5 [Spodoptera frugiperda]	TRINITY_DN18075_c0_g1_i1.p1	645	false	false	5	retain_historical_partial_ABC	historical support plus partial sequence-level ABC evidence
ABC	TRINITY_DN18570_c0_g1	review	TMD_only_or_NBD_not_detected	no	IPR011527;PF00664	ABC transporter transmembrane region;ABC transporter type 1, transmembrane domain	hold_ABC_fragment_review	partial ABC architecture; requires isoform/homology inspection	none_in_archived_top_hits	TRINITY_DN18570_c0_g1_i2.p1	150	false	false	1	hold_for_targeted_homology_or_assembly_review	current isoforms do not unite sufficient sequence and architecture evidence
ABC	TRINITY_DN21667_c0_g1	review	no_family_defining_domain_in_current_core_table	yes	PF12698	ABC-2 family transporter protein	hold_ABC_historical_review	historical candidate lacks defining domains in the current representative sequence	XP_012548268.1 cholesterol transporter ABCA5 [Bombyx mori] | XP_035448265.1 cholesterol transporter ABCA5 isoform X2 [Spodoptera frugiperda]	TRINITY_DN21667_c0_g1_i1.p1	465	false	false	5	retain_historical_partial_ABC	historical support plus partial sequence-level ABC evidence
ABC	TRINITY_DN21780_c0_g1	review	TMD_only_or_NBD_not_detected	no	IPR013525;IPR043926;PF01061;PF19055	ABC transporter family G domain;ABC-2 type transporter	hold_ABC_fragment_review	partial ABC architecture; requires isoform/homology inspection	none_in_archived_top_hits	TRINITY_DN21780_c0_g1_i1.p1	175	false	false	0	hold_for_targeted_homology_or_assembly_review	current isoforms do not unite sufficient sequence and architecture evidence
ABC	TRINITY_DN21780_c0_g2	review	TMD_only_or_NBD_not_detected	no	IPR013525;PF01061	ABC-2 type transporter	hold_ABC_fragment_review	partial ABC architecture; requires isoform/homology inspection	none_in_archived_top_hits	TRINITY_DN21780_c0_g2_i1.p1	136	false	false	3	hold_for_targeted_homology_or_assembly_review	current isoforms do not unite sufficient sequence and architecture evidence
ABC	TRINITY_DN264_c0_g1	review	NBD_only_or_TMD_not_detected	yes	IPR003439;PF00005;PF12698	ABC transporter;ABC transporter-like, ATP-binding domain;ABC-2 family transporter protein	retain_ABC_fragment_or_partial	historical homology plus partial ABC architecture; inspect isoforms before nomenclature	XP_012546914.1 phospholipid-transporting ATPase ABCA1 [Bombyx mori] | XP_035432453.1 phospholipid-transporting ATPase ABCA1 [Spodoptera frugiperda]	TRINITY_DN264_c0_g1_i5.p1	1744	true	true	10	retain_sequence_supported_ABC	Walker A, ABC signature, and hydrophobic segments co-occur in one isoform
