gene_id	representative_txid	representative_pepid	peptide_length
TRINITY_DN10129_c0_g1	TRINITY_DN10129_c0_g1_i1	TRINITY_DN10129_c0_g1_i1.p1	132
TRINITY_DN10198_c0_g1	TRINITY_DN10198_c0_g1_i10	TRINITY_DN10198_c0_g1_i10.p1	512
TRINITY_DN10997_c0_g1	TRINITY_DN10997_c0_g1_i11	TRINITY_DN10997_c0_g1_i11.p1	493
TRINITY_DN1100_c17_g1	TRINITY_DN1100_c17_g1_i1	TRINITY_DN1100_c17_g1_i1.p1	127
TRINITY_DN11056_c0_g1	TRINITY_DN11056_c0_g1_i1	TRINITY_DN11056_c0_g1_i1.p1	159
TRINITY_DN11335_c0_g1	TRINITY_DN11335_c0_g1_i1	TRINITY_DN11335_c0_g1_i1.p1	218
TRINITY_DN1263_c0_g1	TRINITY_DN1263_c0_g1_i1	TRINITY_DN1263_c0_g1_i1.p1	504
TRINITY_DN127_c0_g1	TRINITY_DN127_c0_g1_i3	TRINITY_DN127_c0_g1_i3.p1	553
TRINITY_DN127_c0_g2	TRINITY_DN127_c0_g2_i1	TRINITY_DN127_c0_g2_i1.p1	544
TRINITY_DN127_c0_g4	TRINITY_DN127_c0_g4_i1	TRINITY_DN127_c0_g4_i1.p1	318
TRINITY_DN127_c0_g5	TRINITY_DN127_c0_g5_i1	TRINITY_DN127_c0_g5_i1.p1	453
TRINITY_DN12904_c0_g1	TRINITY_DN12904_c0_g1_i1	TRINITY_DN12904_c0_g1_i1.p1	475
TRINITY_DN13006_c0_g1	TRINITY_DN13006_c0_g1_i1	TRINITY_DN13006_c0_g1_i1.p1	221
TRINITY_DN1316_c0_g1	TRINITY_DN1316_c0_g1_i11	TRINITY_DN1316_c0_g1_i11.p1	516
TRINITY_DN136_c6_g1	TRINITY_DN136_c6_g1_i10	TRINITY_DN136_c6_g1_i10.p1	111
TRINITY_DN13796_c0_g1	TRINITY_DN13796_c0_g1_i5	TRINITY_DN13796_c0_g1_i5.p1	162
TRINITY_DN1457_c0_g2	TRINITY_DN1457_c0_g2_i1	TRINITY_DN1457_c0_g2_i1.p1	133
TRINITY_DN14631_c0_g1	TRINITY_DN14631_c0_g1_i1	TRINITY_DN14631_c0_g1_i1.p1	496
TRINITY_DN147_c0_g1	TRINITY_DN147_c0_g1_i11	TRINITY_DN147_c0_g1_i11.p1	514
TRINITY_DN15068_c0_g1	TRINITY_DN15068_c0_g1_i1	TRINITY_DN15068_c0_g1_i1.p1	121
TRINITY_DN159_c0_g1	TRINITY_DN159_c0_g1_i11	TRINITY_DN159_c0_g1_i11.p1	406
TRINITY_DN159_c1_g1	TRINITY_DN159_c1_g1_i1	TRINITY_DN159_c1_g1_i1.p1	109
TRINITY_DN1632_c1_g1	TRINITY_DN1632_c1_g1_i1	TRINITY_DN1632_c1_g1_i1.p1	502
TRINITY_DN1632_c1_g2	TRINITY_DN1632_c1_g2_i1	TRINITY_DN1632_c1_g2_i1.p1	515
TRINITY_DN1691_c0_g4	TRINITY_DN1691_c0_g4_i1	TRINITY_DN1691_c0_g4_i1.p1	240
TRINITY_DN169_c0_g1	TRINITY_DN169_c0_g1_i3	TRINITY_DN169_c0_g1_i3.p1	455
TRINITY_DN1767_c0_g1	TRINITY_DN1767_c0_g1_i2	TRINITY_DN1767_c0_g1_i2.p1	143
TRINITY_DN180_c0_g1	TRINITY_DN180_c0_g1_i1	TRINITY_DN180_c0_g1_i1.p1	504
TRINITY_DN180_c0_g2	TRINITY_DN180_c0_g2_i1	TRINITY_DN180_c0_g2_i1.p1	512
TRINITY_DN180_c0_g3	TRINITY_DN180_c0_g3_i1	TRINITY_DN180_c0_g3_i1.p1	160
TRINITY_DN18331_c0_g2	TRINITY_DN18331_c0_g2_i1	TRINITY_DN18331_c0_g2_i1.p1	303
TRINITY_DN1840_c0_g2	TRINITY_DN1840_c0_g2_i23	TRINITY_DN1840_c0_g2_i23.p1	536
TRINITY_DN18419_c0_g1	TRINITY_DN18419_c0_g1_i11	TRINITY_DN18419_c0_g1_i11.p1	179
TRINITY_DN20601_c0_g1	TRINITY_DN20601_c0_g1_i1	TRINITY_DN20601_c0_g1_i1.p1	503
TRINITY_DN2213_c0_g1	TRINITY_DN2213_c0_g1_i1	TRINITY_DN2213_c0_g1_i1.p1	129
TRINITY_DN22780_c0_g1	TRINITY_DN22780_c0_g1_i1	TRINITY_DN22780_c0_g1_i1.p1	282
TRINITY_DN241_c0_g2	TRINITY_DN241_c0_g2_i4	TRINITY_DN241_c0_g2_i4.p1	503
TRINITY_DN257_c3_g1	TRINITY_DN257_c3_g1_i1	TRINITY_DN257_c3_g1_i1.p1	494
TRINITY_DN25915_c0_g1	TRINITY_DN25915_c0_g1_i1	TRINITY_DN25915_c0_g1_i1.p1	518
TRINITY_DN26550_c0_g1	TRINITY_DN26550_c0_g1_i2	TRINITY_DN26550_c0_g1_i2.p1	327
TRINITY_DN26550_c0_g2	TRINITY_DN26550_c0_g2_i3	TRINITY_DN26550_c0_g2_i3.p1	187
