peptide_id	transcript_id	gene_id
TRINITY_DN10129_c0_g1_i1.p1	TRINITY_DN10129_c0_g1_i1	TRINITY_DN10129_c0_g1
TRINITY_DN10129_c0_g1_i3.p1	TRINITY_DN10129_c0_g1_i3	TRINITY_DN10129_c0_g1
TRINITY_DN10198_c0_g1_i1.p1	TRINITY_DN10198_c0_g1_i1	TRINITY_DN10198_c0_g1
TRINITY_DN10198_c0_g1_i10.p1	TRINITY_DN10198_c0_g1_i10	TRINITY_DN10198_c0_g1
TRINITY_DN10198_c0_g1_i11.p1	TRINITY_DN10198_c0_g1_i11	TRINITY_DN10198_c0_g1
TRINITY_DN10198_c0_g1_i2.p1	TRINITY_DN10198_c0_g1_i2	TRINITY_DN10198_c0_g1
TRINITY_DN10198_c0_g1_i5.p1	TRINITY_DN10198_c0_g1_i5	TRINITY_DN10198_c0_g1
TRINITY_DN10198_c0_g1_i7.p2	TRINITY_DN10198_c0_g1_i7	TRINITY_DN10198_c0_g1
TRINITY_DN10997_c0_g1_i11.p1	TRINITY_DN10997_c0_g1_i11	TRINITY_DN10997_c0_g1
TRINITY_DN10997_c0_g1_i5.p1	TRINITY_DN10997_c0_g1_i5	TRINITY_DN10997_c0_g1
TRINITY_DN10997_c0_g1_i6.p1	TRINITY_DN10997_c0_g1_i6	TRINITY_DN10997_c0_g1
TRINITY_DN10997_c0_g1_i8.p1	TRINITY_DN10997_c0_g1_i8	TRINITY_DN10997_c0_g1
TRINITY_DN1100_c17_g1_i1.p1	TRINITY_DN1100_c17_g1_i1	TRINITY_DN1100_c17_g1
TRINITY_DN11056_c0_g1_i1.p1	TRINITY_DN11056_c0_g1_i1	TRINITY_DN11056_c0_g1
TRINITY_DN11056_c0_g1_i2.p1	TRINITY_DN11056_c0_g1_i2	TRINITY_DN11056_c0_g1
TRINITY_DN11335_c0_g1_i1.p1	TRINITY_DN11335_c0_g1_i1	TRINITY_DN11335_c0_g1
TRINITY_DN11335_c0_g1_i2.p1	TRINITY_DN11335_c0_g1_i2	TRINITY_DN11335_c0_g1
TRINITY_DN1263_c0_g1_i1.p1	TRINITY_DN1263_c0_g1_i1	TRINITY_DN1263_c0_g1
TRINITY_DN127_c0_g1_i2.p1	TRINITY_DN127_c0_g1_i2	TRINITY_DN127_c0_g1
TRINITY_DN127_c0_g1_i3.p1	TRINITY_DN127_c0_g1_i3	TRINITY_DN127_c0_g1
TRINITY_DN127_c0_g1_i4.p1	TRINITY_DN127_c0_g1_i4	TRINITY_DN127_c0_g1
TRINITY_DN127_c0_g2_i1.p1	TRINITY_DN127_c0_g2_i1	TRINITY_DN127_c0_g2
TRINITY_DN127_c0_g4_i1.p1	TRINITY_DN127_c0_g4_i1	TRINITY_DN127_c0_g4
TRINITY_DN127_c0_g4_i2.p1	TRINITY_DN127_c0_g4_i2	TRINITY_DN127_c0_g4
TRINITY_DN127_c0_g5_i1.p1	TRINITY_DN127_c0_g5_i1	TRINITY_DN127_c0_g5
TRINITY_DN12904_c0_g1_i1.p1	TRINITY_DN12904_c0_g1_i1	TRINITY_DN12904_c0_g1
TRINITY_DN13006_c0_g1_i1.p1	TRINITY_DN13006_c0_g1_i1	TRINITY_DN13006_c0_g1
TRINITY_DN1316_c0_g1_i11.p2	TRINITY_DN1316_c0_g1_i11	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i11.p1	TRINITY_DN1316_c0_g1_i11	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i16.p1	TRINITY_DN1316_c0_g1_i16	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i22.p1	TRINITY_DN1316_c0_g1_i22	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i25.p2	TRINITY_DN1316_c0_g1_i25	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i25.p1	TRINITY_DN1316_c0_g1_i25	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i5.p1	TRINITY_DN1316_c0_g1_i5	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i9.p2	TRINITY_DN1316_c0_g1_i9	TRINITY_DN1316_c0_g1
TRINITY_DN1316_c0_g1_i9.p1	TRINITY_DN1316_c0_g1_i9	TRINITY_DN1316_c0_g1
TRINITY_DN136_c6_g1_i10.p1	TRINITY_DN136_c6_g1_i10	TRINITY_DN136_c6_g1
TRINITY_DN136_c6_g1_i2.p1	TRINITY_DN136_c6_g1_i2	TRINITY_DN136_c6_g1
TRINITY_DN13796_c0_g1_i2.p1	TRINITY_DN13796_c0_g1_i2	TRINITY_DN13796_c0_g1
TRINITY_DN13796_c0_g1_i3.p1	TRINITY_DN13796_c0_g1_i3	TRINITY_DN13796_c0_g1
TRINITY_DN13796_c0_g1_i4.p1	TRINITY_DN13796_c0_g1_i4	TRINITY_DN13796_c0_g1
TRINITY_DN13796_c0_g1_i5.p1	TRINITY_DN13796_c0_g1_i5	TRINITY_DN13796_c0_g1
TRINITY_DN1457_c0_g2_i1.p1	TRINITY_DN1457_c0_g2_i1	TRINITY_DN1457_c0_g2
TRINITY_DN1457_c0_g2_i2.p1	TRINITY_DN1457_c0_g2_i2	TRINITY_DN1457_c0_g2
TRINITY_DN14631_c0_g1_i1.p1	TRINITY_DN14631_c0_g1_i1	TRINITY_DN14631_c0_g1
TRINITY_DN147_c0_g1_i11.p1	TRINITY_DN147_c0_g1_i11	TRINITY_DN147_c0_g1
TRINITY_DN147_c0_g1_i12.p1	TRINITY_DN147_c0_g1_i12	TRINITY_DN147_c0_g1
TRINITY_DN147_c0_g1_i3.p1	TRINITY_DN147_c0_g1_i3	TRINITY_DN147_c0_g1
TRINITY_DN147_c0_g1_i4.p1	TRINITY_DN147_c0_g1_i4	TRINITY_DN147_c0_g1
TRINITY_DN147_c0_g1_i5.p1	TRINITY_DN147_c0_g1_i5	TRINITY_DN147_c0_g1
TRINITY_DN147_c0_g1_i7.p1	TRINITY_DN147_c0_g1_i7	TRINITY_DN147_c0_g1
TRINITY_DN147_c0_g1_i9.p1	TRINITY_DN147_c0_g1_i9	TRINITY_DN147_c0_g1
TRINITY_DN15068_c0_g1_i1.p1	TRINITY_DN15068_c0_g1_i1	TRINITY_DN15068_c0_g1
TRINITY_DN159_c0_g1_i10.p1	TRINITY_DN159_c0_g1_i10	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i11.p1	TRINITY_DN159_c0_g1_i11	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i11.p2	TRINITY_DN159_c0_g1_i11	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i12.p1	TRINITY_DN159_c0_g1_i12	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i13.p1	TRINITY_DN159_c0_g1_i13	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i14.p1	TRINITY_DN159_c0_g1_i14	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i14.p2	TRINITY_DN159_c0_g1_i14	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i16.p1	TRINITY_DN159_c0_g1_i16	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i18.p1	TRINITY_DN159_c0_g1_i18	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i19.p1	TRINITY_DN159_c0_g1_i19	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i2.p1	TRINITY_DN159_c0_g1_i2	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i2.p2	TRINITY_DN159_c0_g1_i2	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i3.p2	TRINITY_DN159_c0_g1_i3	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i3.p1	TRINITY_DN159_c0_g1_i3	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i5.p1	TRINITY_DN159_c0_g1_i5	TRINITY_DN159_c0_g1
TRINITY_DN159_c0_g1_i5.p2	TRINITY_DN159_c0_g1_i5	TRINITY_DN159_c0_g1
TRINITY_DN159_c1_g1_i1.p1	TRINITY_DN159_c1_g1_i1	TRINITY_DN159_c1_g1
TRINITY_DN1632_c1_g1_i1.p1	TRINITY_DN1632_c1_g1_i1	TRINITY_DN1632_c1_g1
TRINITY_DN1632_c1_g2_i1.p1	TRINITY_DN1632_c1_g2_i1	TRINITY_DN1632_c1_g2
TRINITY_DN1632_c1_g2_i3.p1	TRINITY_DN1632_c1_g2_i3	TRINITY_DN1632_c1_g2
TRINITY_DN1632_c1_g2_i4.p1	TRINITY_DN1632_c1_g2_i4	TRINITY_DN1632_c1_g2
TRINITY_DN1632_c1_g2_i5.p1	TRINITY_DN1632_c1_g2_i5	TRINITY_DN1632_c1_g2
TRINITY_DN1632_c1_g2_i6.p1	TRINITY_DN1632_c1_g2_i6	TRINITY_DN1632_c1_g2
TRINITY_DN1632_c1_g2_i8.p1	TRINITY_DN1632_c1_g2_i8	TRINITY_DN1632_c1_g2
TRINITY_DN1691_c0_g4_i1.p1	TRINITY_DN1691_c0_g4_i1	TRINITY_DN1691_c0_g4
TRINITY_DN1691_c0_g4_i2.p1	TRINITY_DN1691_c0_g4_i2	TRINITY_DN1691_c0_g4
TRINITY_DN169_c0_g1_i3.p1	TRINITY_DN169_c0_g1_i3	TRINITY_DN169_c0_g1
TRINITY_DN169_c0_g1_i4.p1	TRINITY_DN169_c0_g1_i4	TRINITY_DN169_c0_g1
TRINITY_DN1767_c0_g1_i2.p1	TRINITY_DN1767_c0_g1_i2	TRINITY_DN1767_c0_g1
TRINITY_DN1767_c0_g1_i3.p1	TRINITY_DN1767_c0_g1_i3	TRINITY_DN1767_c0_g1
TRINITY_DN180_c0_g1_i1.p1	TRINITY_DN180_c0_g1_i1	TRINITY_DN180_c0_g1
TRINITY_DN180_c0_g1_i2.p1	TRINITY_DN180_c0_g1_i2	TRINITY_DN180_c0_g1
TRINITY_DN180_c0_g1_i4.p1	TRINITY_DN180_c0_g1_i4	TRINITY_DN180_c0_g1
TRINITY_DN180_c0_g2_i1.p1	TRINITY_DN180_c0_g2_i1	TRINITY_DN180_c0_g2
TRINITY_DN180_c0_g3_i1.p1	TRINITY_DN180_c0_g3_i1	TRINITY_DN180_c0_g3
TRINITY_DN18331_c0_g2_i1.p1	TRINITY_DN18331_c0_g2_i1	TRINITY_DN18331_c0_g2
TRINITY_DN1840_c0_g2_i10.p2	TRINITY_DN1840_c0_g2_i10	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i10.p1	TRINITY_DN1840_c0_g2_i10	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i12.p1	TRINITY_DN1840_c0_g2_i12	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i12.p2	TRINITY_DN1840_c0_g2_i12	TRINITY_DN1840_c0_g2
TRINITY_DN1840_c0_g2_i14.p1	TRINITY_DN1840_c0_g2_i14	TRINITY_DN1840_c0_g2
