family	component	component_size	representative_id
ABC	ABC_C001	11	TRINITY_DN1124_c0_g1_i10.p1
ABC	ABC_C001	11	TRINITY_DN12134_c0_g1_i3.p1
ABC	ABC_C001	11	TRINITY_DN18452_c0_g1_i1.p1
ABC	ABC_C001	11	TRINITY_DN20355_c0_g1_i13.p1
ABC	ABC_C001	11	TRINITY_DN254_c0_g1_i11.p1
ABC	ABC_C001	11	TRINITY_DN4518_c0_g1_i1.p1
ABC	ABC_C001	11	TRINITY_DN5424_c0_g1_i1.p1
ABC	ABC_C001	11	TRINITY_DN54_c0_g1_i1.p1
ABC	ABC_C001	11	TRINITY_DN662_c0_g1_i2.p1
ABC	ABC_C001	11	TRINITY_DN662_c0_g4_i1.p1
ABC	ABC_C001	11	TRINITY_DN9474_c0_g1_i1.p1
ABC	ABC_C002	8	TRINITY_DN12905_c0_g2_i1.p1
ABC	ABC_C002	8	TRINITY_DN13145_c0_g1_i1.p1
ABC	ABC_C002	8	TRINITY_DN18075_c0_g1_i1.p1
ABC	ABC_C002	8	TRINITY_DN332_c0_g1_i5.p1
ABC	ABC_C002	8	TRINITY_DN4644_c0_g1_i1.p1
ABC	ABC_C002	8	TRINITY_DN4709_c2_g1_i1.p1
ABC	ABC_C002	8	TRINITY_DN7214_c0_g1_i11.p1
ABC	ABC_C002	8	TRINITY_DN9946_c0_g2_i2.p1
ABC	ABC_C003	6	TRINITY_DN11773_c0_g1_i7.p1
ABC	ABC_C003	6	TRINITY_DN16854_c0_g2_i2.p1
ABC	ABC_C003	6	TRINITY_DN33353_c0_g1_i3.p1
ABC	ABC_C003	6	TRINITY_DN4426_c0_g1_i3.p1
ABC	ABC_C003	6	TRINITY_DN9037_c0_g1_i11.p1
ABC	ABC_C003	6	TRINITY_DN9986_c0_g1_i1.p1
ABC	ABC_C004	3	TRINITY_DN11606_c0_g1_i6.p1
ABC	ABC_C004	3	TRINITY_DN264_c0_g1_i11.p1
ABC	ABC_C004	3	TRINITY_DN33832_c0_g1_i10.p1
ABC	ABC_C005	3	TRINITY_DN1442_c0_g1_i7.p1
ABC	ABC_C005	3	TRINITY_DN2350_c0_g1_i14.p1
ABC	ABC_C005	3	TRINITY_DN5175_c0_g1_i3.p1
ABC	ABC_C006	2	TRINITY_DN1142_c1_g1_i12.p1
ABC	ABC_C006	2	TRINITY_DN30_c14_g1_i4.p1
ABC	ABC_C007	2	TRINITY_DN35371_c0_g2_i1.p1
ABC	ABC_C007	2	TRINITY_DN37894_c0_g1_i1.p1
ABC	ABC_C008	1	TRINITY_DN10989_c0_g1_i5.p1
ABC	ABC_C009	1	TRINITY_DN16854_c0_g1_i1.p1
ABC	ABC_C010	1	TRINITY_DN16854_c0_g4_i1.p1
ABC	ABC_C011	1	TRINITY_DN16854_c0_g5_i1.p2
ABC	ABC_C012	1	TRINITY_DN18570_c0_g1_i2.p1
ABC	ABC_C013	1	TRINITY_DN21667_c0_g1_i1.p1
ABC	ABC_C014	1	TRINITY_DN21780_c0_g1_i1.p1
ABC	ABC_C015	1	TRINITY_DN21780_c0_g2_i1.p1
ABC	ABC_C016	1	TRINITY_DN35371_c0_g1_i1.p1
ABC	ABC_C017	1	TRINITY_DN44328_c0_g1_i1.p1
ABC	ABC_C018	1	TRINITY_DN4830_c1_g1_i1.p1
ABC	ABC_C019	1	TRINITY_DN48819_c0_g1_i1.p1
ABC	ABC_C020	1	TRINITY_DN49408_c0_g1_i1.p1
ABC	ABC_C021	1	TRINITY_DN58313_c0_g1_i1.p1
