Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions
SULT	TRINITY_DN1282_c1_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN13428_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN13428_c0_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN18563_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN1884_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN260_c1_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN275_c0_g1	review	no_family_defining_domain_in_current_core_table	no	PF13469	Sulfotransferase family
SULT	TRINITY_DN27959_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005331;PF03567	Sulfotransferase;Sulfotransferase family
SULT	TRINITY_DN5927_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR000863;IPR004210;IPR006578;IPR027806;PF00685;PF02944;PF10545;PF13359	Alcohol dehydrogenase transcription factor Myb/SANT-like;BESS motif;DDE superfamily endonuclease;Harbinger transposase-derived nuclease domain;MADF domain;Sulfotransferase domain
SULT	TRINITY_DN5949_c0_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR000863;PF00685	Sulfotransferase domain
SULT	TRINITY_DN659_c1_g1	provisional_HQ_domain	family_defining_domain_detected	no	IPR000863;PF00685	Sulfotransferase domain
