Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions
CarE	TRINITY_DN10214_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN1194_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN13111_c1_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN1740_c0_g3	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN22_c1_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR001926;IPR002018;PF00135;PF00291	Carboxylesterase family;Carboxylesterase, type B;Pyridoxal-phosphate dependent enzyme
CarE	TRINITY_DN22_c2_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN2312_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN235_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN25123_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN256_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN3016_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN5029_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN5285_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN552_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN58976_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN604_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN665_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN69_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN920_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
CarE	TRINITY_DN9322_c0_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B
