qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN1124_c0_g1_i10.p1	52.736	201	198	1273	1.92e-64	207	101.515	15.7895
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN1124_c0_g1_i10.p1	44.937	158	198	1273	1.62e-35	124	79.798	12.4116
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN16854_c0_g2_i2.p1	42.640	197	198	548	6.30e-43	143	99.4949	35.9489
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN4426_c0_g1_i3.p1	36.612	183	198	707	3.98e-32	114	92.4242	25.884
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN33353_c0_g1_i3.p1	39.394	132	198	849	7.22e-23	87.8	66.6667	15.5477
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN11773_c0_g1_i7.p1	32.857	140	198	768	3.47e-15	65.5	70.7071	18.2292
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN5424_c0_g1_i1.p1	27.219	169	198	1366	6.23e-15	65.1	85.3535	12.3719
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN5424_c0_g1_i1.p1	26.531	98	198	1366	3.58e-07	42.0	49.4949	7.17423
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN9474_c0_g1_i1.p1	26.950	141	198	1452	2.50e-12	57.4	71.2121	9.71074
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN9474_c0_g1_i1.p1	27.368	95	198	1452	7.45e-06	38.1	47.9798	6.5427
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN54_c0_g1_i1.p1	26.667	135	198	1379	2.77e-11	54.3	68.1818	9.7897
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN54_c0_g1_i1.p1	28.713	101	198	1379	2.36e-06	39.7	51.0101	7.32415
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN12134_c0_g1_i3.p1	35.000	80	198	1395	9.59e-11	52.8	40.404	5.73477
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN12134_c0_g1_i3.p1	33.019	106	198	1395	1.63e-08	46.2	53.5354	7.59857
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN662_c0_g4_i1.p1	26.471	136	198	1345	1.24e-10	52.4	68.6869	10.1115
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN254_c0_g1_i11.p1	30.769	104	198	1595	1.64e-10	52.0	52.5253	6.52038
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN254_c0_g1_i11.p1	27.835	97	198	1595	7.44e-04	32.0	48.9899	6.0815
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN662_c0_g1_i2.p1	28.244	131	198	1516	1.86e-10	52.0	66.1616	8.64116
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN662_c0_g1_i2.p1	24.324	111	198	1516	4.50e-05	35.8	56.0606	7.3219
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN18452_c0_g1_i1.p1	29.730	111	198	1399	1.25e-09	49.3	56.0606	7.93424
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN18452_c0_g1_i1.p1	30.851	94	198	1399	5.74e-07	41.6	47.4747	6.71909
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN4518_c0_g1_i1.p1	32.500	80	198	1363	1.71e-09	48.9	40.404	5.86941
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN4518_c0_g1_i1.p1	31.765	85	198	1363	4.35e-07	42.0	42.9293	6.23624
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN33832_c0_g1_i10.p1	25.424	118	198	1697	1.59e-06	40.0	59.596	6.95345
TRINITY_DN10989_c0_g1_i5.p1	TRINITY_DN11606_c0_g1_i6.p1	24.779	113	198	1641	6.26e-06	38.5	57.0707	6.88605
