unknown_gene_id	nearest_Ph36HQ	nearest_Bmori	nearest_Spodo	putative_clade	tree_support	provisional_label	comment
TRINITY_DN1069_c0_g1							
TRINITY_DN17545_c0_g1	TRINITY_DN3972_c1_g1	Bmori|NP_001266437.1	Spodo|XP_035428975.2	CYP4-like	90.4/99 to 100/100	PhCYP4-like_candidate	Placed near Ph36HQ TRINITY_DN3972_c1_g1, annotated as CYP4C1-like/CYP4D2-like by Bmori and Spodoptera hits.
TRINITY_DN2768_c0_g1							
TRINITY_DN2810_c0_g1							
TRINITY_DN414_c0_g1							
TRINITY_DN414_c0_g2							
TRINITY_DN5504_c1_g2							
TRINITY_DN598_c0_g1							
TRINITY_DN6330_c0_g1							
TRINITY_DN6927_c0_g1							
