Family	GeneID	DomainClassification	Reason	HistoricalFinal	Domains	DomainDescriptions
UGT	TRINITY_DN11717_c0_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN12106_c1_g5	provisional_HQ_domain	family_defining_domain_detected	no	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN1342_c0_g2	review	no_family_defining_domain_in_current_core_table	no	IPR001584;IPR005027;PF00665;PF03360	Glycosyl transferase, family 43;Glycosyltransferase family 43;Integrase core domain;Integrase, catalytic core
UGT	TRINITY_DN13580_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR005027;PF03360	Glycosyl transferase, family 43;Glycosyltransferase family 43
UGT	TRINITY_DN16531_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR002654;PF01755;PF13704	Glycosyl transferase family 2;Glycosyl transferase, family 25;Glycosyltransferase family 25 (LPS biosynthesis protein)
UGT	TRINITY_DN1687_c0_g1	review	no_family_defining_domain_in_current_core_table	no	IPR007052;IPR007699;PF04969;PF05002	CS domain;SGS domain
UGT	TRINITY_DN1689_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN1689_c0_g2	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN1689_c1_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
UGT	TRINITY_DN17113_c0_g1	provisional_HQ_domain	family_defining_domain_detected	yes	IPR002213;PF00201	UDP-glucoronosyl and UDP-glucosyl transferase;UDP-glucuronosyl/UDP-glucosyltransferase
