family	component	component_size	representative_id
GST	GST_C001	8	TRINITY_DN12434_c0_g2_i1.p1
GST	GST_C001	8	TRINITY_DN1310_c0_g1_i1.p1
GST	GST_C001	8	TRINITY_DN13779_c0_g1_i1.p1
GST	GST_C001	8	TRINITY_DN163_c3_g1_i1.p1
GST	GST_C001	8	TRINITY_DN1682_c0_g2_i2.p1
GST	GST_C001	8	TRINITY_DN18158_c2_g1_i1.p1
GST	GST_C001	8	TRINITY_DN18158_c2_g2_i1.p1
GST	GST_C001	8	TRINITY_DN1824_c0_g1_i1.p1
GST	GST_C002	4	TRINITY_DN1407_c0_g1_i1.p1
GST	GST_C002	4	TRINITY_DN196_c0_g1_i1.p1
GST	GST_C002	4	TRINITY_DN196_c1_g2_i1.p1
GST	GST_C002	4	TRINITY_DN196_c6_g1_i10.p1
GST	GST_C003	1	TRINITY_DN114_c0_g1_i11.p1
GST	GST_C004	1	TRINITY_DN11666_c0_g1_i2.p1
GST	GST_C005	1	TRINITY_DN1343_c0_g1_i14.p1
GST	GST_C006	1	TRINITY_DN1430_c2_g2_i1.p1
GST	GST_C007	1	TRINITY_DN1970_c0_g1_i1.p1
GST	GST_C008	1	TRINITY_DN2000_c0_g1_i17.p1
GST	GST_C009	1	TRINITY_DN2379_c0_g3_i3.p1
GST	GST_C010	1	TRINITY_DN2529_c0_g1_i19.p1
