family	component	component_size	representative_id
UGT	UGT_C001	15	TRINITY_DN11717_c0_g2_i2.p1
UGT	UGT_C001	15	TRINITY_DN1689_c0_g1_i2.p1
UGT	UGT_C001	15	TRINITY_DN1689_c0_g2_i1.p1
UGT	UGT_C001	15	TRINITY_DN1689_c1_g1_i4.p1
UGT	UGT_C001	15	TRINITY_DN17113_c0_g1_i16.p1
UGT	UGT_C001	15	TRINITY_DN18424_c0_g1_i1.p1
UGT	UGT_C001	15	TRINITY_DN2328_c0_g1_i1.p1
UGT	UGT_C001	15	TRINITY_DN2332_c0_g1_i2.p1
UGT	UGT_C001	15	TRINITY_DN243_c0_g1_i5.p1
UGT	UGT_C001	15	TRINITY_DN3269_c0_g1_i2.p1
UGT	UGT_C001	15	TRINITY_DN39303_c0_g1_i5.p1
UGT	UGT_C001	15	TRINITY_DN5199_c0_g1_i1.p1
UGT	UGT_C001	15	TRINITY_DN654_c0_g1_i2.p1
UGT	UGT_C001	15	TRINITY_DN6816_c0_g1_i13.p1
UGT	UGT_C001	15	TRINITY_DN87_c1_g3_i5.p1
UGT	UGT_C002	7	TRINITY_DN12106_c1_g5_i1.p1
UGT	UGT_C002	7	TRINITY_DN20280_c0_g1_i1.p1
UGT	UGT_C002	7	TRINITY_DN20280_c1_g1_i3.p1
UGT	UGT_C002	7	TRINITY_DN37939_c0_g1_i1.p1
UGT	UGT_C002	7	TRINITY_DN38523_c0_g1_i1.p1
UGT	UGT_C002	7	TRINITY_DN5252_c0_g3_i1.p1
UGT	UGT_C002	7	TRINITY_DN9587_c0_g1_i1.p1
UGT	UGT_C003	2	TRINITY_DN1342_c0_g2_i6.p1
UGT	UGT_C003	2	TRINITY_DN13580_c0_g1_i1.p1
UGT	UGT_C004	1	TRINITY_DN16531_c0_g1_i1.p1
UGT	UGT_C005	1	TRINITY_DN1687_c0_g1_i11.p1
UGT	UGT_C006	1	TRINITY_DN21024_c0_g1_i1.p1
UGT	UGT_C007	1	TRINITY_DN28473_c0_g1_i1.p1
UGT	UGT_C008	1	TRINITY_DN3225_c0_g1_i2.p1
UGT	UGT_C009	1	TRINITY_DN41259_c0_g1_i1.p1
UGT	UGT_C010	1	TRINITY_DN566_c0_g2_i1.p1
UGT	UGT_C011	1	TRINITY_DN60107_c0_g1_i1.p1
UGT	UGT_C012	1	TRINITY_DN7259_c0_g1_i1.p1
UGT	UGT_C013	1	TRINITY_DN729_c0_g1_i9.p1
UGT	UGT_C014	1	TRINITY_DN7973_c0_g1_i8.p1
UGT	UGT_C015	1	TRINITY_DN8039_c0_g1_i1.p1
