seqid	start	end	strand	ID	Name	transcript_id	gene	product	gbkey	raw_attr
NC_085107.1	1056034	1071182	+	rna-XM_004932732.5	XM_004932732.5	XM_004932732.5	LOC101743283	probable cytochrome P450 303a1, transcript variant X1	mRNA	ID=rna-XM_004932732.5;Parent=gene-LOC101743283;Dbxref=GeneID:101743283,GenBank:XM_004932732.5;Name=XM_004932732.5;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101743283;model_evidence=Supporting evidence includes similarity to: 46 Proteins%2C 13 long SRA reads;product=probable cytochrome P450 303a1%2C transcript variant X1;transcript_id=XM_004932732.5
NC_085107.1	1056040	1071182	+	rna-XM_021352365.3	XM_021352365.3	XM_021352365.3	LOC101743283	probable cytochrome P450 303a1, transcript variant X2	mRNA	ID=rna-XM_021352365.3;Parent=gene-LOC101743283;Dbxref=GeneID:101743283,GenBank:XM_021352365.3;Name=XM_021352365.3;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101743283;model_evidence=Supporting evidence includes similarity to: 46 Proteins%2C 10 long SRA reads;product=probable cytochrome P450 303a1%2C transcript variant X2;transcript_id=XM_021352365.3
NC_085107.1	7412484	7455935	+	rna-XM_062670832.1	XM_062670832.1	XM_062670832.1	Cyp305b1	cytochrome P450 Cyp305B1, transcript variant X1	mRNA	ID=rna-XM_062670832.1;Parent=gene-Cyp305b1;Dbxref=GeneID:100127103,GenBank:XM_062670832.1;Name=XM_062670832.1;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp305b1;model_evidence=Supporting evidence includes similarity to: 37 Proteins%2C 166 long SRA reads;product=cytochrome P450 Cyp305B1%2C transcript variant X1;transcript_id=XM_062670832.1
NC_085107.1	7432859	7455935	+	rna-XM_038014312.2	XM_038014312.2	XM_038014312.2	Cyp305b1	cytochrome P450 Cyp305B1, transcript variant X2	mRNA	ID=rna-XM_038014312.2;Parent=gene-Cyp305b1;Dbxref=GeneID:100127103,GenBank:XM_038014312.2;Name=XM_038014312.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp305b1;model_evidence=Supporting evidence includes similarity to: 37 Proteins%2C 165 long SRA reads;product=cytochrome P450 Cyp305B1%2C transcript variant X2;transcript_id=XM_038014312.2
NC_085107.1	7432859	7455935	+	rna-XM_038014631.2	XM_038014631.2	XM_038014631.2	Cyp305b1	cytochrome P450 Cyp305B1, transcript variant X3	mRNA	ID=rna-XM_038014631.2;Parent=gene-Cyp305b1;Dbxref=GeneID:100127103,GenBank:XM_038014631.2;Name=XM_038014631.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp305b1;model_evidence=Supporting evidence includes similarity to: 24 Proteins%2C 81 long SRA reads;product=cytochrome P450 Cyp305B1%2C transcript variant X3;transcript_id=XM_038014631.2
NC_085107.1	7432972	7455376	+	rna-NM_001112749.1	NM_001112749.1	NM_001112749.1	Cyp305b1	cytochrome P450 Cyp305B1	mRNA	ID=rna-NM_001112749.1;Parent=gene-Cyp305b1;Dbxref=GeneID:100127103,GenBank:NM_001112749.1;Name=NM_001112749.1;Note=The RefSeq transcript has 2 non-frameshifting indels compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp305b1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001112749.1;product=cytochrome P450 Cyp305B1;transcript_id=NM_001112749.1
NC_085109.1	1699703	1718987	+	rna-XM_038017848.2	XM_038017848.2	XM_038017848.2	Cyp366a1	cytochrome P450 CYP366A1, transcript variant X1	mRNA	ID=rna-XM_038017848.2;Parent=gene-Cyp366a1;Dbxref=GeneID:100141433,GenBank:XM_038017848.2;Name=XM_038017848.2;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=Cyp366a1;model_evidence=Supporting evidence includes similarity to: 2 mRNAs%2C 2 ESTs%2C 6 Proteins%2C 546 long SRA reads;product=cytochrome P450 CYP366A1%2C transcript variant X1;transcript_id=XM_038017848.2
NC_085109.1	1699761	1718987	+	rna-NM_001114869.1	NM_001114869.1	NM_001114869.1	Cyp366a1	cytochrome P450 CYP366A1	mRNA	ID=rna-NM_001114869.1;Parent=gene-Cyp366a1;Dbxref=GeneID:100141433,GenBank:NM_001114869.1;Name=NM_001114869.1;Note=The RefSeq transcript has 1 substitution compared to this genomic sequence;exception=annotated by transcript or proteomic data;gbkey=mRNA;gene=Cyp366a1;inference=similar to RNA sequence%2C mRNA (same species):RefSeq:NM_001114869.1;product=cytochrome P450 CYP366A1;transcript_id=NM_001114869.1
NC_085109.1	8090014	8105670	-	rna-XM_021351679.3	XM_021351679.3	XM_021351679.3	LOC101737374	cytochrome P450 4c3, transcript variant X1	mRNA	ID=rna-XM_021351679.3;Parent=gene-LOC101737374;Dbxref=GeneID:101737374,GenBank:XM_021351679.3;Name=XM_021351679.3;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101737374;model_evidence=Supporting evidence includes similarity to: 13 Proteins%2C 912 long SRA reads;product=cytochrome P450 4c3%2C transcript variant X1;transcript_id=XM_021351679.3
NC_085109.1	8090014	8105667	-	rna-XM_012695234.4	XM_012695234.4	XM_012695234.4	LOC101737374	cytochrome P450 4c3, transcript variant X2	mRNA	ID=rna-XM_012695234.4;Parent=gene-LOC101737374;Dbxref=GeneID:101737374,GenBank:XM_012695234.4;Name=XM_012695234.4;experiment=COORDINATES: polyA evidence [ECO:0006239];gbkey=mRNA;gene=LOC101737374;model_evidence=Supporting evidence includes similarity to: 19 Proteins%2C 1692 long SRA reads;product=cytochrome P450 4c3%2C transcript variant X2;transcript_id=XM_012695234.4
