Family	GeneID	HistoricalFinal
GST	TRINITY_DN114_c0_g1	no
GST	TRINITY_DN11666_c0_g1	no
GST	TRINITY_DN12434_c0_g2	no
GST	TRINITY_DN1310_c0_g1	yes
GST	TRINITY_DN1343_c0_g1	no
GST	TRINITY_DN13779_c0_g1	yes
GST	TRINITY_DN1407_c0_g1	no
GST	TRINITY_DN1430_c2_g2	no
GST	TRINITY_DN163_c3_g1	yes
GST	TRINITY_DN1682_c0_g2	no
GST	TRINITY_DN18158_c2_g1	yes
GST	TRINITY_DN18158_c2_g2	yes
GST	TRINITY_DN1824_c0_g1	yes
GST	TRINITY_DN196_c0_g1	yes
GST	TRINITY_DN196_c1_g2	yes
GST	TRINITY_DN196_c6_g1	yes
GST	TRINITY_DN1970_c0_g1	no
GST	TRINITY_DN2000_c0_g1	no
GST	TRINITY_DN2379_c0_g3	no
GST	TRINITY_DN2529_c0_g1	no
