TRINITY_DN1282_c1_g2_i1.p1	TRINITY_DN1282_c1_g2_i1	sp|Q6IMI6|ST1C3_HUMAN	31.5	254	328	304	52	299	38	277	9.20e-42	150	sp|Q6IMI6|ST1C3_HUMAN Sulfotransferase 1C3 OS=Homo sapiens OX=9606 GN=SULT1C3 PE=1 SV=1
TRINITY_DN1282_c1_g2_i2.p1	TRINITY_DN1282_c1_g2_i2	sp|Q6IMI6|ST1C3_HUMAN	31.5	254	328	304	52	299	38	277	9.20e-42	150	sp|Q6IMI6|ST1C3_HUMAN Sulfotransferase 1C3 OS=Homo sapiens OX=9606 GN=SULT1C3 PE=1 SV=1
TRINITY_DN1282_c1_g2_i4.p1	TRINITY_DN1282_c1_g2_i4	sp|Q6IMI6|ST1C3_HUMAN	31.5	254	328	304	52	299	38	277	9.20e-42	150	sp|Q6IMI6|ST1C3_HUMAN Sulfotransferase 1C3 OS=Homo sapiens OX=9606 GN=SULT1C3 PE=1 SV=1
TRINITY_DN1282_c1_g2_i5.p1	TRINITY_DN1282_c1_g2_i5	sp|Q6IMI6|ST1C3_HUMAN	33.9	183	227	304	22	198	95	277	1.20e-30	117	sp|Q6IMI6|ST1C3_HUMAN Sulfotransferase 1C3 OS=Homo sapiens OX=9606 GN=SULT1C3 PE=1 SV=1
TRINITY_DN13428_c0_g1_i1.p1	TRINITY_DN13428_c0_g1_i1	sp|A0A173GP47|LST_PHOPY	33.3	321	344	370	21	331	43	345	1.19e-47	167	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN13428_c0_g1_i10.p1	TRINITY_DN13428_c0_g1_i10	sp|A0A173GP47|LST_PHOPY	30.9	139	164	370	17	151	212	345	5.43e-15	74.3	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN13428_c0_g1_i3.p1	TRINITY_DN13428_c0_g1_i3	sp|O75897|ST1C4_HUMAN	31.9	138	159	302	21	157	58	171	4.18e-15	73.9	sp|O75897|ST1C4_HUMAN Sulfotransferase 1C4 OS=Homo sapiens OX=9606 GN=SULT1C4 PE=1 SV=2
TRINITY_DN13428_c0_g1_i4.p1	TRINITY_DN13428_c0_g1_i4	sp|A0A173GP47|LST_PHOPY	33.9	289	299	370	9	286	76	345	4.09e-39	144	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN13428_c0_g1_i6.p1	TRINITY_DN13428_c0_g1_i6	sp|A0A173GP47|LST_PHOPY	30.6	121	131	370	1	118	229	345	6.49e-14	70.1	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN13428_c0_g1_i9.p1	TRINITY_DN13428_c0_g1_i9	sp|A0A173GP47|LST_PHOPY	31.3	195	212	370	21	210	43	221	4.86e-23	98.2	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN13428_c0_g2_i1.p1	TRINITY_DN13428_c0_g2_i1	sp|O75897|ST1C4_HUMAN	34.8	293	345	302	53	344	37	302	2.61e-54	183	sp|O75897|ST1C4_HUMAN Sulfotransferase 1C4 OS=Homo sapiens OX=9606 GN=SULT1C4 PE=1 SV=2
TRINITY_DN13428_c0_g2_i2.p1	TRINITY_DN13428_c0_g2_i2	sp|O75897|ST1C4_HUMAN	34.8	293	345	302	53	344	37	302	2.61e-54	183	sp|O75897|ST1C4_HUMAN Sulfotransferase 1C4 OS=Homo sapiens OX=9606 GN=SULT1C4 PE=1 SV=2
TRINITY_DN18563_c0_g1_i1.p1	TRINITY_DN18563_c0_g1_i1	sp|A0A173GP47|LST_PHOPY	38.5	231	228	370	1	226	86	299	2.85e-43	152	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN18563_c0_g1_i3.p1	TRINITY_DN18563_c0_g1_i3	sp|O75897|ST1C4_HUMAN	49.2	63	127	302	46	107	107	169	1.40e-12	65.9	sp|O75897|ST1C4_HUMAN Sulfotransferase 1C4 OS=Homo sapiens OX=9606 GN=SULT1C4 PE=1 SV=2
TRINITY_DN1884_c0_g1_i17.p1	TRINITY_DN1884_c0_g1_i17	sp|P50237|ST1C1_RAT	30.3	300	343	304	40	331	25	300	5.88e-39	143	sp|P50237|ST1C1_RAT Sulfotransferase 1C1 OS=Rattus norvegicus OX=10116 GN=Sult1c1 PE=1 SV=1
TRINITY_DN1884_c0_g1_i19.p1	TRINITY_DN1884_c0_g1_i19	sp|P50237|ST1C1_RAT	30.3	300	343	304	40	331	25	300	5.88e-39	143	sp|P50237|ST1C1_RAT Sulfotransferase 1C1 OS=Rattus norvegicus OX=10116 GN=Sult1c1 PE=1 SV=1
TRINITY_DN1884_c0_g1_i3.p1	TRINITY_DN1884_c0_g1_i3	sp|P50237|ST1C1_RAT	30.3	300	343	304	40	331	25	300	5.88e-39	143	sp|P50237|ST1C1_RAT Sulfotransferase 1C1 OS=Rattus norvegicus OX=10116 GN=Sult1c1 PE=1 SV=1
TRINITY_DN260_c1_g1_i1.p1	TRINITY_DN260_c1_g1_i1	sp|P19217|ST1E1_BOVIN	31.2	189	244	295	51	238	103	291	1.62e-30	117	sp|P19217|ST1E1_BOVIN Sulfotransferase 1E1 OS=Bos taurus OX=9913 GN=SULT1E1 PE=1 SV=1
TRINITY_DN260_c1_g1_i12.p1	TRINITY_DN260_c1_g1_i12	sp|A0A173GP47|LST_PHOPY	35.7	314	354	370	35	341	52	345	1.80e-50	175	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN260_c1_g1_i13.p1	TRINITY_DN260_c1_g1_i13	sp|P19217|ST1E1_BOVIN	31.2	189	244	295	51	238	103	291	1.62e-30	117	sp|P19217|ST1E1_BOVIN Sulfotransferase 1E1 OS=Bos taurus OX=9913 GN=SULT1E1 PE=1 SV=1
TRINITY_DN260_c1_g1_i17.p1	TRINITY_DN260_c1_g1_i17	sp|P19217|ST1E1_BOVIN	31.2	189	244	295	51	238	103	291	1.62e-30	117	sp|P19217|ST1E1_BOVIN Sulfotransferase 1E1 OS=Bos taurus OX=9913 GN=SULT1E1 PE=1 SV=1
TRINITY_DN260_c1_g1_i20.p1	TRINITY_DN260_c1_g1_i20	sp|A0A173GP47|LST_PHOPY	35.1	322	329	370	10	316	52	345	1.88e-49	172	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN260_c1_g1_i8.p1	TRINITY_DN260_c1_g1_i8	sp|A0A173GP47|LST_PHOPY	35.1	322	329	370	10	316	52	345	1.34e-49	172	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN260_c1_g1_i9.p1	TRINITY_DN260_c1_g1_i9	sp|P19217|ST1E1_BOVIN	30.2	189	244	295	51	238	103	291	8.73e-30	115	sp|P19217|ST1E1_BOVIN Sulfotransferase 1E1 OS=Bos taurus OX=9913 GN=SULT1E1 PE=1 SV=1
TRINITY_DN275_c0_g1_i16.p1	TRINITY_DN275_c0_g1_i16	sp|Q9VYB7|TPST_DROME	73.6	269	330	499	45	313	68	336	2.09e-152	440	sp|Q9VYB7|TPST_DROME Protein-tyrosine sulfotransferase OS=Drosophila melanogaster OX=7227 GN=Tpst PE=2 SV=2
TRINITY_DN275_c0_g1_i19.p1	TRINITY_DN275_c0_g1_i19	sp|Q9VYB7|TPST_DROME	73.6	269	330	499	45	313	68	336	2.09e-152	440	sp|Q9VYB7|TPST_DROME Protein-tyrosine sulfotransferase OS=Drosophila melanogaster OX=7227 GN=Tpst PE=2 SV=2
TRINITY_DN275_c0_g1_i4.p1	TRINITY_DN275_c0_g1_i4	sp|Q9VYB7|TPST_DROME	73.6	269	330	499	45	313	68	336	2.09e-152	440	sp|Q9VYB7|TPST_DROME Protein-tyrosine sulfotransferase OS=Drosophila melanogaster OX=7227 GN=Tpst PE=2 SV=2
TRINITY_DN275_c0_g1_i7.p1	TRINITY_DN275_c0_g1_i7	sp|Q9VYB7|TPST_DROME	73.6	269	330	499	45	313	68	336	2.09e-152	440	sp|Q9VYB7|TPST_DROME Protein-tyrosine sulfotransferase OS=Drosophila melanogaster OX=7227 GN=Tpst PE=2 SV=2
TRINITY_DN275_c0_g1_i9.p1	TRINITY_DN275_c0_g1_i9	sp|Q9VYB7|TPST_DROME	73.6	269	330	499	45	313	68	336	2.09e-152	440	sp|Q9VYB7|TPST_DROME Protein-tyrosine sulfotransferase OS=Drosophila melanogaster OX=7227 GN=Tpst PE=2 SV=2
TRINITY_DN27959_c0_g1_i2.p1	TRINITY_DN27959_c0_g1_i2	sp|Q86BJ3|UST_DROME	38.0	474	432	514	1	407	16	489	9.14e-96	300	sp|Q86BJ3|UST_DROME Uronyl 2-sulfotransferase homolog pip OS=Drosophila melanogaster OX=7227 GN=pip PE=1 SV=1
TRINITY_DN5927_c0_g1_i2.p1	TRINITY_DN5927_c0_g1_i2	sp|Q9BR01|ST4A1_HUMAN	34.6	107	107	284	2	107	108	214	1.23e-12	65.1	sp|Q9BR01|ST4A1_HUMAN Sulfotransferase 4A1 OS=Homo sapiens OX=9606 GN=SULT4A1 PE=1 SV=2
TRINITY_DN5927_c0_g1_i3.p1	TRINITY_DN5927_c0_g1_i3	sp|Q9QWG7|ST1B1_MOUSE	36.4	187	194	299	2	187	106	292	9.49e-33	122	sp|Q9QWG7|ST1B1_MOUSE Sulfotransferase 1B1 OS=Mus musculus OX=10090 GN=Sult1b1 PE=1 SV=2
TRINITY_DN5949_c0_g1_i3.p1	TRINITY_DN5949_c0_g1_i3	sp|A0A173GP47|LST_PHOPY	34.0	162	178	370	14	175	30	176	7.48e-18	82.8	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN5949_c0_g1_i6.p1	TRINITY_DN5949_c0_g1_i6	sp|A0A173GP47|LST_PHOPY	34.0	162	178	370	14	175	30	176	7.48e-18	82.8	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN5949_c0_g1_i7.p1	TRINITY_DN5949_c0_g1_i7	sp|A0A173GP47|LST_PHOPY	41.1	95	109	370	14	108	30	124	3.63e-16	75.5	sp|A0A173GP47|LST_PHOPY Luciferin sulfotransferase OS=Photinus pyralis OX=7054 GN=LST PE=1 SV=1
TRINITY_DN659_c1_g1_i1.p1	TRINITY_DN659_c1_g1_i1	sp|Q95JD5|ST1B1_CANLF	34.2	120	134	296	8	127	173	292	1.82e-20	87.4	sp|Q95JD5|ST1B1_CANLF Sulfotransferase 1B1 OS=Canis lupus familiaris OX=9615 GN=SULT1B1 PE=1 SV=1
TRINITY_DN659_c1_g1_i10.p1	TRINITY_DN659_c1_g1_i10	sp|Q95JD5|ST1B1_CANLF	34.2	120	134	296	8	127	173	292	1.82e-20	87.4	sp|Q95JD5|ST1B1_CANLF Sulfotransferase 1B1 OS=Canis lupus familiaris OX=9615 GN=SULT1B1 PE=1 SV=1
TRINITY_DN659_c1_g1_i4.p1	TRINITY_DN659_c1_g1_i4	sp|O46503|ST1C2_RABIT	36.7	90	154	296	8	97	173	262	4.09e-12	65.5	sp|O46503|ST1C2_RABIT Sulfotransferase 1C2 OS=Oryctolagus cuniculus OX=9986 GN=SULT1C2 PE=1 SV=1
