SelectionType	Group	Marker	TranscriptID	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	DanMean	MulMean	MeanTPM	CV	SwissProtID	IdentityPct	QueryCoveragePct	Evalue	Bitscore	Annotation
Random_expression_quintile_1	Random background	Fixed-seed random	TRINITY_DN8973_c0_g1_i1	0.0	0.0	0.062991	0.0	0.264793	0.0	0.020997000000000002	0.08826433333333333	0.05463066666666667	1.9402355005938938	sp|Q9H5Z1|DHX35_HUMAN	44.3	100.0	1.71e-65	220.0	sp|Q9H5Z1|DHX35_HUMAN Probable ATP-dependent RNA helicase DHX35 OS=Homo sapiens OX=9606 GN=DHX35 PE=1 SV=2
Random_expression_quintile_1	Random background	Fixed-seed random	TRINITY_DN20662_c0_g2_i1	0.118852	0.0	0.0	0.0	0.0	0.0	0.03961733333333333	0.0	0.019808666666666665	2.449489742783178	sp|Q8IVF4|DYH10_HUMAN	53.4	71.54471544715447	1.5e-24	100.0	sp|Q8IVF4|DYH10_HUMAN Dynein axonemal heavy chain 10 OS=Homo sapiens OX=9606 GN=DNAH10 PE=1 SV=4
Random_expression_quintile_1	Random background	Fixed-seed random	TRINITY_DN5916_c0_g1_i17	0.0	0.032881	0.014451	0.022519	0.0	0.060719	0.015777333333333334	0.027746000000000003	0.021761666666666665	1.0563993587003395	sp|P13678|KPC3_DROME	72.3	72.45508982035928	6.35e-114	349.0	sp|P13678|KPC3_DROME Protein kinase C OS=Drosophila melanogaster OX=7227 GN=Pkc98E PE=2 SV=2
Random_expression_quintile_1	Random background	Fixed-seed random	TRINITY_DN4723_c0_g1_i19	0.043654	0.063077	0.057766	0.058528	0.019257	0.106116	0.05483233333333334	0.06130033333333334	0.05806633333333333	0.49002031027800025	sp|Q24535|SRF_DROME	71.2	61.15107913669065	2.41e-69	224.0	sp|Q24535|SRF_DROME Serum response factor homolog OS=Drosophila melanogaster OX=7227 GN=bs PE=1 SV=2
Random_expression_quintile_2	Random background	Fixed-seed random	TRINITY_DN22095_c0_g2_i4	0.174828	0.502893	0.143273	0.0	0.0	0.337432	0.27366466666666667	0.11247733333333333	0.193071	1.0207449548236163	sp|Q9Y0Y7|LANC3_DROME	41.6	95.91836734693878	1.02e-108	330.0	sp|Q9Y0Y7|LANC3_DROME LanC-like protein 3 homolog OS=Drosophila melanogaster OX=7227 GN=CG2061 PE=2 SV=1
Random_expression_quintile_2	Random background	Fixed-seed random	TRINITY_DN15108_c0_g1_i2	0.219766	0.270518	0.162113	0.384128	0.0	0.050202	0.21746566666666667	0.14477666666666666	0.18112116666666667	0.7847167855492054	sp|Q6TEM9|MYLIA_DANRE	39.6	66.55405405405405	2.16e-34	133.0	sp|Q6TEM9|MYLIA_DANRE E3 ubiquitin-protein ligase MYLIP-A OS=Danio rerio OX=7955 GN=mylipa PE=1 SV=2
Random_expression_quintile_2	Random background	Fixed-seed random	TRINITY_DN11038_c0_g1_i3	0.101689	0.111049	0.068535	0.132772	0.124444	0.109204	0.09375766666666667	0.12213999999999998	0.10794883333333333	0.20681402377572947	sp|Q6DGV1|CELF4_DANRE	56.7	110.78167115902966	1.5e-127	379.0	sp|Q6DGV1|CELF4_DANRE CUGBP Elav-like family member 4 OS=Danio rerio OX=7955 GN=celf4 PE=2 SV=1
Random_expression_quintile_2	Random background	Fixed-seed random	TRINITY_DN9561_c0_g1_i7	0.0	0.0	0.0	0.295836	0.351039	0.0	0.0	0.21562499999999998	0.10781249999999999	1.557631936456342	sp|Q5NCX5|NEUL4_MOUSE	41.8	60.294117647058826	1.22e-243	761.0	sp|Q5NCX5|NEUL4_MOUSE Neuralized-like protein 4 OS=Mus musculus OX=10090 GN=Neurl4 PE=1 SV=1
Random_expression_quintile_3	Random background	Fixed-seed random	TRINITY_DN6442_c0_g1_i28	0.053127	0.637889	0.231087	0.179673	0.066883	0.242559	0.30736766666666665	0.1630383333333333	0.23520300000000002	0.9054987681112262	sp|O19071|MGAT2_PIG	43.8	74.14829659318637	5.55e-108	331.0	sp|O19071|MGAT2_PIG Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase OS=Sus scrofa OX=9823 GN=MGAT2 PE=3 SV=1
Random_expression_quintile_3	Random background	Fixed-seed random	TRINITY_DN7755_c0_g1_i13	0.467306	0.225988	0.143902	0.642923	0.0	0.337166	0.27906533333333333	0.3266963333333333	0.3028808333333333	0.7626166721592593	sp|P11862|GAS2_MOUSE	33.5	45.78146611341632	4.42e-50	181.0	sp|P11862|GAS2_MOUSE Growth arrest-specific protein 2 OS=Mus musculus OX=10090 GN=Gas2 PE=1 SV=1
Random_expression_quintile_3	Random background	Fixed-seed random	TRINITY_DN162_c0_g1_i10	0.188948	0.235967	0.27862	0.808375	0.181574	0.239562	0.23451166666666667	0.409837	0.32217433333333334	0.7476006793243251	sp|A0JPN4|ZC12A_RAT	53.8	64.42953020134229	1.13e-84	274.0	sp|A0JPN4|ZC12A_RAT Endoribonuclease ZC3H12A OS=Rattus norvegicus OX=10116 GN=Zc3h12a PE=2 SV=1
Random_expression_quintile_3	Random background	Fixed-seed random	TRINITY_DN9319_c0_g1_i2	0.311011	0.453372	0.426291	0.661142	0.354367	0.330748	0.3968913333333333	0.44875233333333336	0.42282183333333334	0.30546346807461877	sp|Q5F3J5|PSME3_CHICK	69.2	99.15254237288136	3.17e-59	185.0	sp|Q5F3J5|PSME3_CHICK Proteasome activator complex subunit 3 OS=Gallus gallus OX=9031 GN=PSME3 PE=1 SV=1
Random_expression_quintile_4	Random background	Fixed-seed random	TRINITY_DN2291_c0_g2_i2	0.0	2.227126	0.0	0.0	3.487985	4.538497	0.7423753333333334	2.675494	1.7089346666666667	1.1761957620054886	sp|Q8BHA0|IN80C_MOUSE	54.8	89.65517241379311	2.98e-30	109.0	sp|Q8BHA0|IN80C_MOUSE INO80 complex subunit C OS=Mus musculus OX=10090 GN=Ino80c PE=1 SV=1
Random_expression_quintile_4	Random background	Fixed-seed random	TRINITY_DN8726_c0_g1_i10	0.419135	0.585546	0.525219	1.102392	0.952549	1.175408	0.5099666666666667	1.076783	0.7933748333333334	0.40723400578417895	sp|O46043|PARG_DROME	50.6	68.90080428954424	2.04e-170	510.0	sp|O46043|PARG_DROME Poly(ADP-ribose) glycohydrolase OS=Drosophila melanogaster OX=7227 GN=Parg PE=1 SV=3
Random_expression_quintile_4	Random background	Fixed-seed random	TRINITY_DN6407_c0_g1_i4	0.591833	0.749266	0.494371	0.790216	0.735958	0.595919	0.6118233333333333	0.7073643333333334	0.6595938333333333	0.1753413633887394	sp|Q86B79|UNK_DROME	84.0	56.64739884393064	2.36e-191	550.0	sp|Q86B79|UNK_DROME RING finger protein unkempt OS=Drosophila melanogaster OX=7227 GN=unk PE=1 SV=1
Random_expression_quintile_4	Random background	Fixed-seed random	TRINITY_DN1366_c0_g1_i11	0.938436	1.095829	0.817145	1.171789	1.080204	1.470117	0.95047	1.2407033333333333	1.0955866666666667	0.20350197584346108	sp|O00429|DNM1L_HUMAN	76.4	90.2482269503546	4.46e-279	780.0	sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2
Random_expression_quintile_5	Random background	Fixed-seed random	TRINITY_DN6741_c0_g1_i1	5.458645	6.820053	6.962395	9.993151	5.100101	7.021017	6.413697666666667	7.371423	6.892560333333333	0.25053208946078553	sp|O14730|RIOK3_HUMAN	48.9	78.72696817420436	3.34e-135	407.0	sp|O14730|RIOK3_HUMAN Serine/threonine-protein kinase RIO3 OS=Homo sapiens OX=9606 GN=RIOK3 PE=1 SV=2
Random_expression_quintile_5	Random background	Fixed-seed random	TRINITY_DN2533_c0_g1_i1	9.507861	17.795282	4.194606	9.993405	10.896216	15.155919	10.499249666666666	12.01518	11.257214833333334	0.4215810423507524	sp|Q9V7S5|PICO_DROME	40.9	100.64655172413794	1.09e-107	332.0	sp|Q9V7S5|PICO_DROME Putative inorganic phosphate cotransporter OS=Drosophila melanogaster OX=7227 GN=Picot PE=2 SV=1
Random_expression_quintile_5	Random background	Fixed-seed random	TRINITY_DN604_c0_g1_i2	3.458635	13.252176	10.18728	32.348721	15.493056	2.486892	8.966030333333334	16.776222999999998	12.871126666666667	0.8439841413312603	sp|P35502|ESTF_MYZPE	31.4	93.06569343065694	1.47e-48	180.0	sp|P35502|ESTF_MYZPE Esterase FE4 OS=Myzus persicae OX=13164 PE=1 SV=1
Random_expression_quintile_5	Random background	Fixed-seed random	TRINITY_DN1504_c0_g1_i5	11.076144	14.182789	2.018919	10.539863	14.402438	5.256748	9.092617333333333	10.066349666666667	9.5794835	0.5187274437926491	sp|Q9D0F3|LMAN1_MOUSE	43.5	96.484375	1.32e-116	356.0	sp|Q9D0F3|LMAN1_MOUSE Protein ERGIC-53 OS=Mus musculus OX=10090 GN=Lman1 PE=1 SV=1
