qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN163_c3_g1_i1.p1	75.349	215	217	218	3.79e-124	341	99.0783	98.6239
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	44.076	211	217	247	2.16e-56	170	97.235	85.4251
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	40.278	216	217	226	2.91e-56	169	99.5392	95.5752
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	37.879	198	217	227	6.00e-46	143	91.2442	87.2247
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN1310_c0_g1_i1.p1	33.990	203	217	228	1.27e-42	134	93.5484	89.0351
TRINITY_DN12434_c0_g2_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	35.047	214	217	220	1.35e-40	129	98.6175	97.2727
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	71.111	225	228	227	7.38e-127	349	98.6842	99.1189
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	48.198	222	228	247	1.15e-77	225	97.3684	89.8785
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN18158_c2_g1_i1.p1	78.070	114	228	114	2.62e-67	194	50	100
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	34.842	221	228	218	2.11e-48	149	96.9298	101.376
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	33.990	203	228	217	1.33e-42	134	89.0351	93.5484
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	30.660	212	228	226	2.47e-36	118	92.9825	93.8053
TRINITY_DN1310_c0_g1_i1.p1	TRINITY_DN13779_c0_g1_i1.p1	33.136	169	228	220	9.72e-29	98.6	74.1228	76.8182
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN12434_c0_g2_i1.p1	35.047	214	220	217	1.37e-40	129	97.2727	98.6175
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN163_c3_g1_i1.p1	33.178	214	220	218	3.63e-40	128	97.2727	98.1651
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN1682_c0_g2_i2.p1	35.000	220	220	247	1.46e-39	127	100	89.0688
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN1824_c0_g1_i1.p1	34.419	215	220	226	1.06e-38	124	97.7273	95.1327
TRINITY_DN13779_c0_g1_i1.p1	TRINITY_DN18158_c2_g2_i1.p1	36.813	182	220	227	3.89e-33	110	82.7273	80.1762
