gene_id	selected_protein_id	aa_length_no_terminal_stop	heme_Cys_motif_FxxGxxxCxG	PERF_motif	K_helix_motif_ExxR	P450_score	classification_note	Bmori_pident	Bmori_title	Spodoptera_pident	Spodoptera_title	inferred_family	final_judgment	old_recheck_group	domain_priority
TRINITY_DN1031_c0_g1	TRINITY_DN1031_c0_g1_i1.p1	252	False	False	False	1	weak_P450_evidence	56.972	cytochrome P450 6ae2 [Bombyx mori]	66.8	XP_035447899.2 cytochrome P450 6B5 [Spodoptera frugiperda]	CYP6_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	intermediate_unclear
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i11.p1	518	True	True	True	16	strong_full_length_CYP_like	36.559	cytochrome P450 6B1-like [Bombyx mori]	74.442	XP_050562627.1 LOW QUALITY PROTEIN: uncharacterized protein LOC118268506 [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN11873_c0_g1	TRINITY_DN11873_c0_g1_i1.p1	132	False	False	False	-2	short_fragment_or_non_CYP	69.173	cytochrome P450 CYP9A21 isoform X2 [Bombyx mori]	84.091	XP_050561084.1 uncharacterized protein LOC118264846 [Spodoptera frugiperda]	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	short_low_confidence_fragment
TRINITY_DN13006_c0_g1	TRINITY_DN13006_c0_g1_i1.p1	221	False	True	False	3	short_fragment_or_non_CYP	69.643	cytochrome P450, family 9, subfamily a, polypeptide 19 [Bombyx mori]	80.24	XP_050561085.1 uncharacterized protein LOC118264849 [Spodoptera frugiperda]	CYP_like_unclear_family	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	short_low_confidence_fragment
TRINITY_DN17545_c0_g1	TRINITY_DN17545_c0_g1_i2.p1	372	True	True	True	13	moderate_or_partial_CYP_like	55.914	cytochrome P450 4C1-like precursor [Bombyx mori]	68.28	XP_050557104.1 cytochrome P450 4V2 [Spodoptera frugiperda]	CYP4_like	partial_CYP_like_transcript	nonstrong14	partial_but_motif_complete_CYP
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i2.p1	453	True	True	True	16	strong_full_length_CYP_like	50.67	cytochrome P450 6k1 isoform X2 [Bombyx mori]	80.531	XP_050562828.1 cytochrome P450 6k1-like [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i1.p1	490	True	True	True	16	strong_full_length_CYP_like	49.076	cytochrome P450 6B1-like [Bombyx mori]	62.475	XP_035430276.2 cytochrome P450 6B5 [Spodoptera frugiperda]	CYP6_like	high_confidence_endogenous_CYP_candidate	strong9	full_or_near_full_high_confidence_CYP
TRINITY_DN30482_c0_g1	TRINITY_DN30482_c0_g1_i2.p1	257	True	True	True	12	short_or_fragmentary_CYP_like	67.188	farnesoate epoxidase isoform X1 [Bombyx mori]	79.767	XP_035445369.1 farnesoate epoxidase [Spodoptera frugiperda]	CYP15/farnesoate_epoxidase_like	partial_CYP_like_transcript	nonstrong14	partial_but_motif_complete_CYP
TRINITY_DN30540_c0_g1	TRINITY_DN30540_c0_g1_i1.p1	198	False	False	False	-2	short_fragment_or_non_CYP	56.566	cytochrome P450 Cyp305B1 isoform X2 [Bombyx mori]	78.788	XP_035435890.2 probable cytochrome P450 305a1 [Spodoptera frugiperda]	CYP305_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	short_low_confidence_fragment
TRINITY_DN32616_c0_g1	TRINITY_DN32616_c0_g1_i1.p1	429	False	True	True	8	weak_P450_evidence	60.656	cytochrome P450 CYP9A21 isoform X2 [Bombyx mori]	61.124	XP_050561084.1 uncharacterized protein LOC118264846 [Spodoptera frugiperda]	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	nonstrong14	long_sequence_but_heme_missing_QC
