Family	GeneID	HistoricalFinal
ABC	TRINITY_DN10989_c0_g1	no
ABC	TRINITY_DN1124_c0_g1	yes
ABC	TRINITY_DN1142_c1_g1	yes
ABC	TRINITY_DN11606_c0_g1	yes
ABC	TRINITY_DN11773_c0_g1	yes
ABC	TRINITY_DN12134_c0_g1	yes
ABC	TRINITY_DN12905_c0_g2	yes
ABC	TRINITY_DN13145_c0_g1	no
ABC	TRINITY_DN1442_c0_g1	yes
ABC	TRINITY_DN16854_c0_g1	no
ABC	TRINITY_DN16854_c0_g2	yes
ABC	TRINITY_DN16854_c0_g4	no
ABC	TRINITY_DN16854_c0_g5	no
ABC	TRINITY_DN18075_c0_g1	yes
ABC	TRINITY_DN18452_c0_g1	yes
ABC	TRINITY_DN18570_c0_g1	no
ABC	TRINITY_DN20355_c0_g1	yes
ABC	TRINITY_DN21667_c0_g1	yes
ABC	TRINITY_DN21780_c0_g1	no
ABC	TRINITY_DN21780_c0_g2	no
ABC	TRINITY_DN2350_c0_g1	yes
ABC	TRINITY_DN254_c0_g1	yes
ABC	TRINITY_DN264_c0_g1	yes
ABC	TRINITY_DN30_c14_g1	yes
ABC	TRINITY_DN332_c0_g1	yes
ABC	TRINITY_DN33353_c0_g1	yes
ABC	TRINITY_DN33832_c0_g1	yes
ABC	TRINITY_DN35371_c0_g1	no
ABC	TRINITY_DN35371_c0_g2	no
ABC	TRINITY_DN37894_c0_g1	no
ABC	TRINITY_DN4426_c0_g1	yes
ABC	TRINITY_DN44328_c0_g1	no
ABC	TRINITY_DN4518_c0_g1	yes
ABC	TRINITY_DN4644_c0_g1	yes
ABC	TRINITY_DN4709_c2_g1	yes
ABC	TRINITY_DN4830_c1_g1	yes
ABC	TRINITY_DN48819_c0_g1	no
ABC	TRINITY_DN49408_c0_g1	no
ABC	TRINITY_DN5175_c0_g1	yes
ABC	TRINITY_DN5424_c0_g1	yes
ABC	TRINITY_DN54_c0_g1	yes
ABC	TRINITY_DN58313_c0_g1	no
ABC	TRINITY_DN662_c0_g1	yes
ABC	TRINITY_DN662_c0_g4	yes
ABC	TRINITY_DN7214_c0_g1	yes
ABC	TRINITY_DN9037_c0_g1	yes
ABC	TRINITY_DN9474_c0_g1	yes
ABC	TRINITY_DN9946_c0_g2	yes
ABC	TRINITY_DN9986_c0_g1	yes
