Rank	gene_id	module	stability	CYP_family	CYP_annotation	Dan_mg1_TPM	Dan_mg2_TPM	Dan_mg3_TPM	Dan_pattern	Dan_range_log2	Dan1_vs_Dan23_log2diff	Dan_highest	Dan_lowest	Main_interpretation	Bmori_title	Spodo_title
1	TRINITY_DN5241_c0_g1	Dan_biased	moderate	CYP6K-like	CYP6B1-like	0.98	112.08	166.62	Dan1_low; Dan3_high	6.4	-6.12	Dan_mg3	Dan_mg1	Dan-biased CYP mainly induced in Dan2/3	cytochrome P450 6B1-like [Bombyx mori]	XP_035430751.1 cytochrome P450 6k1-like [Spodoptera frugiperda]
2	TRINITY_DN14631_c0_g1	Dan_biased	moderate	CYP6B/6AE-like	CYP6B1-like	0.36	26.8	7.28	Dan1_low; Dan2_high	4.36	-3.48	Dan_mg2	Dan_mg1	Dan-biased CYP mainly induced in Dan2/3	cytochrome P450 6B1-like [Bombyx mori]	XP_035430624.2 cytochrome P450 6B6-like [Spodoptera frugiperda]
3	TRINITY_DN946_c0_g1	core_shared	moderate	CYP6K-like	CYP6k1	5.66	68.54	41.27	Dan1_low; Dan2_high	3.38	-3.03	Dan_mg2	Dan_mg1	Core CYP also shows reduced Dan1 expression	cytochrome P450 6k1 isoform X2 [Bombyx mori]	XP_035447568.2 cytochrome P450 6k1 [Spodoptera frugiperda]
4	TRINITY_DN241_c0_g2	Mul_biased	moderate	CYP6B/6AE-like	CYPCYP6b29	1.45	15.7	24.09	Dan1_low; Dan3_high	3.35	-3.06	Dan_mg3	Dan_mg1	Dan1 weak response in CYP6-related gene	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447638.2 cytochrome P450 6B6 [Spodoptera frugiperda]
5	TRINITY_DN169_c0_g1	core_shared	stable	CYP6B/6AE-like	CYPCYP6b29	18.9	112.04	139.79	Dan1_low; Dan3_high	2.82	-2.66	Dan_mg3	Dan_mg1	Core CYP also shows reduced Dan1 expression	cytochrome P450 Cyp6b29 [Bombyx mori]	XP_035447007.2 cytochrome P450 6B7 isoform X6 [Spodoptera frugiperda]
6	TRINITY_DN25915_c0_g1	core_shared	moderate	CYP6B/6AE-like	CYP6B7-like	7.04	12.81	1.11	Dan3_low	2.71	0.57	Dan_mg2	Dan_mg3	Exception: Dan3 is low for this CYP	cytochrome P450 6B7-like [Bombyx mori]	XP_035458986.2 cytochrome P450 6B6 [Spodoptera frugiperda]
7	TRINITY_DN9010_c0_g1	Dan_biased	moderate	CYP12-like	CYPCYP12A2	4.85	5.37	0.01	Dan3_low	2.66	1.2	Dan_mg2	Dan_mg3	Exception: Dan3 is low for this CYP	cytochrome P450 CYP12A2 isoform X1 [Bombyx mori]	XP_050561170.1 cytochrome P450 CYP12A2-like [Spodoptera frugiperda]
8	TRINITY_DN44701_c0_g1	Dan_biased	moderate	CYP4G-like	CYPCYP4G25	0.56	6.86	4.38	Dan1_low; Dan2_high	2.33	-2.06	Dan_mg2	Dan_mg1	Dan-biased CYP mainly induced in Dan2/3	cytochrome P450 CYP4G25 [Bombyx mori]	XP_035431180.1 cytochrome P450 4g15 [Spodoptera frugiperda]
9	TRINITY_DN127_c0_g1	Dan_biased	stable	CYP6B/6AE-like	CYPCYP6ae21	38.02	140.26	56.93	Dan1_low; Dan2_high	1.86	-1.21	Dan_mg2	Dan_mg1	Dan-biased CYP mainly induced in Dan2/3	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
10	TRINITY_DN127_c0_g5	core_shared	moderate	CYP6B/6AE-like	CYPCYP6ae21	2.03	9.36	1.93	Mixed	1.82	-0.87	Dan_mg2	Dan_mg3	Dan replicates show moderate CYP expression variation	cytochrome P450 Cyp6ae21 [Bombyx mori]	XP_050552986.1 cytochrome P450 6B4 [Spodoptera frugiperda]
11	TRINITY_DN1840_c0_g2	Dan_biased	stable	CYP332-like	CYPCYP332A1	22.1	44.32	77.2	Dan1_low; Dan3_high	1.76	-1.37	Dan_mg3	Dan_mg1	Dan-biased CYP mainly induced in Dan2/3	cytochrome P450 CYP332A1 [Bombyx mori]	XP_050553196.1 cytochrome P450 6l1 [Spodoptera frugiperda]
