qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN22_c2_g1_i1.p1	69.369	555	551	557	0.0	810	100.726	99.6409
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN1194_c0_g1_i10.p1	34.758	538	551	736	3.80e-103	318	97.6407	73.0978
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN2312_c0_g1_i11.p1	33.012	518	551	536	2.95e-78	248	94.0109	96.6418
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN9322_c0_g2_i1.p1	31.743	545	551	543	3.13e-71	229	98.9111	100.368
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN5285_c0_g1_i1.p1	29.715	562	551	584	3.32e-71	230	101.996	96.2329
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN22_c1_g1_i12.p1	32.689	517	551	494	6.27e-71	227	93.8294	104.656
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN604_c0_g1_i10.p1	32.110	545	551	548	5.90e-70	226	98.9111	99.4526
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN1740_c0_g3_i1.p1	30.577	520	551	539	1.10e-66	217	94.3739	96.475
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN256_c0_g1_i8.p1	28.676	544	551	642	2.72e-63	210	98.7296	84.7352
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN3016_c0_g1_i1.p1	29.211	558	551	587	2.46e-62	206	101.27	95.0596
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN665_c0_g1_i12.p1	29.026	534	551	584	6.48e-62	205	96.9147	91.4384
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN69_c0_g1_i5.p1	28.957	556	551	584	1.45e-53	182	100.907	95.2055
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN13111_c1_g1_i1.p1	29.356	528	551	529	1.17e-52	179	95.8258	99.811
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN920_c0_g1_i14.p1	27.639	521	551	620	5.88e-52	178	94.5554	84.0323
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN25123_c0_g1_i1.p1	33.846	325	551	427	8.83e-49	166	58.9837	76.1124
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN552_c0_g1_i15.p1	29.676	401	551	394	1.76e-47	161	72.7768	101.777
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN235_c0_g1_i1.p1	30.745	322	551	331	9.96e-47	157	58.4392	97.281
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN5029_c0_g1_i1.p1	25.919	571	551	592	4.27e-46	162	103.63	96.4527
TRINITY_DN10214_c0_g1_i1.p1	TRINITY_DN58976_c0_g1_i1.p1	25.981	535	551	583	3.75e-43	153	97.0962	91.7667
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN2312_c0_g1_i11.p1	40.341	528	736	536	2.55e-127	381	71.7391	98.5075
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN10214_c0_g1_i1.p1	34.758	538	736	551	5.08e-103	318	73.0978	97.6407
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN1740_c0_g3_i1.p1	35.807	539	736	539	5.27e-102	315	73.2337	100
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN9322_c0_g2_i1.p1	35.902	532	736	543	2.51e-101	313	72.2826	97.9742
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN22_c2_g1_i1.p1	34.815	540	736	557	2.24e-99	309	73.3696	96.9479
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN5285_c0_g1_i1.p1	35.472	561	736	584	9.11e-91	287	76.2228	96.0616
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN256_c0_g1_i8.p1	33.150	546	736	642	3.05e-86	276	74.1848	85.0467
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN22_c1_g1_i12.p1	34.961	512	736	494	1.28e-83	265	69.5652	103.644
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN604_c0_g1_i10.p1	34.264	537	736	548	4.90e-80	257	72.962	97.9927
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN3016_c0_g1_i1.p1	30.125	561	736	587	2.10e-78	254	76.2228	95.5707
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN665_c0_g1_i12.p1	33.759	548	736	584	5.00e-78	253	74.4565	93.8356
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN58976_c0_g1_i1.p1	30.339	501	736	583	3.31e-71	234	68.0707	85.9348
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN5029_c0_g1_i1.p1	31.202	516	736	592	9.39e-68	225	70.1087	87.1622
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN920_c0_g1_i14.p1	30.258	542	736	620	1.59e-64	217	73.6413	87.4194
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN69_c0_g1_i5.p1	31.296	540	736	584	2.56e-61	207	73.3696	92.4658
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN13111_c1_g1_i1.p1	32.239	518	736	529	8.71e-60	202	70.3804	97.9206
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN25123_c0_g1_i1.p1	31.951	410	736	427	5.04e-53	181	55.7065	96.0187
TRINITY_DN1194_c0_g1_i10.p1	TRINITY_DN552_c0_g1_i15.p1	27.628	409	736	394	4.19e-44	154	55.5707	103.807
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN604_c0_g1_i10.p1	40.037	542	529	548	1.02e-128	378	102.457	98.9051
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN665_c0_g1_i12.p1	36.852	540	529	584	3.67e-113	339	102.079	92.4658
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN1740_c0_g3_i1.p1	33.333	543	529	539	1.55e-78	248	102.647	100.742
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN9322_c0_g2_i1.p1	31.777	557	529	543	3.65e-69	223	105.293	102.578
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN1194_c0_g1_i10.p1	32.239	518	529	736	1.48e-66	220	97.9206	70.3804
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN22_c1_g1_i12.p1	30.621	467	529	494	2.19e-59	196	88.2798	94.5344
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN256_c0_g1_i8.p1	27.737	548	529	642	6.49e-56	189	103.592	85.3583
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN10214_c0_g1_i1.p1	29.356	528	529	551	1.21e-55	187	99.811	95.8258
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN2312_c0_g1_i11.p1	29.273	550	529	536	8.47e-55	184	103.97	102.612
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN3016_c0_g1_i1.p1	28.988	583	529	587	3.62e-54	184	110.208	99.3186
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN69_c0_g1_i5.p1	28.623	552	529	584	4.00e-52	178	104.348	94.5205
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN22_c2_g1_i1.p1	26.909	550	529	557	1.03e-46	162	103.97	98.7433
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN920_c0_g1_i14.p1	26.690	562	529	620	1.37e-46	163	106.238	90.6452
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN5285_c0_g1_i1.p1	25.958	574	529	584	1.41e-46	162	108.507	98.2877
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN552_c0_g1_i15.p1	30.457	394	529	394	1.07e-41	145	74.4802	100
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN5029_c0_g1_i1.p1	31.401	414	529	592	5.06e-41	147	78.2609	69.9324
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN235_c0_g1_i1.p1	32.249	338	529	331	8.12e-41	141	63.8941	102.115
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN25123_c0_g1_i1.p1	28.933	356	529	427	5.45e-36	130	67.2968	83.3724
TRINITY_DN13111_c1_g1_i1.p1	TRINITY_DN58976_c0_g1_i1.p1	25.458	546	529	583	1.21e-34	128	103.214	93.6535
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN604_c0_g1_i10.p1	37.240	529	539	548	2.16e-114	342	98.1447	96.5328
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN1194_c0_g1_i10.p1	35.807	539	539	736	3.86e-102	315	100	73.2337
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN2312_c0_g1_i11.p1	36.415	530	539	536	1.83e-100	305	98.3302	98.8806
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN665_c0_g1_i12.p1	35.038	528	539	584	8.74e-97	297	97.9592	90.411
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN9322_c0_g2_i1.p1	34.586	532	539	543	3.39e-92	284	98.7013	97.9742
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN256_c0_g1_i8.p1	34.353	556	539	642	3.50e-91	284	103.154	86.6044
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN235_c0_g1_i1.p1	42.388	335	539	331	3.28e-83	254	62.1521	101.208
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN22_c1_g1_i12.p1	33.069	505	539	494	9.49e-73	231	93.692	102.227
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN13111_c1_g1_i1.p1	33.333	543	539	529	9.71e-72	230	100.742	102.647
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN920_c0_g1_i14.p1	32.075	530	539	620	3.14e-71	231	98.3302	85.4839
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN69_c0_g1_i5.p1	33.696	552	539	584	4.24e-70	227	102.412	94.5205
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN10214_c0_g1_i1.p1	30.577	520	539	551	1.08e-66	217	96.475	94.3739
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN58976_c0_g1_i1.p1	30.891	505	539	583	1.19e-62	207	93.692	86.6209
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN22_c2_g1_i1.p1	30.490	551	539	557	1.46e-61	203	102.226	98.9228
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN552_c0_g1_i15.p1	33.166	398	539	394	9.32e-61	197	73.8404	101.015
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN5285_c0_g1_i1.p1	28.670	579	539	584	1.56e-60	201	107.421	99.1438
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN5029_c0_g1_i1.p1	30.418	526	539	592	1.18e-57	193	97.5881	88.8514
TRINITY_DN1740_c0_g3_i1.p1	TRINITY_DN3016_c0_g1_i1.p1	29.205	541	539	587	4.49e-56	189	100.371	92.1635
TRINITY_DN22_c1_g1_i12.p1	TRINITY_DN9322_c0_g2_i1.p1	41.903	494	494	543	6.40e-136	395	100	90.9761
TRINITY_DN22_c1_g1_i12.p1	TRINITY_DN1194_c0_g1_i10.p1	34.961	512	494	736	8.56e-84	265	103.644	69.5652
TRINITY_DN22_c1_g1_i12.p1	TRINITY_DN604_c0_g1_i10.p1	33.747	483	494	548	2.16e-76	241	97.7733	88.1387
TRINITY_DN22_c1_g1_i12.p1	TRINITY_DN1740_c0_g3_i1.p1	33.069	505	494	539	8.70e-73	231	102.227	93.692
TRINITY_DN22_c1_g1_i12.p1	TRINITY_DN22_c2_g1_i1.p1	32.563	519	494	557	4.21e-72	230	105.061	93.1777
TRINITY_DN22_c1_g1_i12.p1	TRINITY_DN2312_c0_g1_i11.p1	34.774	509	494	536	4.03e-71	227	103.036	94.9627
