gene_id	protein_id	aa_length	heme_motif	PERF_motif	K_helix_motif	P450_score	old_recheck_group	domain_priority	inferred_family	final_judgment	Bmori_pident	Bmori_title	Spodo_pident	Spodo_title	core10_status	extended_status	current_phylogenetic_placement	review_priority	comment
TRINITY_DN1031_c0_g1	TRINITY_DN1031_c0_g1_i1.p1	252	False	False	False	1	nonstrong14	intermediate_unclear	CYP6_like	CYP_homolog_but_ORF_or_motif_incomplete	56.972	cytochrome P450 6ae2 [Bombyx mori]	66.8	XP_035447899.2 cytochrome P450 6B5 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN1069_c0_g1	TRINITY_DN1069_c0_g1_i11.p1	518	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	36.559	cytochrome P450 6B1-like [Bombyx mori]	74.442	XP_050562627.1 LOW QUALITY PROTEIN: uncharacterized protein LOC118268506 [Spodoptera frugiperda]	in_core10	in_extended	unresolved CYP-like	Low	Basal/long-branch placement; family assignment remains unresolved.
TRINITY_DN11873_c0_g1	TRINITY_DN11873_c0_g1_i1.p1	132	False	False	False	-2	nonstrong14	short_low_confidence_fragment	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	69.173	cytochrome P450 CYP9A21 isoform X2 [Bombyx mori]	84.091	XP_050561084.1 uncharacterized protein LOC118264846 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN13006_c0_g1	TRINITY_DN13006_c0_g1_i1.p1	221	False	True	False	3	nonstrong14	short_low_confidence_fragment	CYP_like_unclear_family	CYP_homolog_but_ORF_or_motif_incomplete	69.643	cytochrome P450, family 9, subfamily a, polypeptide 19 [Bombyx mori]	80.24	XP_050561085.1 uncharacterized protein LOC118264849 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN17545_c0_g1	TRINITY_DN17545_c0_g1_i2.p1	372	True	True	True	13	nonstrong14	partial_but_motif_complete_CYP	CYP4_like	partial_CYP_like_transcript	55.914	cytochrome P450 4C1-like precursor [Bombyx mori]	68.28	XP_050557104.1 cytochrome P450 4V2 [Spodoptera frugiperda]	in_core10	in_extended	CYP4-like candidate	Medium	Placed near CYP4C1-like/CYP4D2-like clade.
TRINITY_DN2768_c0_g1	TRINITY_DN2768_c0_g1_i2.p1	453	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	50.67	cytochrome P450 6k1 isoform X2 [Bombyx mori]	80.531	XP_050562828.1 cytochrome P450 6k1-like [Spodoptera frugiperda]	in_core10	in_extended	CYP6K1-like candidate	Medium	Placed near CYP6K1-like clade; local support is weak.
TRINITY_DN2810_c0_g1	TRINITY_DN2810_c0_g1_i1.p1	490	True	True	True	16	strong9	full_or_near_full_high_confidence_CYP	CYP6_like	high_confidence_endogenous_CYP_candidate	49.076	cytochrome P450 6B1-like [Bombyx mori]	62.475	XP_035430276.2 cytochrome P450 6B5 [Spodoptera frugiperda]	in_core10	in_extended	CYP6B1-like candidate	High	Sister to Bmori CYP6B1-like reference.
TRINITY_DN30482_c0_g1	TRINITY_DN30482_c0_g1_i2.p1	257	True	True	True	12	nonstrong14	partial_but_motif_complete_CYP	CYP15/farnesoate_epoxidase_like	partial_CYP_like_transcript	67.188	farnesoate epoxidase isoform X1 [Bombyx mori]	79.767	XP_035445369.1 farnesoate epoxidase [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN30540_c0_g1	TRINITY_DN30540_c0_g1_i1.p1	198	False	False	False	-2	nonstrong14	short_low_confidence_fragment	CYP305_like	CYP_homolog_but_ORF_or_motif_incomplete	56.566	cytochrome P450 Cyp305B1 isoform X2 [Bombyx mori]	78.788	XP_035435890.2 probable cytochrome P450 305a1 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
TRINITY_DN32616_c0_g1	TRINITY_DN32616_c0_g1_i1.p1	429	False	True	True	8	nonstrong14	long_sequence_but_heme_missing_QC	CYP9_like	CYP_homolog_but_ORF_or_motif_incomplete	60.656	cytochrome P450 CYP9A21 isoform X2 [Bombyx mori]	61.124	XP_050561084.1 uncharacterized protein LOC118264846 [Spodoptera frugiperda]	not_in_core10	not_in_extended	not_phylogenetically_placed	Low	
