Family	GeneID	HistoricalFinal	TranscriptCount	Dan_mg1	Dan_mg2	Dan_mg3	Mul_mg1	Mul_mg2	Mul_mg3	Archived_Dan_mean	Archived_Mul_mean	Archived_Delta_Mul_minus_Dan	Best_padj	RepresentativePeptide	PeptideLength	DomainClassification	DomainReason	Domains	DomainDescriptions	SecondPassRecommendation	SecondPassReason	ABCTriage	ABCTriageReason	ProfileHMMHit	NovelProfileHMMHit	ReferenceHit_E1e3	ReferenceHit_E1e5_Cov40	BestFamilyReference	BestFamilyReferenceEvalue	BestFamilyReferenceBitscore	BestFamilyReferenceIdentity	BestFamilyReferenceQcov	BestFamilyReferenceScov	SwissProtTopID	SwissProtTopTitle	SwissProtTopEvalue	SwissProtTopBitscore	SwissProtTopIdentity	SwissProtTopQcov	SwissProtTopScov	PROSITE_Pruned_Count	PROSITE_Full_Count	SimilarityComponent	SimilarityComponentSize
CarE	TRINITY_DN10214_c0_g1	yes	2	0.202525	0.401503	0.481993	0.387801	0.512033	0.15555	0.31309780000000004	0.3109846	-0.0021132000000000373	0.999999010765626	TRINITY_DN10214_c0_g1_i1.p1	551	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035442586.2	0.0	928.0	78.623	100.364	99.8192	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	1.42e-67	232.0	32.4	101.63636363636364	95.06802721088435	2	25	CarE_C001	20
CarE	TRINITY_DN1194_c0_g1	yes	6	8.243196	11.593958	5.352087	8.909136	10.842778	22.938625	7.8121042	12.788510800000001	4.976406600000001	0.035084715722654	TRINITY_DN1194_c0_g1_i10.p1	736	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035456135.2	0.0	1184.0	77.147	102.993	100.933	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	1.34e-79	268.0	35.0	68.70748299319727	89.53900709219859	0	0	CarE_C001	20
CarE	TRINITY_DN13111_c1_g1	yes	5	0.483457	0.703705	0.438018	0.6163409999999999	0.5152220000000001	0.49023100000000003	0.49520282600000004	0.52624174	0.031038913999999973	0.23365636946044	TRINITY_DN13111_c1_g1_i1.p1	529	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035451693.2	0.0	725.0	66.73	99.6212	99.6212	sp|P35501|ESTE_MYZPE	sp|P35501|ESTE_MYZPE Esterase E4 OS=Myzus persicae OX=13164 PE=1 SV=1	3.8e-46	172.0	29.1	100.18939393939394	95.83333333333333	0	0	CarE_C001	20
CarE	TRINITY_DN1740_c0_g3	yes	2	3.412963	5.313427	1.844601	7.907323	8.185565	10.349802	3.1025902	7.3468132	4.244223	0.520869738847594	TRINITY_DN1740_c0_g3_i1.p1	539	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035459067.2	0.0	831.0	69.759	100.0	98.7179	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	3.74e-64	222.0	32.9	93.50649350649351	89.36170212765957	0	0	CarE_C001	20
CarE	TRINITY_DN22_c1_g1	yes	7	94.046204	109.988953	39.345527	63.689823000000004	49.329521	67.72452	71.7812945	50.2445552	-21.5367393	0.55139103322048	TRINITY_DN22_c1_g1_i12.p1	494	provisional_HQ_domain	family_defining_domain_detected	IPR001926;IPR002018;PF00135;PF00291	Carboxylesterase family;Carboxylesterase, type B;Pyridoxal-phosphate dependent enzyme					True	False	True	True	Spodoptera|XP_050549265.1	0.0	835.0	81.136	100.0	92.6692	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	6.8e-67	228.0	34.2	96.14604462474645	80.61224489795919	0	0	CarE_C001	20
CarE	TRINITY_DN22_c2_g1	yes	1	5.728978	8.329708	7.30494	7.244254	6.256051	7.466169	5.9108992	5.696260799999999	-0.214638400000001	0.999999010765626	TRINITY_DN22_c2_g1_i1.p1	557	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035438336.2	0.0	935.0	78.058	100.0	100.542	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	1.29e-60	213.0	30.8	101.61870503597122	96.08843537414965	0	0	CarE_C001	20
CarE	TRINITY_DN2312_c0_g1	yes	10	122.281248	273.593183	45.191125	35.55659	33.592735	34.845456	139.7093436	29.618521699999995	-110.09082190000001	0.00158095965890287	TRINITY_DN2312_c0_g1_i11.p1	536	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035450368.2	0.0	880.0	75.651	100.561	100.0	sp|P12992|ESTJ_HELVI	sp|P12992|ESTJ_HELVI Juvenile hormone esterase OS=Heliothis virescens OX=7102 PE=1 SV=2	5.52e-82	269.0	33.5	99.25233644859813	94.14893617021276	0	0	CarE_C001	20
CarE	TRINITY_DN235_c0_g1	yes	9	20.578737	27.055259000000003	13.283896	21.453209	27.683482	29.514065000000002	17.812277180000002	22.7935448	4.981267619999997	0.418803407403831	TRINITY_DN235_c0_g1_i1.p1	331	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035430420.2	0.0	533.0	76.524	99.0937	59.2058	sp|P37967|PNBA_BACSU	sp|P37967|PNBA_BACSU Para-nitrobenzyl esterase OS=Bacillus subtilis (strain 168) OX=224308 GN=pnbA PE=1 SV=2	2.6e-46	166.0	34.5	94.5619335347432	64.0081799591002	0	0	CarE_C001	20
CarE	TRINITY_DN25123_c0_g1	yes	1	0.14831	0.310312	0.223771	0.151037	0.146694	0.105728	0.19520911999999999	0.11167148	-0.08353763999999998	0.699840144961767	TRINITY_DN25123_c0_g1_i1.p1	427	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_050560005.1	0.0	694.0	77.91	98.5948	73.8596	sp|D6WMZ8|ESTJ_TRICA	sp|D6WMZ8|ESTJ_TRICA Juvenile hormone esterase OS=Tribolium castaneum OX=7070 GN=Tcjhe PE=1 SV=2	7.29e-40	153.0	30.6	84.30913348946136	61.224489795918366	0	0	CarE_C001	20
CarE	TRINITY_DN256_c0_g1	yes	8	68.639888	76.05456699999999	71.633096	68.429578	63.202992	88.187764	64.2307054	62.576572	-1.6541334000000063	0.589785080321804	TRINITY_DN256_c0_g1_i8.p1	642	provisional_HQ_domain	family_defining_domain_detected	IPR002018;PF00135	Carboxylesterase family;Carboxylesterase, type B					True	False	True	True	Spodoptera|XP_035452555.2	0.0	726.0	61.416	88.1435	90.1116	sp|B2D0J5|EST6_APIME	sp|B2D0J5|EST6_APIME Venom carboxylesterase-6 OS=Apis mellifera OX=7460 PE=2 SV=1	1.05e-46	176.0	27.5	83.30733229329174	95.87073608617594	0	0	CarE_C001	20
