qseqid	sseqid	pident	length	qlen	slen	evalue	bitscore	qcov	scov
TRINITY_DN1124_c0_g1_i10.p1	TRINITY_DN5424_c0_g1_i1.p1	25.864	897	1273	1366	3.83e-63	228	70.4635	65.6662
TRINITY_DN1124_c0_g1_i10.p1	TRINITY_DN662_c0_g4_i1.p1	27.064	872	1273	1345	3.60e-55	202	68.4996	64.8327
TRINITY_DN1142_c1_g1_i12.p1	TRINITY_DN30_c14_g1_i4.p1	33.545	629	764	669	1.34e-116	360	82.3298	94.0209
TRINITY_DN11606_c0_g1_i6.p1	TRINITY_DN33832_c0_g1_i10.p1	27.819	1747	1641	1697	1.17e-176	569	106.459	102.946
TRINITY_DN11606_c0_g1_i6.p1	TRINITY_DN264_c0_g1_i11.p1	26.633	1776	1641	1744	4.36e-163	533	108.227	101.835
TRINITY_DN11773_c0_g1_i7.p1	TRINITY_DN33353_c0_g1_i3.p1	36.950	636	768	849	9.00e-144	436	82.8125	74.9117
TRINITY_DN11773_c0_g1_i7.p1	TRINITY_DN4426_c0_g1_i3.p1	32.911	474	768	707	2.74e-60	209	61.7188	67.0438
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN5424_c0_g1_i1.p1	50.642	1402	1395	1366	0.0	1441	100.502	102.635
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN662_c0_g4_i1.p1	48.223	1379	1395	1345	0.0	1299	98.853	102.528
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN18452_c0_g1_i1.p1	47.138	1415	1395	1399	0.0	1264	101.434	101.144
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN4518_c0_g1_i1.p1	46.231	1393	1395	1363	0.0	1207	99.8566	102.201
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN54_c0_g1_i1.p1	44.191	1403	1395	1379	0.0	1134	100.573	101.74
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN9474_c0_g1_i1.p1	38.434	1379	1395	1452	0.0	903	98.853	94.9725
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN662_c0_g1_i2.p1	33.964	1428	1395	1516	0.0	702	102.366	94.1953
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN254_c0_g1_i11.p1	29.398	1296	1395	1595	1.05e-150	490	92.9032	81.2539
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN20355_c0_g1_i13.p1	29.149	717	1395	888	2.72e-79	273	51.3978	80.7432
TRINITY_DN12134_c0_g1_i3.p1	TRINITY_DN1124_c0_g1_i10.p1	25.137	911	1395	1273	1.10e-53	198	65.3047	71.5632
TRINITY_DN12905_c0_g2_i1.p1	TRINITY_DN332_c0_g1_i5.p1	37.615	654	629	698	1.88e-155	457	103.975	93.6963
TRINITY_DN12905_c0_g2_i1.p1	TRINITY_DN4709_c2_g1_i1.p1	39.490	628	629	668	4.95e-152	447	99.841	94.012
TRINITY_DN12905_c0_g2_i1.p1	TRINITY_DN4644_c0_g1_i1.p1	37.520	637	629	638	8.57e-147	432	101.272	99.8433
TRINITY_DN12905_c0_g2_i1.p1	TRINITY_DN7214_c0_g1_i11.p1	35.443	632	629	655	1.96e-140	417	100.477	96.4885
TRINITY_DN12905_c0_g2_i1.p1	TRINITY_DN9946_c0_g2_i2.p1	34.173	635	629	621	2.76e-129	387	100.954	102.254
TRINITY_DN13145_c0_g1_i1.p1	TRINITY_DN7214_c0_g1_i11.p1	27.222	540	593	655	2.55e-52	182	91.0624	82.4427
TRINITY_DN13145_c0_g1_i1.p1	TRINITY_DN4644_c0_g1_i1.p1	27.572	486	593	638	6.38e-44	158	81.9562	76.1755
TRINITY_DN13145_c0_g1_i1.p1	TRINITY_DN9946_c0_g2_i2.p1	26.346	520	593	621	6.02e-41	149	87.6897	83.7359
TRINITY_DN13145_c0_g1_i1.p1	TRINITY_DN4709_c2_g1_i1.p1	24.463	605	593	668	8.13e-39	144	102.024	90.5689
TRINITY_DN13145_c0_g1_i1.p1	TRINITY_DN18075_c0_g1_i1.p1	22.263	548	593	645	1.50e-23	97.1	92.4115	84.9612
TRINITY_DN1442_c0_g1_i7.p1	TRINITY_DN2350_c0_g1_i14.p1	48.822	764	795	791	0.0	671	96.1006	96.5866
TRINITY_DN1442_c0_g1_i7.p1	TRINITY_DN5175_c0_g1_i3.p1	40.237	758	795	722	0.0	570	95.3459	104.986
TRINITY_DN16854_c0_g2_i2.p1	TRINITY_DN4426_c0_g1_i3.p1	32.580	531	548	707	2.37e-80	259	96.8978	75.1061
TRINITY_DN16854_c0_g2_i2.p1	TRINITY_DN33353_c0_g1_i3.p1	32.613	463	548	849	1.16e-62	213	84.4891	54.5347
TRINITY_DN16854_c0_g2_i2.p1	TRINITY_DN9986_c0_g1_i1.p1	22.039	363	548	564	1.47e-06	42.7	66.2409	64.3617
TRINITY_DN18075_c0_g1_i1.p1	TRINITY_DN9946_c0_g2_i2.p1	24.568	521	645	621	3.25e-33	127	80.7752	83.8969
TRINITY_DN18075_c0_g1_i1.p1	TRINITY_DN7214_c0_g1_i11.p1	22.780	518	645	655	1.32e-30	119	80.3101	79.084
TRINITY_DN18075_c0_g1_i1.p1	TRINITY_DN332_c0_g1_i5.p1	22.014	586	645	698	2.17e-30	119	90.8527	83.9542
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN12134_c0_g1_i3.p1	47.138	1415	1399	1395	0.0	1251	101.144	101.434
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN9474_c0_g1_i1.p1	43.064	1384	1399	1452	0.0	1093	98.9278	95.3168
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN5424_c0_g1_i1.p1	42.128	1391	1399	1366	0.0	1093	99.4282	101.83
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN4518_c0_g1_i1.p1	43.148	1423	1399	1363	0.0	1088	101.716	104.402
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN54_c0_g1_i1.p1	40.717	1422	1399	1379	0.0	1081	101.644	103.118
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN662_c0_g4_i1.p1	42.446	1390	1399	1345	0.0	1073	99.3567	103.346
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN662_c0_g1_i2.p1	38.147	928	1399	1516	0.0	616	66.3331	61.2137
TRINITY_DN18452_c0_g1_i1.p1	TRINITY_DN254_c0_g1_i11.p1	30.524	1317	1399	1595	7.89e-164	526	94.1387	82.5705
