gene_id	phylogeny_status	reason
TRINITY_DN3806_c0_g2	not_included	no_usable_peptide_ORF
TRINITY_DN420_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN1031_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN598_c0_g1	included	peptide_available
TRINITY_DN2768_c0_g1	included	peptide_available
TRINITY_DN1069_c0_g1	included	peptide_available
TRINITY_DN2810_c0_g1	included	peptide_available
TRINITY_DN414_c0_g1	included	peptide_available
TRINITY_DN414_c0_g2	included	peptide_available
TRINITY_DN521_c0_g3	included_with_warning	peptide_available_but_possible_nonCYP_or_transposon_related
TRINITY_DN6927_c0_g1	included	peptide_available
TRINITY_DN4939_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN6341_c1_g1	not_included	no_usable_peptide_ORF
TRINITY_DN6330_c0_g1	included	peptide_available
TRINITY_DN11873_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN13006_c0_g1	included	peptide_available
TRINITY_DN6341_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN5504_c1_g2	included	peptide_available
TRINITY_DN32616_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN30540_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN56789_c0_g1	not_included	no_usable_peptide_ORF
TRINITY_DN52336_c0_g1	included	peptide_available
TRINITY_DN30482_c0_g1	included	peptide_available
TRINITY_DN17545_c0_g1	included	peptide_available
